miRNA	MIMAT
bkv-miR-B1-3p	MIMAT0009150
bkv-miR-B1-5p	MIMAT0009149
ebv-miR-BART10	MIMAT0003420
ebv-miR-BART10*	MIMAT0004817
ebv-miR-BART11-3p	MIMAT0003422
ebv-miR-BART11-5p	MIMAT0003421
ebv-miR-BART12	MIMAT0003423
ebv-miR-BART13	MIMAT0003424
ebv-miR-BART13*	MIMAT0004818
ebv-miR-BART1-3p	MIMAT0003390
ebv-miR-BART14	MIMAT0003426
ebv-miR-BART14*	MIMAT0003425
ebv-miR-BART15	MIMAT0003713
ebv-miR-BART1-5p	MIMAT0000999
ebv-miR-BART16	MIMAT0003714
ebv-miR-BART17-3p	MIMAT0003716
ebv-miR-BART17-5p	MIMAT0003715
ebv-miR-BART18-3p	MIMAT0004835
ebv-miR-BART18-5p	MIMAT0003717
ebv-miR-BART19-3p	MIMAT0003718
ebv-miR-BART19-5p	MIMAT0004836
ebv-miR-BART20-3p	MIMAT0003720
ebv-miR-BART20-5p	MIMAT0003719
ebv-miR-BART2-3p	MIMAT0004744
ebv-miR-BART2-5p	MIMAT0001000
ebv-miR-BART3	MIMAT0003411
ebv-miR-BART3*	MIMAT0003410
ebv-miR-BART4	MIMAT0003412
ebv-miR-BART5	MIMAT0003413
ebv-miR-BART6-3p	MIMAT0003415
ebv-miR-BART6-5p	MIMAT0003414
ebv-miR-BART7	MIMAT0003416
ebv-miR-BART7*	MIMAT0004815
ebv-miR-BART8	MIMAT0003417
ebv-miR-BART8*	MIMAT0003418
ebv-miR-BART9	MIMAT0003419
ebv-miR-BART9*	MIMAT0004816
ebv-miR-BHRF1-1	MIMAT0000995
ebv-miR-BHRF1-2	MIMAT0000997
ebv-miR-BHRF1-2*	MIMAT0000996
ebv-miR-BHRF1-3	MIMAT0000998
hcmv-miR-UL112	MIMAT0001577
hcmv-miR-UL148D	MIMAT0001578
hcmv-miR-UL22A	MIMAT0001574
hcmv-miR-UL22A*	MIMAT0001575
hcmv-miR-UL36	MIMAT0001576
hcmv-miR-UL36*	MIMAT0004754
hcmv-miR-UL70-3p	MIMAT0003343
hcmv-miR-UL70-5p	MIMAT0003342
hcmv-miR-US25-1	MIMAT0001581
hcmv-miR-US25-1*	MIMAT0004755
hcmv-miR-US25-2-3p	MIMAT0001583
hcmv-miR-US25-2-5p	MIMAT0001582
hcmv-miR-US33-3p	MIMAT0004756
hcmv-miR-US33-5p	MIMAT0001584
hcmv-miR-US4	MIMAT0003341
hcmv-miR-US5-1	MIMAT0001579
hcmv-miR-US5-2	MIMAT0001580
hiv1-miR-H1	MIMAT0004480
hiv1-miR-N367	MIMAT0004478
hiv1-miR-TAR-3p	MIMAT0006017
hiv1-miR-TAR-5p	MIMAT0006016
hsa-let-7a	MIMAT0000062
hsa-let-7a*	MIMAT0004481
hsa-let-7b	MIMAT0000063
hsa-let-7b*	MIMAT0004482
hsa-let-7c	MIMAT0000064
hsa-let-7c*	MIMAT0004483
hsa-let-7d	MIMAT0000065
