miRNA	ID
aae-bantam	MI0013439
aae-bantam-3p	MIMAT0014219
aae-bantam-5p	MIMAT0014218
aae-let-7	MI0013505_MIMAT0014299
aae-mir-1	MI0013455
aae-miR-1	MIMAT0014244
aae-mir-10	MI0013484
aae-miR-10	MIMAT0014277
aae-mir-100	MI0013497
aae-miR-100	MIMAT0014291
aae-miR-1000	MIMAT0014297
aae-mir-1000-1	MI0013502
aae-mir-1000-2	MI0013503
aae-mir-11	MI0013453
aae-miR-11	MIMAT0014242
aae-miR-11*	MIMAT0014241
aae-miR-11-3p	MIMAT0014242
aae-miR-11-5p	MIMAT0014241
aae-mir-1174	MI0013471
aae-miR-1174	MIMAT0014265
aae-mir-1175	MI0013470
aae-miR-1175	MIMAT0014264
aae-miR-1175*	MIMAT0015371
aae-miR-1175-3p	MIMAT0015371
aae-miR-1175-5p	MIMAT0014264
aae-mir-12	MI0013462
aae-miR-12	MIMAT0014253
aae-miR-12*	MIMAT0014254
aae-miR-12-3p	MIMAT0014254
aae-mir-124	MI0013488
aae-miR-124	MIMAT0014282
aae-mir-125	MI0013465
aae-miR-125	MIMAT0014258
aae-miR-125*	MIMAT0014259
aae-miR-125-5p	MIMAT0014258
aae-miR-12-5p	MIMAT0014253
aae-mir-13	MI0013463
aae-miR-13	MIMAT0014256
aae-miR-13*	MIMAT0014255
aae-mir-133	MI0013482
aae-miR-133	MIMAT0014275
aae-miR-13-3p	MIMAT0014256
aae-miR-13-5p	MIMAT0014255
aae-miR-137	MIMAT0014274
aae-mir-137-1	MI0013480
aae-mir-137-2	MI0013481
aae-mir-14	MI0013452
aae-miR-14	MIMAT0014240
aae-mir-184	MI0013433
aae-miR-184	MIMAT0014207
aae-mir-1889	MI0013448
aae-miR-1889	MIMAT0014234
aae-miR-1889*	MIMAT0014233
aae-miR-1889-3p	MIMAT0014234
aae-miR-1889-5p	MIMAT0014233
aae-mir-1890	MI0013457
aae-miR-1890	MIMAT0014247
aae-miR-1891	MIMAT0014263
aae-mir-1891-1	MI0013468
aae-mir-1891-2	MI0013469
aae-mir-190	MI0013454
aae-miR-190	MIMAT0014243
aae-mir-193	MI0013511
aae-miR-193	MIMAT0014305
aae-mir-210	MI0013499
aae-miR-210	MIMAT0014293
aae-mir-219	MI0013513
aae-miR-219	MIMAT0014307
aae-mir-252	MI0013438
aae-miR-252	MIMAT0014216
aae-miR-252*	MIMAT0014217
aae-miR-252-3p	MIMAT0014217
aae-miR-252-5p	MIMAT0014216
aae-mir-263a	MI0013495
aae-miR-263a	MIMAT0014289
aae-miR-263a*	MIMAT0015372
aae-miR-263a-3p	MIMAT0015372
aae-miR-263a-5p	MIMAT0014289
aae-mir-263b	MI0013515
aae-miR-263b	MIMAT0014309
aae-miR-263b*	MIMAT0014310
aae-miR-263b-3p	MIMAT0014310
aae-miR-263b-5p	MIMAT0014309
aae-mir-275	MI0013434
aae-miR-275	MIMAT0014209
aae-miR-275*	MIMAT0014208
aae-miR-275-3p	MIMAT0014209
aae-miR-275-5p	MIMAT0014208
aae-miR-276	MIMAT0014223
aae-miR-276*	MIMAT0014222
aae-mir-276-1	MI0013441
aae-mir-276-2	MI0013516
aae-miR-276-3p	MIMAT0014223
aae-mir-2765	MI0013490
aae-miR-2765	MIMAT0014285
aae-miR-276-5p	MIMAT0014222
aae-mir-277	MI0013435
aae-miR-277	MIMAT0014211
