miRNA	status
let-7a-1	white
let-7a-2	white
let-7a-3	white
let-7b	white
let-7c	white
let-7d	white
let-7e	white
let-7f-1	white
let-7f-2	white
let-7g	white
let-7i	white
mir-1-1 	white
mir-1-2 	white
mir-7-1 	white
mir-7-2 	white
mir-7-3 	white
mir-9-1 	white
mir-9-2 	white
mir-9-3 	white
mir-10a 	white
mir-10b 	white
mir-15a 	white
mir-15b 	white
mir-16-1 	white
mir-16-2 	white
mir-17 	white
mir-18a 	white
mir-18b 	white
mir-19a 	white
mir-19b-1 	white
mir-19b-2 	white
mir-20a 	white
mir-20b 	white
mir-21 	white
mir-22 	white
mir-23a 	white
mir-23b 	white
mir-24-1 	white
mir-24-2 	white
mir-25 	white
mir-26a-1 	white
mir-26a-2 	white
mir-26b 	white
mir-27a 	white
mir-27b 	white
mir-28 	white
mir-29a 	white
mir-29b-1 	white
mir-29b-2 	white
mir-29c 	white
mir-30a 	white
mir-30b 	white
mir-30c-1 	white
mir-30c-2 	white
mir-30d 	white
mir-30e 	white
mir-31 	white
mir-32 	white
mir-33a 	white
mir-33b 	white
mir-34a 	white
mir-34b 	white
mir-34c 	white
mir-92a-1 	white
mir-92a-2 	white
mir-92b 	white
mir-93 	white
mir-95 	white
mir-96 	white
mir-98 	white
mir-99a 	white
mir-99b 	white
mir-100 	white
mir-101-1 	white
mir-101-2 	white
mir-103a-1 	white
mir-103a-2 	white
mir-105-1 	white
mir-105-2 	white
mir-106a 	white
mir-106b 	white
mir-107 	white
mir-122 	white
mir-124-1 	white
mir-124-2 	white
mir-124-3 	white
mir-125a 	white
mir-125b-1 	white
mir-125b-2 	white
mir-126 	white
mir-127 	white
mir-128-1 	white
mir-128-2 	white
mir-129-1 	white
mir-129-2 	white
mir-130a 	white
mir-130b 	white
mir-132 	white
mir-133a-1 	white
mir-133a-2 	white
mir-133b 	white
mir-134 	white
mir-135a-1 	white
mir-135a-2 	white
mir-135b 	white
mir-136 	white
mir-137 	white
mir-138-1 	white
mir-138-2 	white
mir-139 	white
mir-140 	white
mir-141 	white
mir-142 	white
mir-143 	white
mir-144 	white
mir-145 	white
mir-146a 	white
mir-146b 	white
mir-147b 	white
mir-148a 	white
mir-148b 	white
mir-149 	white
mir-150 	white
mir-151a 	white
mir-152 	white
mir-153-1 	white
mir-153-2 	white
mir-154 	white
mir-155 	white
mir-181a-1 	white
mir-181a-2 	white
mir-181b-1 	white
mir-181b-2 	white
mir-181c 	white
mir-181d 	white
mir-182 	white
mir-183 	white
mir-184 	white
mir-185 	white
mir-186 	white
mir-187 	white
mir-188 	white
mir-190a 	white
mir-190b 	white
mir-191 	white
mir-192 	white
mir-193a 	white
mir-193b 	white
mir-194-1 	white
mir-194-2 	white
mir-195 	white
mir-196a-1 	white
mir-196a-2 	white
mir-196b 	white
mir-197 	white
mir-199a-1 	white
mir-199a-2 	white
mir-199b 	white
mir-200a 	white
mir-200b 	white
mir-200c 	white
mir-202 	white
mir-203a 	white
mir-204 	white
mir-205 	white
mir-206 	white
mir-208a 	white
mir-208b 	white
mir-210 	white
mir-211 	white
mir-212 	white
mir-214 	white
mir-215 	white
mir-216a 	white
mir-216b 	white
mir-217 	white
mir-218-1 	white
mir-218-2 	white
mir-219a-1 	white
mir-219a-2 	white
mir-221 	white
mir-222 	white
mir-223 	white
mir-224 	white
mir-296 	white
mir-299 	white
mir-301a 	white
mir-301b 	white
mir-302a 	white
mir-302b 	white
mir-302c 	white
mir-302d 	white
mir-323a 	white
mir-324 	white
mir-325 	white
mir-326 	white
mir-328 	white
mir-329-1 	white
mir-329-2 	white
mir-330 	white
mir-331 	white
mir-335 	white
mir-337 	white
mir-338 	white
mir-339 	white
mir-340 	white
mir-342 	white
mir-345 	white
mir-346 	white
mir-361 	white
mir-362 	white
mir-363 	white
mir-365a 	white
mir-365b 	white
mir-367 	white
mir-369 	white
mir-370 	white
mir-371a 	white
mir-372 	white
mir-373 	white
mir-374a 	white
mir-374b 	white
mir-375 	white
mir-376a-1 	white
mir-376a-2 	white
mir-376b 	white
mir-376c 	white
mir-377 	white
mir-378a 	white
mir-379 	white
mir-380 	white
mir-381 	white
mir-382 	white
mir-383 	white
mir-409 	white
mir-410 	white
mir-411 	white
mir-412 	white
mir-421 	white
mir-423 	white
mir-424 	white
mir-425 	white
mir-429 	white
mir-431 	white
mir-432 	white
mir-433 	white
mir-448 	white
mir-449a 	white
mir-449b 	white
mir-449c 	white
mir-450a-1 	white
mir-450a-2 	white
mir-450b 	white
mir-452 	white
mir-454 	white
mir-455 	white
mir-483 	white
mir-485 	white
mir-486-1 	white
mir-487a 	white
mir-487b 	white
mir-488 	white
mir-489 	white
mir-490 	white
mir-491 	white
mir-493 	white
mir-494 	white
mir-495 	white
mir-496 	white
mir-497 	white
mir-499a 	white
mir-500a 	white
mir-500b 	white
mir-501 	white
mir-502 	white
mir-503 	white
mir-504 	white
mir-505 	white
mir-506 	white
mir-507 	white
mir-508 	white
mir-509-1 	white
mir-509-2 	white
mir-509-3 	white
mir-510 	white
mir-511	white
mir-512-1 	white
mir-512-2 	white
mir-513a-1 	white
mir-513a-2 	white
mir-513b 	white
mir-513c 	white
mir-514a-1 	white
mir-514a-2 	white
mir-514b 	white
mir-515-1 	white
mir-515-2 	white
mir-516a-1 	white
mir-516a-2 	white
mir-516b-1 	white
mir-516b-2 	white
mir-517a 	white
mir-517b 	white
mir-517c 	white
mir-518a-1 	white
mir-518a-2 	white
mir-518b 	white
mir-518c 	white
mir-518d 	white
mir-518e 	white
mir-518f 	white
mir-519a-1 	white
mir-519a-2 	white
mir-519b 	white
mir-519c 	white
mir-519d 	white
mir-519e 	white
mir-520a 	white
mir-520b 	white
mir-520c 	white
mir-520d 	white
mir-520e 	white
mir-520f 	white
mir-520g 	white
mir-520h 	white
mir-521-1 	white
mir-521-2 	white
mir-522 	white
mir-523 	white
mir-524 	white
mir-525 	white
mir-526a-1 	white
mir-526a-2 	white
mir-526b 	white
mir-527 	white
mir-532 	white
mir-539 	white
mir-541 	white
mir-542 	white
mir-543 	white
mir-544a 	white
mir-545 	white
mir-551a 	white
mir-551b 	white
mir-552 	white
mir-556 	white
mir-561 	white
mir-574 	white
mir-576 	white
mir-577 	white
mir-580 	white
mir-582 	white
mir-584 	white
mir-585 	white
mir-589 	white
mir-590 	white
mir-599 	white
mir-605 	white
mir-615 	white
mir-616 	white
mir-624 	white
mir-625 	white
mir-627 	white
mir-628 	white
mir-629 	white
mir-641 	white
mir-642a 	white
mir-651 	white
mir-652 	white
mir-653 	white
mir-654 	white
mir-655 	white
mir-656 	white
mir-660 	white
mir-670 	white
mir-671 	white
mir-675 	white
mir-676 	white
mir-708 	white
mir-744 	white
mir-758 	white
mir-760 	white
mir-769 	white
mir-802 	white
mir-873 	white
mir-874 	white
mir-875 	white
mir-885 	white
mir-887 	white
mir-888 	white
mir-889 	white
mir-890 	white
mir-892a 	white
mir-892b 	white
mir-892c 	white
mir-934 	white
mir-942 	white
mir-944 	white
mir-1179 	white
mir-1180 	white
mir-1185-1 	white
mir-1185-2 	white
mir-1193 	white
mir-1197 	white
mir-1245b 	white
mir-1247 	white
mir-1249 	white
mir-1251 	white
mir-1252 	white
mir-1256 	white
mir-1264 	white
mir-1266 	white
mir-1269a 	white
mir-1270 	white
mir-1271 	white
mir-1277 	white
mir-1278 	white
mir-1283-1 	white
mir-1283-2 	white
mir-1287 	white
mir-1295a 	white
mir-1296 	white
mir-1298 	white
mir-1301 	white
mir-1307 	white
mir-1343 	white
mir-1908 	white
mir-1911 	white
mir-1913 	white
mir-2115 	white
mir-2116 	white
mir-2277 	white
mir-2278 	white
mir-2355 	white
mir-2467 	white
mir-2681 	white
mir-3059*	white
mir-3085*	white
mir-3121 	white
mir-3126 	white
mir-3127 	white
mir-3140 	white
mir-3144 	white
mir-3145 	white
mir-3150b 	white
mir-3171 	white
mir-3173 	white
mir-3179-1 	white
mir-3180-1 	white
mir-3186 	white
mir-3187 	white
mir-3194 	white
mir-3200 	white
mir-3605 	white
mir-3611 	white
mir-3612 	white
mir-3613 	white
mir-3614 	white
mir-3617 	white
mir-3619 	white
mir-3622a 	white
mir-3681 	white
mir-3909 	white
mir-3918 	white
mir-3940 	white
mir-3942 	white
mir-3944 	white
mir-4424 	white
mir-4428 	white
mir-4524a 	white
mir-4640 	white
mir-4661 	white
mir-4662a 	white
mir-4664 	white
mir-4731 	white
mir-4761 	white
mir-4766 	white
mir-5009 	white
mir-5010 	white
mir-5194 	white
mir-5579 	white
mir-5581 	white
mir-5687 	white
mir-6720 	white
mir-451a 	yellow
mir-592 	yellow
mir-1306 	yellow
mir-3618 	yellow
mir-323b 	purple
mir-378b 	purple
mir-378d-1 	purple
mir-378e 	purple
mir-378f 	purple
mir-378h 	purple
mir-378i 	purple
mir-378j 	purple
mir-422a 	purple
mir-498 	purple
mir-544b 	purple
mir-553 	purple
mir-557 	purple
mir-559 	purple
mir-562 	purple
mir-568 	purple
mir-569 	purple
mir-571 	purple
mir-573 	purple
mir-586 	purple
mir-587 	purple
mir-588 	purple
mir-591 	purple
mir-595 	purple
mir-596 	purple
mir-601 	purple
mir-602 	purple
mir-606 	purple
mir-609 	purple
mir-610 	purple
mir-613 	purple
mir-617 	purple
mir-618 	purple
mir-621 	purple
mir-623 	purple
mir-626 	purple
mir-631 	purple
mir-633 	purple
mir-634 	purple
mir-637 	purple
mir-642b 	purple
mir-644a 	purple
mir-647 	purple
mir-648 	purple
mir-649 	purple
mir-661 	purple
mir-759 	purple
mir-766 	purple
mir-767 	purple
mir-770 	purple
mir-891a 	purple
mir-891b 	purple
mir-921 	purple
mir-922 	purple
mir-924 	purple
mir-936 	purple
mir-938 	purple
mir-943 	purple
mir-1184-1 	purple
mir-1200 	purple
mir-1229 	purple
mir-1253 	purple
mir-1257 	purple
mir-1258 	purple
mir-1263 	purple
mir-1265 	purple
mir-1276 	purple
mir-1284 	purple
mir-1286 	purple
mir-1289-1 	purple
mir-1289-2 	purple
mir-1290 	purple
mir-1294 	purple
mir-1299 	purple
mir-1305 	purple
mir-1323 	purple
mir-1324 	purple
mir-1468 	purple
mir-1471 	purple
mir-1539 	purple
mir-1827 	purple
mir-1910 	purple
mir-1912 	purple
mir-2053 	purple
mir-2054 	purple
mir-2113 	purple
mir-2117 	purple
mir-2392 	purple
mir-2909 	purple
mir-3115 	purple
mir-3116-1 	purple
mir-3117 	purple
mir-3118-1 	purple
mir-3118-2 	purple
mir-3119-1 	purple
mir-3119-2 	purple
mir-3128 	purple
mir-3130-1 	purple
mir-3131 	purple
mir-3132 	purple
mir-3133 	purple
mir-3136 	purple
mir-3137 	purple
mir-3139 	purple
mir-3146 	purple
mir-3147 	purple
mir-3148 	purple
mir-3149 	purple
mir-3151 	purple
mir-3153 	purple
mir-3156-1 	purple
mir-3156-2 	purple
mir-3156-3 	purple
mir-3158-1 	purple
mir-3161 	purple
mir-3163 	purple
mir-3164 	purple
mir-3165 	purple
mir-3167 	purple
mir-3169 	purple
mir-3170 	purple
mir-3174 	purple
mir-3181 	purple
mir-3183 	purple
mir-3185 	purple
mir-3621 	purple
mir-3650 	purple
mir-3660 	purple
mir-3662 	purple
mir-3663 	purple
mir-3668 	purple
mir-3672 	purple
mir-3679 	purple
mir-3683 	purple
mir-3684 	purple
mir-3686 	purple
mir-3688-1 	purple
mir-3690-1 	purple
mir-3713 	purple
mir-3714 	purple
mir-3910-1 	purple
mir-3911 	purple
mir-3915 	purple
mir-3919 	purple
mir-3920 	purple
mir-3923 	purple
mir-3924 	purple
mir-3927 	purple
mir-3935 	purple
mir-3936 	purple
mir-3937 	purple
mir-3938 	purple
mir-3943 	purple
mir-3972 	purple
mir-3975 	purple
mir-4268 	purple
mir-4270 	purple
mir-4277 	purple
mir-4280 	purple
mir-4301 	purple
mir-4313 	purple
mir-4327 	purple
mir-4420 	purple
mir-4421 	purple
mir-4425 	purple
mir-4427 	purple
mir-4429 	purple
mir-4435-1 	purple
mir-4435-2 	purple
mir-4438 	purple
mir-4439 	purple
mir-4440 	purple
mir-4450 	purple
mir-4457 	purple
mir-4458 	purple
mir-4460 	purple
mir-4462 	purple
mir-4465 	purple
mir-4467 	purple
mir-4469 	purple
mir-4471 	purple
mir-4475 	purple
mir-4477a 	purple
mir-4480 	purple
mir-4482 	purple
mir-4490 	purple
mir-4493 	purple
mir-4494 	purple
mir-4495 	purple
mir-4498 	purple
mir-4501 	purple
mir-4503 	purple
mir-4506 	purple
mir-4507 	purple
mir-4509-1 	purple
mir-4517 	purple
mir-4523 	purple
mir-4526 	purple
mir-4527 	purple
mir-4528 	purple
mir-4635 	purple
mir-4637 	purple
mir-4641 	purple
mir-4642 	purple
mir-4643 	purple
mir-4644 	purple
mir-4651 	purple
mir-4654 	purple
mir-4656 	purple
mir-4663 	purple
mir-4669 	purple
mir-4672 	purple
mir-4673 	purple
mir-4675 	purple
mir-4677 	purple
mir-4678 	purple
mir-4681 	purple
mir-4682 	purple
mir-4684 	purple
mir-4686 	purple
mir-4689 	purple
mir-4696 	purple
mir-4698 	purple
mir-4703 	purple
mir-4705 	purple
mir-4706 	purple
mir-4712 	purple
mir-4718 	purple
mir-4719 	purple
mir-4721 	purple
mir-4725 	purple
mir-4727 	purple
mir-4730 	purple
mir-4734 	purple
mir-4739 	purple
mir-4741 	purple
mir-4744 	purple
mir-4748 	purple
mir-4751 	purple
mir-4752 	purple
mir-4754 	purple
mir-4756 	purple
mir-4759 	purple
mir-4765 	purple
mir-4773-1 	purple
mir-4779 	purple
mir-4780 	purple
mir-4784 	purple
mir-4788 	purple
mir-4794 	purple
mir-4798 	purple
mir-4801 	purple
mir-4803 	purple
mir-5000 	purple
mir-5002 	purple
mir-5003 	purple
mir-5004 	purple
mir-5007 	purple
mir-5087 	purple
mir-5092 	purple
mir-5093 	purple
mir-5094 	purple
mir-5186 	purple
mir-5190 	purple
mir-5195 	purple
mir-5580 	purple
mir-5582 	purple
mir-5584 	purple
mir-5586 	purple
mir-5587 	purple
mir-5588 	purple
mir-5591 	purple
mir-5681a 	purple
mir-5685 	purple
mir-5688 	purple
mir-5691 	purple
mir-5693 	purple
mir-5700 	purple
mir-5702 	purple
mir-5704 	purple
mir-5705 	purple
mir-5706 	purple
mir-5707 	purple
mir-6070 	purple
mir-6072 	purple
mir-6074 	purple
mir-6079 	purple
mir-6081 	purple
mir-6086 	purple
mir-6129 	purple
mir-6499 	purple
mir-6509 	purple
mir-6739	purple
mir-6746	purple
mir-6748	purple
mir-6755	purple
mir-6770-1	purple
mir-6851	purple
mir-7973-1	purple
mir-6718 	purple
mir-6721 	purple
mir-7706	purple
mir-23c 	rejected
mir-147a 	rejected
mir-151b 	rejected
mir-198 	rejected
mir-297 	rejected
mir-298 	rejected
mir-300 	rejected
mir-302e 	rejected
mir-302f 	rejected
mir-320a 	rejected
mir-320b-1 	rejected
mir-320b-2 	rejected
mir-320c-1 	rejected
mir-320c-2 	rejected
mir-320d-1 	rejected
mir-320d-2 	rejected
mir-320e 	rejected
mir-378c 	rejected
mir-378d-2 	rejected
mir-378g 	rejected
mir-384 	rejected
mir-466 	rejected
mir-484 	rejected
mir-492 	rejected
mir-548 	rejected
mir-549a 	rejected
mir-550a-1 	rejected
mir-550a-2 	rejected
mir-550a-3 	rejected
mir-550b-1 	rejected
mir-550b-2 	rejected
mir-554 	rejected
mir-555 	rejected
mir-558 	rejected
mir-563 	rejected
mir-564 	rejected
mir-566 	rejected
mir-567 	rejected
mir-570 	rejected
mir-572 	rejected
mir-575 	rejected
mir-578 	rejected
mir-579 	rejected
mir-581 	rejected
mir-583 	rejected
mir-593 	rejected
mir-597 	rejected
mir-598 	rejected
mir-600 	rejected
mir-603 	rejected
mir-604 	rejected
mir-607 	rejected
mir-608 	rejected
mir-611 	rejected
mir-612 	rejected
mir-614 	rejected
mir-619 	rejected
mir-620 	rejected
mir-622 	rejected
mir-630 	rejected
mir-632 	rejected
mir-635 	rejected
mir-636 	rejected
mir-638 	rejected
mir-639 	rejected
mir-640 	rejected
mir-643 	rejected
mir-645 	rejected
mir-646 	rejected
mir-650 	rejected
mir-657 	rejected
mir-658 	rejected
mir-659 	rejected
mir-662 	rejected
mir-663a 	rejected
mir-663b 	rejected
mir-664a 	rejected
mir-664b 	rejected
mir-665 	rejected
mir-668 	rejected
mir-711 	rejected
mir-718 	rejected
mir-761 	rejected
mir-762 	rejected
mir-764 	rejected
mir-765 	rejected
mir-876 	rejected
mir-877 	rejected
mir-920 	rejected
mir-933 	rejected
mir-935 	rejected
mir-937 	rejected
mir-939 	rejected
mir-940 	rejected
mir-941-1 	rejected
mir-941-2 	rejected
mir-941-3 	rejected
mir-941-4 	rejected
mir-941-5	rejected
mir-1178 	rejected
mir-1181 	rejected
mir-1182 	rejected
mir-1183 	rejected
mir-1199 	rejected
mir-1202 	rejected
mir-1203 	rejected
mir-1204 	rejected
mir-1205 	rejected
mir-1206 	rejected
mir-1207 	rejected
mir-1208 	rejected
mir-1224 	rejected
mir-1225 	rejected
mir-1226 	rejected
mir-1227 	rejected
mir-1228 	rejected
mir-1231 	rejected
mir-1233-1 	rejected
mir-1233-2 	rejected
mir-1234 	rejected
mir-1236 	rejected
mir-1237 	rejected
mir-1238 	rejected
mir-1243 	rejected
mir-1244-1 	rejected
mir-1244-2 	rejected
mir-1244-3 	rejected
mir-1244-4	rejected
mir-1246 	rejected
mir-1248 	rejected
mir-1250 	rejected
mir-1254-1 	rejected
mir-1254-2 	rejected
mir-1255a 	rejected
mir-1255b-1 	rejected
mir-1255b-2 	rejected
mir-1260a 	rejected
mir-1260b 	rejected
mir-1261 	rejected
mir-1262 	rejected
mir-1267 	rejected
mir-1268a 	rejected
mir-1268b 	rejected
mir-1269b 	rejected
mir-1272 	rejected
mir-1273a 	rejected
mir-1273c 	rejected
mir-1273d 	rejected
