miRNA	status	mi-acc	5p-acc	3p-acc	div
let-7a-1	white	MI0000060	MIMAT0000062	MIMAT0004481	
let-7a-2	white	MI0000061	MIMAT0000062	MIMAT0010195	
let-7a-3	white	MI0000062	MIMAT0000062	MIMAT0004481	
let-7b	white	MI0000063	MIMAT0000063	MIMAT0004482	
let-7c	white	MI0000064	MIMAT0000064	MIMAT0026472	
let-7d	white	MI0000065	MIMAT0000065	MIMAT0004484	
let-7e	white	MI0000066	MIMAT0000066	MIMAT0004485	
let-7f-1	white	MI0000067	MIMAT0000067	MIMAT0004486	
let-7f-2	white	MI0000068	MIMAT0000067	MIMAT0004487	
let-7g	white	MI0000433	MIMAT0000414	MIMAT0004584	
let-7i	white	MI0000434	MIMAT0000415	MIMAT0004585	
mir-1-1	white	MI0000651	MIMAT0031892	MIMAT0000416	
mir-1-2	white	MI0000437		MIMAT0000416	
mir-7-1	white	MI0000263	MIMAT0000252	MIMAT0004553	
mir-7-2	white	MI0000264	MIMAT0000252	MIMAT0004554	
mir-7-3	white	MI0000265	MIMAT0000252		
mir-9-1	white	MI0000466	MIMAT0000441	MIMAT0000442	
mir-9-2	white	MI0000467	MIMAT0000441	MIMAT0000442	
mir-9-3	white	MI0000468	MIMAT0000441	MIMAT0000442	
mir-10a	white	MI0000266	MIMAT0000253	MIMAT0004555	
mir-10b	white	MI0000267	MIMAT0000254	MIMAT0004556	
mir-15a	white	MI0000069	MIMAT0000068	MIMAT0004488	
mir-15b	white	MI0000438	MIMAT0000417	MIMAT0004586	
mir-16-1	white	MI0000070	MIMAT0000069	MIMAT0004489	
mir-16-2	white	MI0000115	MIMAT0000069	MIMAT0004518	
mir-17	white	MI0000071	MIMAT0000070	MIMAT0000071	
mir-18a	white	MI0000072	MIMAT0000072	MIMAT0002891	
mir-18b	white	MI0001518	MIMAT0001412	MIMAT0004751	
mir-19a	white	MI0000073	MIMAT0004490	MIMAT0000073	
mir-19b-1	white	MI0000074	MIMAT0004491	MIMAT0000074	
mir-19b-2	white	MI0000075	MIMAT0004492	MIMAT0000074	
mir-20a	white	MI0000076	MIMAT0000075	MIMAT0004493	
mir-20b	white	MI0001519	MIMAT0001413	MIMAT0004752	
mir-21	white	MI0000077	MIMAT0000076	MIMAT0004494	
mir-22	white	MI0000078	MIMAT0004495	MIMAT0000077	
mir-23a	white	MI0000079	MIMAT0004496	MIMAT0000078	
mir-23b	white	MI0000439	MIMAT0004587	MIMAT0000418	
mir-24-1	white	MI0000080	MIMAT0000079	MIMAT0000080	
mir-24-2	white	MI0000081	MIMAT0004497	MIMAT0000080	
mir-25	white	MI0000082	MIMAT0004498	MIMAT0000081	
mir-26a-1	white	MI0000083	MIMAT0000082	MIMAT0004499	
mir-26a-2	white	MI0000750	MIMAT0000082	MIMAT0004681	
mir-26b	white	MI0000084	MIMAT0000083	MIMAT0004500	
mir-27a	white	MI0000085	MIMAT0004501	MIMAT0000084	
mir-27b	white	MI0000440	MIMAT0004588	MIMAT0000419	
mir-28	white	MI0000086	MIMAT0000085	MIMAT0004502	
mir-29a	white	MI0000087	MIMAT0004503	MIMAT0000086	
mir-29b-1	white	MI0000105	MIMAT0004514	MIMAT0000100	
mir-29b-2	white	MI0000107	MIMAT0004515	MIMAT0000100	
mir-29c	white	MI0000735	MIMAT0004673	MIMAT0000681	
mir-30a	white	MI0000088	MIMAT0000087	MIMAT0000088	
mir-30b	white	MI0000441	MIMAT0000420	MIMAT0004589	
mir-30c-1	white	MI0000736	MIMAT0000244	MIMAT0004674	
mir-30c-2	white	MI0000254	MIMAT0000244	MIMAT0004550	
mir-30d	white	MI0000255	MIMAT0000245	MIMAT0004551	
mir-30e	white	MI0000749	MIMAT0000692	MIMAT0000693	
mir-31	white	MI0000089	MIMAT0000089	MIMAT0004504	
mir-32	white	MI0000090	MIMAT0000090	MIMAT0004505	
mir-33a	white	MI0000091	MIMAT0000091	MIMAT0004506	
mir-33b	white	MI0003646	MIMAT0003301	MIMAT0004811	
mir-34a	white	MI0000268	MIMAT0000255	MIMAT0004557	
mir-34b	white	MI0000742	MIMAT0000685	MIMAT0004676	
mir-34c	white	MI0000743	MIMAT0000686	MIMAT0004677	
mir-92a-1	white	MI0000093	MIMAT0004507	MIMAT0000092	
mir-92a-2	white	MI0000094	MIMAT0004508	MIMAT0000092	
mir-92b	white	MI0003560	MIMAT0004792	MIMAT0003218	
mir-93	white	MI0000095	MIMAT0000093	MIMAT0004509	
mir-95	white	MI0000097	MIMAT0026473	MIMAT0000094	
mir-96	white	MI0000098	MIMAT0000095	MIMAT0004510	
mir-98	white	MI0000100	MIMAT0000096	MIMAT0022842	
mir-99a	white	MI0000101	MIMAT0000097	MIMAT0004511	
mir-99b	white	MI0000746	MIMAT0000689	MIMAT0004678	
mir-100	white	MI0000102	MIMAT0000098	MIMAT0004512	
mir-101-1	white	MI0000103	MIMAT0004513	MIMAT0000099	
mir-101-2	white	MI0000739		MIMAT0000099	
mir-103a-1	white	MI0000109		MIMAT0000101	
mir-103a-2	white	MI0000108	MIMAT0009196	MIMAT0000101	
mir-105-1	white	MI0000111	MIMAT0000102	MIMAT0004516	
mir-105-2	white	MI0000112	MIMAT0000102	MIMAT0004516	
mir-106a	white	MI0000113	MIMAT0000103	MIMAT0004517	
mir-106b	white	MI0000734	MIMAT0000680	MIMAT0004672	
mir-107	white	MI0000114			MIMAT0000104
mir-122	white	MI0000442	MIMAT0000421	MIMAT0004590	
mir-124-1	white	MI0000443	MIMAT0004591	MIMAT0000422	
mir-124-2	white	MI0000444	MIMAT0004591	MIMAT0000422	
