MIMAT	arm	AHUS	UCAM	volinia
MIMAT0009150	bkv-miR-B1-3p	bkv-miR-B1-3p	bkv-miR-B1-3p	NA
MIMAT0009149	bkv-miR-B1-5p	bkv-miR-B1-5p	bkv-miR-B1-5p	NA
MIMAT0003420	ebv-miR-BART10-3p	ebv-miR-BART10	ebv-miR-BART10	NA
MIMAT0004817	ebv-miR-BART10-5p	ebv-miR-BART10*	ebv-miR-BART10*	NA
MIMAT0003422	ebv-miR-BART11-3p	ebv-miR-BART11-3p	ebv-miR-BART11-3p	NA
MIMAT0003421	ebv-miR-BART11-5p	ebv-miR-BART11-5p	ebv-miR-BART11-5p	NA
MIMAT0003423	NA	ebv-miR-BART12	ebv-miR-BART12	NA
MIMAT0003424	ebv-miR-BART13-3p	ebv-miR-BART13	ebv-miR-BART13	NA
MIMAT0004818	ebv-miR-BART13-5p	ebv-miR-BART13*	ebv-miR-BART13*	NA
MIMAT0003390	ebv-miR-BART1-3p	ebv-miR-BART1-3p	ebv-miR-BART1-3p	NA
MIMAT0003426	ebv-miR-BART14-3p	ebv-miR-BART14	ebv-miR-BART14	NA
MIMAT0003425	ebv-miR-BART14-5p	ebv-miR-BART14*	ebv-miR-BART14*	NA
MIMAT0003713	NA	ebv-miR-BART15	ebv-miR-BART15	NA
MIMAT0000999	ebv-miR-BART1-5p	ebv-miR-BART1-5p	ebv-miR-BART1-5p	NA
MIMAT0003714	NA	ebv-miR-BART16	ebv-miR-BART16	NA
MIMAT0003716	ebv-miR-BART17-3p	ebv-miR-BART17-3p	ebv-miR-BART17-3p	NA
MIMAT0003715	ebv-miR-BART17-5p	ebv-miR-BART17-5p	ebv-miR-BART17-5p	NA
MIMAT0004835	ebv-miR-BART18-3p	ebv-miR-BART18-3p	ebv-miR-BART18-3p	NA
MIMAT0003717	ebv-miR-BART18-5p	ebv-miR-BART18-5p	ebv-miR-BART18-5p	NA
MIMAT0003718	ebv-miR-BART19-3p	ebv-miR-BART19-3p	ebv-miR-BART19-3p	NA
MIMAT0004836	ebv-miR-BART19-5p	ebv-miR-BART19-5p	ebv-miR-BART19-5p	NA
MIMAT0003720	ebv-miR-BART20-3p	ebv-miR-BART20-3p	ebv-miR-BART20-3p	NA
MIMAT0003719	ebv-miR-BART20-5p	ebv-miR-BART20-5p	ebv-miR-BART20-5p	NA
MIMAT0004744	ebv-miR-BART2-3p	ebv-miR-BART2-3p	ebv-miR-BART2-3p	NA
MIMAT0001000	ebv-miR-BART2-5p	ebv-miR-BART2-5p	ebv-miR-BART2-5p	NA
MIMAT0003411	ebv-miR-BART3-3p	ebv-miR-BART3	ebv-miR-BART3	NA
MIMAT0003410	ebv-miR-BART3-5p	ebv-miR-BART3*	ebv-miR-BART3*	NA
MIMAT0003412	ebv-miR-BART4-5p	ebv-miR-BART4	ebv-miR-BART4	NA
MIMAT0003413	ebv-miR-BART5-5p	ebv-miR-BART5	ebv-miR-BART5	NA
MIMAT0003415	ebv-miR-BART6-3p	ebv-miR-BART6-3p	ebv-miR-BART6-3p	NA
MIMAT0003414	ebv-miR-BART6-5p	ebv-miR-BART6-5p	ebv-miR-BART6-5p	NA
MIMAT0003416	ebv-miR-BART7-3p	ebv-miR-BART7	ebv-miR-BART7	NA
MIMAT0004815	ebv-miR-BART7-5p	ebv-miR-BART7*	ebv-miR-BART7*	NA
MIMAT0003417	ebv-miR-BART8-5p	ebv-miR-BART8	ebv-miR-BART8	NA
MIMAT0003418	ebv-miR-BART8-3p	ebv-miR-BART8*	ebv-miR-BART8*	NA
MIMAT0003419	ebv-miR-BART9-3p	ebv-miR-BART9	ebv-miR-BART9	NA
MIMAT0004816	ebv-miR-BART9-5p	ebv-miR-BART9*	ebv-miR-BART9*	NA
MIMAT0000995	NA	ebv-miR-BHRF1-1	ebv-miR-BHRF1-1	NA
MIMAT0000997	ebv-miR-BHRF1-2-3p	ebv-miR-BHRF1-2	ebv-miR-BHRF1-2	NA
MIMAT0000996	ebv-miR-BHRF1-2-5p	ebv-miR-BHRF1-2*	ebv-miR-BHRF1-2*	NA
MIMAT0000998	NA	ebv-miR-BHRF1-3	ebv-miR-BHRF1-3	NA
MIMAT0001577	hcmv-miR-UL112-3p	hcmv-miR-UL112	hcmv-miR-UL112	NA
MIMAT0001578	NA	hcmv-miR-UL148D	hcmv-miR-UL148D	NA
MIMAT0001574	hcmv-miR-UL22A-5p	hcmv-miR-UL22A	hcmv-miR-UL22A	NA
MIMAT0001575	hcmv-miR-UL22A-3p	hcmv-miR-UL22A*	hcmv-miR-UL22A*	NA
MIMAT0001576	hcmv-miR-UL36-5p	hcmv-miR-UL36	hcmv-miR-UL36	NA
MIMAT0004754	hcmv-miR-UL36-3p	hcmv-miR-UL36*	hcmv-miR-UL36*	NA
MIMAT0003343	hcmv-miR-UL70-3p	hcmv-miR-UL70-3p	hcmv-miR-UL70-3p	NA
MIMAT0003342	hcmv-miR-UL70-5p	hcmv-miR-UL70-5p	hcmv-miR-UL70-5p	NA
MIMAT0001581	hcmv-miR-US25-1-5p	hcmv-miR-US25-1	hcmv-miR-US25-1	NA
MIMAT0004755	hcmv-miR-US25-1-3p	hcmv-miR-US25-1*	hcmv-miR-US25-1*	NA
MIMAT0001583	hcmv-miR-US25-2-3p	hcmv-miR-US25-2-3p	hcmv-miR-US25-2-3p	NA
MIMAT0001582	hcmv-miR-US25-2-5p	hcmv-miR-US25-2-5p	hcmv-miR-US25-2-5p	NA
