miRNA	fc	pval
miR-361-5p	3.75	7e-07
let-7b	0.13	1e-06
miR-21	20.89	2.2e-06
miR-127-3p	0.13	8.9e-06
miR-374a	6.03	1.13e-05
let-7c	0.26	1.33e-05
miR-320-RNASEN	0.1	1.33e-05
miR-96	5.06	2.3e-05
miR-652	0.28	2.36e-05
miR-378	0.11	4.55e-05
miR-143*	0.1	4.93e-05
miR-183	5.08	5.41e-05
miR-374b	4.14	5.8e-05
miR-99a	0.18	7.97e-05
miR-16(2)	8.19	0.000213
miR-497	0.24	0.000279
miR-142-5p	6.64	0.000318
miR-376a-3p(2)	0.14	0.000319
miR-145	0.21	0.000346
miR-574-3p	0.29	0.000371
miR-429	3.4	0.000408
miR-193b	0.16	0.000441
miR-221	0.33	0.000496
miR-140-3p	0.46	0.000508
miR-182	4.72	0.000621
miR-15b	2.84	0.000905
miR-100	0.29	0.000907
miR-22	0.2	0.000987
miR-106b	5.02	0.00103
miR-324	0.63	0.00104
miR-200c	8.39	0.00107
miR-107	2.74	0.00118
miR-423-3p	0.3	0.00129
let-7d	0.47	0.00138
miR-145*	0.39	0.00142
miR-106b*	0.72	0.002
miR-32	2.18	0.002
miR-193a-5p	0.17	0.002
miR-423-5p	0.21	0.002
miR-26b	5.55	0.002
miR-223	2.67	0.003
miR-30d	2.02	0.003
miR-128(2)	1.93	0.004
miR-28-3p	0.54	0.004
miR-200b	4.61	0.004
miR-125b(2)	0.22	0.004
miR-342	2.43	0.005
miR-340	2.62	0.005
miR-376c	0.16	0.005
miR-155	2.02	0.005
miR-142-3p	3.7	0.005
miR-185	0.29	0.005
miR-452	0.31	0.005
miR-125a	0.33	0.006
miR-29c	3.46	0.006
miR-20a	3.18	0.007
miR-29b(2)	5.13	0.007
miR-19a	3.38	0.008
miR-210	0.38	0.009
miR-451-DICER1	0.33	0.01
miR-92a(2)	2.12	0.011
miR-425	1.98	0.012
miR-15a	2.65	0.013
miR-26a(2)	2.4	0.013
miR-17*	0.53	0.015
miR-19b(2)	0.47	0.015
