MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0000250	hsa-miR-139-5p	-4.473e-01	5.808e-03	-3.99864	0.01150	 TRUE	 TRUE	white
MIMAT0004951	hsa-miR-887-3p	-3.683e-01	3.447e-02	-3.92491	0.01150	 TRUE	 TRUE	white
MIMAT0005893	hsa-miR-1305	-5.223e-01	6.646e-20	 0.08002	0.97677	FALSE	FALSE	purple
MIMAT0005942	hsa-miR-1288-3p	-2.940e-01	6.646e-20	 0.35192	0.91990	FALSE	FALSE	rejected
MIMAT0000072	hsa-miR-18a-5p	 9.750e-01	1.751e-08	 2.78447	0.17760	 TRUE	FALSE	white
MIMAT0000681	hsa-miR-29c-3p	-1.173e+00	1.751e-08	-3.37804	0.06449	 TRUE	FALSE	white
MIMAT0001412	hsa-miR-18b-5p	 7.469e-01	2.269e-06	 2.56145	0.24628	 TRUE	FALSE	white
MIMAT0000080	hsa-miR-24-3p	 6.365e-01	3.722e-06	 1.51856	0.44815	 TRUE	FALSE	white
MIMAT0000417	hsa-miR-15b-5p	 7.728e-01	1.372e-05	 2.38452	0.29207	 TRUE	FALSE	white
MIMAT0004673	hsa-miR-29c-5p	-8.088e-01	6.718e-05	-3.23204	0.06514	 TRUE	FALSE	white
MIMAT0000728	hsa-miR-375	-1.741e+00	6.635e-04	-3.08411	0.09017	 TRUE	FALSE	white
MIMAT0000070	hsa-miR-17-5p	 7.210e-01	1.254e-03	 2.17703	0.33964	 TRUE	FALSE	white
MIMAT0005938	hsa-miR-1274b	-6.073e-01	2.404e-03	 1.05518	0.61765	FALSE	FALSE	NA
MIMAT0000093	hsa-miR-93-5p	 5.334e-01	4.431e-03	 2.10713	0.37586	 TRUE	FALSE	white
MIMAT0004776	hsa-miR-505-5p	 3.089e-01	4.431e-03	 1.97958	0.37586	 TRUE	FALSE	white
MIMAT0000092	hsa-miR-92a-3p	 6.566e-01	6.472e-03	 1.66571	0.40284	 TRUE	FALSE	white
MIMAT0003326	hsa-miR-663	 7.488e-01	6.472e-03	 2.53788	0.24628	 TRUE	FALSE	rejected
MIMAT0000281	hsa-miR-224-5p	 9.337e-01	6.815e-03	 1.45984	0.46083	 TRUE	FALSE	white
MIMAT0000442	hsa-miR-9-3p	 7.643e-01	7.442e-03	 1.80111	0.37586	 TRUE	FALSE	white
MIMAT0000449	hsa-miR-146a-5p	 7.946e-01	8.429e-03	 1.79700	0.37586	 TRUE	FALSE	white
MIMAT0004694	hsa-miR-342-5p	-6.933e-01	1.359e-02	-1.81484	0.37586	 TRUE	FALSE	white
MIMAT0007890	hsa-miR-1914-3p	-2.342e-01	1.510e-02	 0.74062	0.74155	FALSE	FALSE	rejected
MIMAT0000073	hsa-miR-19a-3p	 6.039e-01	2.434e-02	 2.04830	0.37586	 TRUE	FALSE	white
MIMAT0000705	hsa-miR-362-5p	 4.049e-01	2.631e-02	 1.17692	0.57187	 TRUE	FALSE	white
MIMAT0002876	hsa-miR-505-3p	 2.821e-01	2.631e-02	 0.51599	0.85857	 TRUE	FALSE	white
MIMAT0000646	hsa-miR-155-5p	 7.127e-01	3.447e-02	 1.90928	0.37586	 TRUE	FALSE	white
MIMAT0000759	hsa-miR-148b-3p	-3.998e-01	3.447e-02	-2.83614	0.17287	 TRUE	FALSE	white
MIMAT0000099	hsa-miR-101-3p	-5.207e-01	3.972e-02	-1.98996	0.37586	 TRUE	FALSE	white
MIMAT0003228	hsa-miR-564	-1.040e-01	3.972e-02	 0.35039	0.91990	FALSE	FALSE	rejected
MIMAT0004784	hsa-miR-455-3p	 6.063e-01	4.783e-02	 1.66871	0.40284	 TRUE	FALSE	white
MIMAT0000267	hsa-miR-210-3p	 7.878e-01	7.046e-02	 1.08404	0.59485	 TRUE	FALSE	white
MIMAT0003237	hsa-miR-572	-3.867e-01	7.440e-02	 0.15509	0.95613	FALSE	FALSE	rejected
