MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0005893	hsa-miR-1305	-0.5416011	5.772e-23	-0.976740	0.74155	 TRUE	FALSE	purple
MIMAT0005942	hsa-miR-1288-3p	-0.3051297	5.772e-23	-0.561597	0.82880	 TRUE	FALSE	rejected
MIMAT0005938	hsa-miR-1274b	-0.7883832	1.571e-05	-0.297815	0.93939	 TRUE	FALSE	NA
MIMAT0007890	hsa-miR-1914-3p	-0.3120190	5.360e-04	-0.747377	0.79576	 TRUE	FALSE	rejected
MIMAT0005954	hsa-miR-720	-0.7711616	1.280e-03	-1.541821	0.57617	 TRUE	FALSE	NA
MIMAT0000417	hsa-miR-15b-5p	 0.5519974	7.141e-03	 1.759622	0.47497	 TRUE	FALSE	white
MIMAT0000063	hsa-let-7b-5p	 0.5887890	8.718e-03	 1.823223	0.47497	 TRUE	FALSE	white
MIMAT0005927	hsa-miR-1274a	-0.5651648	1.153e-02	-1.588251	0.57271	 TRUE	FALSE	NA
MIMAT0005911	hsa-miR-1260	-0.5730717	1.400e-02	-1.596430	0.57271	 TRUE	FALSE	rejected
MIMAT0004673	hsa-miR-29c-5p	 0.5623524	1.612e-02	 3.431059	0.07996	 TRUE	FALSE	white
MIMAT0000104	hsa-miR-107	 0.5059461	1.872e-02	 1.994769	0.43971	 TRUE	FALSE	white
MIMAT0000074	hsa-miR-19b-3p	-0.4733208	5.583e-02	-1.729404	0.48422	 TRUE	FALSE	white
MIMAT0002816	hsa-miR-494-3p	-1.1017065	5.583e-02	-1.192448	0.69863	 TRUE	FALSE	white
MIMAT0000101	hsa-miR-103a-3p	 0.3634503	9.539e-02	 1.062000	0.69863	 TRUE	FALSE	white
MIMAT0000451	hsa-miR-150-5p	-1.0129051	9.539e-02	-2.750312	0.21124	 TRUE	FALSE	white
MIMAT0002872	hsa-miR-501-5p	-0.1309779	9.539e-02	-1.802480	0.47497	 TRUE	FALSE	white
MIMAT0002876	hsa-miR-505-3p	-0.2441464	9.539e-02	-3.818310	0.03574	 TRUE	FALSE	white
MIMAT0005898	hsa-miR-1246	-0.8863457	9.539e-02	-2.443273	0.27384	 TRUE	FALSE	rejected
MIMAT0000731_MIMAT0000732	hsa-miR-378	-0.2264105	1.576e-01	-3.202236	0.12091	 TRUE	FALSE	white
MIMAT0004795	hsa-miR-574-5p	-0.5007195	1.642e-01	-1.175227	0.69863	 TRUE	FALSE	white
MIMAT0000066	hsa-let-7e-5p	 0.6075899	2.025e-01	 1.924883	0.45090	 TRUE	FALSE	white
MIMAT0003299	hsa-miR-630	-0.2886689	2.066e-01	-0.481349	0.86866	 TRUE	FALSE	rejected
MIMAT0000088	hsa-miR-30a*	 0.6034677	2.133e-01	 1.974662	0.43971	 TRUE	FALSE	white
MIMAT0000761	hsa-miR-324-5p	 0.2836957	2.145e-01	 1.759067	0.47497	 TRUE	FALSE	white
MIMAT0002819	hsa-miR-193b-3p	 0.4251933	2.145e-01	 2.421332	0.27384	 TRUE	FALSE	white
MIMAT0003228	hsa-miR-564	-0.0811864	2.145e-01	 0.569716	0.82880	FALSE	FALSE	rejected
MIMAT0005939	hsa-miR-1281	-0.0921252	2.145e-01	-1.781224	0.47497	 TRUE	FALSE	rejected
MIMAT0000089	hsa-miR-31-5p	-0.4002551	2.233e-01	-2.955214	0.16622	 TRUE	FALSE	white
MIMAT0004694	hsa-miR-342-5p	 0.4584018	2.233e-01	 2.210878	0.33696	 TRUE	FALSE	white
MIMAT0000064	hsa-let-7c-5p	 0.3609915	2.297e-01	 0.614665	0.81429	 TRUE	FALSE	white
MIMAT0000253	hsa-miR-10a-5p	 0.7342738	2.587e-01	 1.968974	0.43971	 TRUE	FALSE	white
MIMAT0001627	hsa-miR-433-3p	-0.0454872	2.587e-01	-2.728982	0.21124	 TRUE	FALSE	white
MIMAT0000433	hsa-miR-142-5p	-0.5063103	2.672e-01	-2.785113	0.21124	 TRUE	FALSE	white
MIMAT0000436	hsa-miR-144-3p	-0.5491646	2.672e-01	-2.280839	0.32805	 TRUE	FALSE	white
MIMAT0000450	hsa-miR-149-5p	 0.4732381	2.672e-01	 2.199129	0.33696	 TRUE	FALSE	white
MIMAT0000753	hsa-miR-342-3p	 0.5342651	2.672e-01	 1.894639	0.46865	 TRUE	FALSE	white
MIMAT0000280	hsa-miR-223-3p	-0.5814457	2.758e-01	-2.515591	0.27384	 TRUE	FALSE	white
MIMAT0000065	hsa-let-7d-5p	 0.4454702	2.793e-01	 1.534959	0.57617	 TRUE	FALSE	white
MIMAT0004597	hsa-miR-140-3p	-0.3023065	2.793e-01	-3.073434	0.14072	 TRUE	FALSE	white
MIMAT0004603	hsa-miR-125b-2-3p	-0.2384516	2.965e-01	-2.492597	0.27384	 TRUE	FALSE	white
MIMAT0000434	hsa-miR-142-3p	-0.6310216	3.128e-01	-2.255136	0.32805	 TRUE	FALSE	white
MIMAT0000062	hsa-let-7a-5p	 0.5526665	3.301e-01	 1.490425	0.58397	 TRUE	FALSE	white
MIMAT0000455	hsa-miR-185-5p	-0.2399912	3.745e-01	-2.359691	0.28619	 TRUE	FALSE	white
MIMAT0000084	hsa-miR-27a-3p	 0.2854004	4.224e-01	 0.050339	0.98794	 TRUE	FALSE	white
MIMAT0000243	hsa-miR-148a-3p	-0.4643904	4.237e-01	-1.854884	0.47497	 TRUE	FALSE	white
MIMAT0000261	hsa-miR-183-5p	 0.4814244	4.342e-01	 1.800441	0.47497	 TRUE	FALSE	white
MIMAT0000278	hsa-miR-221-3p	-0.3091532	4.560e-01	-2.398300	0.27384	 TRUE	FALSE	white
MIMAT0000271	hsa-miR-214-3p	 0.3964088	4.641e-01	 0.643157	0.80565	 TRUE	FALSE	white
MIMAT0000423	hsa-miR-125b-5p	-0.4138441	4.641e-01	-1.414309	0.61521	 TRUE	FALSE	white
MIMAT0000068	hsa-miR-15a-5p	 0.3394058	4.682e-01	 0.861523	0.77961	 TRUE	FALSE	white
MIMAT0000087	hsa-miR-30a	 0.5226851	4.682e-01	 1.387785	0.61893	 TRUE	FALSE	white
MIMAT0000279	hsa-miR-222-3p	-0.4096085	4.682e-01	-2.008973	0.43971	 TRUE	FALSE	white
MIMAT0000095	hsa-miR-96-5p	 0.5227661	4.729e-01	 1.999453	0.43971	 TRUE	FALSE	white
MIMAT0000096	hsa-miR-98-5p	 0.4314718	4.772e-01	 1.514246	0.57617	 TRUE	FALSE	white
MIMAT0004697	hsa-miR-151-5p	 0.2991996	4.956e-01	 1.052547	0.69863	 TRUE	FALSE	white
MIMAT0000067	hsa-let-7f-5p	 0.5487488	4.978e-01	 1.496594	0.58397	 TRUE	FALSE	white
MIMAT0003886	hsa-miR-769-5p	 0.1742131	4.978e-01	 1.612051	0.57271	 TRUE	FALSE	white
MIMAT0000250	hsa-miR-139-5p	-0.1910740	5.021e-01	-2.423384	0.27384	 TRUE	FALSE	white
MIMAT0000244	hsa-miR-30c-5p	 0.2740866	5.038e-01	 1.050492	0.69863	 TRUE	FALSE	white
MIMAT0000418	hsa-miR-23b-3p	 0.2685558	5.038e-01	 0.937560	0.74155	 TRUE	FALSE	white
MIMAT0000705	hsa-miR-362-5p	-0.2018489	5.038e-01	-1.954248	0.43971	 TRUE	FALSE	white
MIMAT0004550	hsa-miR-30c-2-3p	 0.2270030	5.038e-01	 1.275485	0.68062	 TRUE	FALSE	white
MIMAT0005948	hsa-miR-664*	 0.1748405	5.055e-01	 1.949430	0.43971	 TRUE	FALSE	rejected
MIMAT0000449	hsa-miR-146a-5p	-0.3400165	5.148e-01	-1.795272	0.47497	 TRUE	FALSE	white
MIMAT0002805	hsa-miR-489-3p	 0.2038609	5.148e-01	 1.472256	0.59513	 TRUE	FALSE	white
MIMAT0004600	hsa-miR-144-5p	-0.2166528	5.148e-01	-2.044348	0.43971	 TRUE	FALSE	white
MIMAT0004605	hsa-miR-129-3p	-0.0861646	5.267e-01	-1.859821	0.47497	 TRUE	FALSE	white
MIMAT0005792	hsa-miR-320b	 0.2553594	5.307e-01	 0.156191	0.96982	 TRUE	FALSE	rejected
MIMAT0004494	hsa-miR-21-3p	-0.3196251	5.494e-01	-1.523459	0.57617	 TRUE	FALSE	white
MIMAT0000232	hsa-miR-199a-3p	 0.4574331	6.553e-01	 0.911527	0.75824	 TRUE	FALSE	white
MIMAT0000073	hsa-miR-19a-3p	-0.2536621	6.598e-01	-1.128386	0.69863	 TRUE	FALSE	white
MIMAT0001631	hsa-miR-451	-0.5964099	6.598e-01	-1.768625	0.47497	 TRUE	FALSE	yellow
MIMAT0004504	hsa-miR-31-3p	-0.2314833	6.739e-01	-1.734949	0.48422	 TRUE	FALSE	white
MIMAT0000431	hsa-miR-140-5p	-0.2272852	6.792e-01	-1.802847	0.47497	 TRUE	FALSE	white
MIMAT0000443	hsa-miR-125a-5p	 0.2342940	6.792e-01	 1.605702	0.57271	 TRUE	FALSE	white
MIMAT0004911	hsa-miR-874-3p	-0.1024732	6.792e-01	-1.154330	0.69863	 TRUE	FALSE	white
MIMAT0005901	hsa-miR-1249	 0.1481864	6.792e-01	-1.034831	0.69863	FALSE	FALSE	white
MIMAT0000456	hsa-miR-186-5p	-0.1449170	6.873e-01	-1.653197	0.54469	 TRUE	FALSE	white
MIMAT0003308	hsa-miR-638	-0.2904898	6.873e-01	 0.740810	0.79576	FALSE	FALSE	rejected
MIMAT0000226	hsa-miR-196a-5p	 0.5696292	6.927e-01	 1.190180	0.69863	 TRUE	FALSE	white
MIMAT0000457	hsa-miR-188-5p	-0.1428945	6.927e-01	 0.106252	0.97582	FALSE	FALSE	white
MIMAT0004594	hsa-miR-132-5p	 0.0976249	6.927e-01	 1.557047	0.57617	 TRUE	FALSE	white
MIMAT0000080	hsa-miR-24-3p	 0.1387450	7.176e-01	-1.063641	0.69863	FALSE	FALSE	white
MIMAT0000419	hsa-miR-27b-3p	 0.2107398	7.280e-01	 0.636166	0.80565	 TRUE	FALSE	white
MIMAT0000445	hsa-miR-126-3p	-0.2942356	7.280e-01	-1.217745	0.69863	 TRUE	FALSE	white
MIMAT0000736	hsa-miR-381-3p	-0.1654850	7.280e-01	-1.558000	0.57617	 TRUE	FALSE	white
