MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0000088	hsa-miR-30a*	-1.3217128	1.700e-04	-4.989102	8.496e-05	 TRUE	 TRUE	white
MIMAT0000244	hsa-miR-30c	-0.8404090	6.166e-04	-4.673166	2.630e-04	 TRUE	 TRUE	white
MIMAT0004550	hsa-miR-30c-2*	-0.6188364	2.834e-03	-4.979113	8.496e-05	 TRUE	 TRUE	white
MIMAT0000087	hsa-miR-30a	-1.2773557	4.650e-03	-3.331736	3.280e-02	 TRUE	 TRUE	white
MIMAT0003326	hsa-miR-663	 0.8169539	6.142e-03	 3.125930	4.230e-02	 TRUE	 TRUE	rejected
MIMAT0000693	hsa-miR-30e*	-0.6251942	7.642e-03	-3.219680	3.524e-02	 TRUE	 TRUE	white
MIMAT0000278	hsa-miR-221	-0.5810021	3.752e-02	-3.751730	9.343e-03	 TRUE	 TRUE	white
MIMAT0000250	hsa-miR-139-5p	-0.3847338	4.269e-02	-3.993488	4.330e-03	 TRUE	 TRUE	white
MIMAT0005942	hsa-miR-1288	-0.3051225	2.061e-19	-0.305443	9.064e-01	 TRUE	FALSE	rejected
MIMAT0005893	hsa-miR-1305	-0.5179329	2.977e-18	-0.305998	9.064e-01	 TRUE	FALSE	purple
MIMAT0000281	hsa-miR-224	 1.1555182	1.626e-03	 2.251930	1.799e-01	 TRUE	FALSE	white
MIMAT0005938	hsa-miR-1274b	-0.6486037	2.834e-03	 0.282888	9.064e-01	FALSE	FALSE	NA
MIMAT0000681	hsa-miR-29c	-0.7020937	6.861e-03	-1.965536	2.574e-01	 TRUE	FALSE	white
MIMAT0000099	hsa-miR-101	-0.6204265	2.498e-02	-2.925400	5.719e-02	 TRUE	FALSE	white
MIMAT0000080	hsa-miR-24	 0.3922629	2.506e-02	 0.933091	6.435e-01	 TRUE	FALSE	white
MIMAT0003239	hsa-miR-574-3p	-0.5141022	2.506e-02	-2.253175	1.799e-01	 TRUE	FALSE	white
MIMAT0004595	hsa-miR-135a*	 0.3522664	2.506e-02	 2.457752	1.550e-01	 TRUE	FALSE	white
MIMAT0004694	hsa-miR-342-5p	-0.6986288	2.506e-02	-2.117377	2.023e-01	 TRUE	FALSE	white
MIMAT0001627	hsa-miR-433	-0.0664832	4.883e-02	-2.883042	5.820e-02	 TRUE	FALSE	white
MIMAT0000417	hsa-miR-15b	 0.4516328	5.621e-02	 1.070266	5.733e-01	 TRUE	FALSE	white
MIMAT0000436	hsa-miR-144	-0.7910944	6.532e-02	-2.844195	6.233e-02	 TRUE	FALSE	white
MIMAT0005954	hsa-miR-720	-0.5477785	6.532e-02	-0.698693	7.481e-01	 TRUE	FALSE	NA
MIMAT0004674	hsa-miR-30c-1*	-0.1378907	6.765e-02	-3.080378	4.230e-02	 TRUE	FALSE	white
MIMAT0000763	hsa-miR-338-3p	-0.8404467	7.003e-02	-3.009258	4.703e-02	 TRUE	FALSE	white
MIMAT0000261	hsa-miR-183	 0.7864950	7.380e-02	 2.405605	1.591e-01	 TRUE	FALSE	white
MIMAT0004673	hsa-miR-29c*	-0.4756783	7.380e-02	-1.356184	4.536e-01	 TRUE	FALSE	white
MIMAT0000072	hsa-miR-18a	 0.4219463	7.915e-02	 1.663974	3.454e-01	 TRUE	FALSE	white
MIMAT0000686	hsa-miR-34c-5p	-0.4449920	7.915e-02	-2.885433	5.820e-02	 TRUE	FALSE	white
MIMAT0000093	hsa-miR-93	 0.3940164	8.003e-02	 1.856216	2.812e-01	 TRUE	FALSE	white
MIMAT0000081	hsa-miR-25	 0.3702363	8.924e-02	 1.797118	3.050e-01	 TRUE	FALSE	white
MIMAT0000267	hsa-miR-210	 0.7941497	8.924e-02	 2.082593	2.122e-01	 TRUE	FALSE	white
MIMAT0005911	hsa-miR-1260	-0.4514469	8.924e-02	-0.995239	6.244e-01	 TRUE	FALSE	rejected
MIMAT0000258	hsa-miR-181c	-0.4460351	8.954e-02	-3.210510	3.524e-02	 TRUE	FALSE	white
MIMAT0002872	hsa-miR-501-5p	-0.1279399	8.954e-02	-1.477283	4.081e-01	 TRUE	FALSE	white
MIMAT0004610	hsa-miR-150*	 0.2689849	8.954e-02	 2.230684	1.799e-01	 TRUE	FALSE	white
MIMAT0007890	hsa-miR-1914*	-0.1904252	8.954e-02	 0.536947	8.451e-01	FALSE	FALSE	rejected
MIMAT0001412	hsa-miR-18b	 0.3535839	8.970e-02	 1.907023	2.730e-01	 TRUE	FALSE	white
MIMAT0005796	hsa-miR-1271	-0.1970933	9.790e-02	-2.071779	2.122e-01	 TRUE	FALSE	white
MIMAT0000438	hsa-miR-152	-0.3973225	1.161e-01	-2.358448	1.627e-01	 TRUE	FALSE	white
MIMAT0000703	hsa-miR-361-5p	-0.2894535	1.161e-01	-1.774278	3.064e-01	 TRUE	FALSE	white
MIMAT0005901	hsa-miR-1249	 0.2909392	1.161e-01	 0.329770	9.007e-01	 TRUE	FALSE	white
MIMAT0004600	hsa-miR-144*	-0.3483377	1.404e-01	-2.766514	7.536e-02	 TRUE	FALSE	white
MIMAT0000082	hsa-miR-26a	-0.3869358	1.632e-01	-1.669373	3.454e-01	 TRUE	FALSE	white
