MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0000072	hsa-miR-18a	 1.0690971	1.579e-11	 3.2949996	0.0374003	 TRUE	 TRUE	white
MIMAT0000681	hsa-miR-29c	-1.1991994	1.218e-09	-4.2857787	0.0016146	 TRUE	 TRUE	white
MIMAT0004673	hsa-miR-29c*	-0.8658101	3.159e-06	-4.6049712	0.0005487	 TRUE	 TRUE	white
MIMAT0000728	hsa-miR-375	-1.7077955	3.045e-04	-3.6694830	0.0129298	 TRUE	 TRUE	white
MIMAT0000250	hsa-miR-139-5p	-0.4662794	3.705e-04	-3.8731903	0.0071434	 TRUE	 TRUE	white
MIMAT0004951	hsa-miR-887	-0.3692006	1.887e-02	-4.7490274	0.0005437	 TRUE	 TRUE	white
MIMAT0004614	hsa-miR-193a-5p	-0.4267581	3.392e-02	-3.3269526	0.0374003	 TRUE	 TRUE	white
MIMAT0005893	hsa-miR-1305	-0.5350172	2.267e-21	-0.2179067	0.9639624	 TRUE	FALSE	purple
MIMAT0005942	hsa-miR-1288	-0.2955529	1.124e-20	 0.0880428	0.9863019	FALSE	FALSE	rejected
MIMAT0001412	hsa-miR-18b	 0.8180463	1.224e-08	 2.9340638	0.0786922	 TRUE	FALSE	white
MIMAT0000080	hsa-miR-24	 0.6759299	2.626e-07	 2.0285964	0.2938269	 TRUE	FALSE	white
MIMAT0000417	hsa-miR-15b	 0.7558200	2.725e-06	 2.6520288	0.1330162	 TRUE	FALSE	white
MIMAT0005938	hsa-miR-1274b	-0.8080767	4.355e-06	 0.2942401	0.9639624	FALSE	FALSE	NA
MIMAT0000093	hsa-miR-93	 0.6474255	1.118e-05	 2.9338629	0.0786922	 TRUE	FALSE	white
MIMAT0000070	hsa-miR-17	 0.8430359	1.745e-05	 2.9963581	0.0786922	 TRUE	FALSE	white
MIMAT0000092	hsa-miR-92a	 0.7526936	3.705e-04	 2.1976470	0.2727737	 TRUE	FALSE	white
MIMAT0003326	hsa-miR-663	 0.8773406	3.765e-04	 2.8905355	0.0786922	 TRUE	FALSE	rejected
MIMAT0000073	hsa-miR-19a	 0.7088448	3.164e-03	 2.2987362	0.2640694	 TRUE	FALSE	white
MIMAT0000442	hsa-miR-9*	 0.7883200	3.688e-03	 2.1542024	0.2727737	 TRUE	FALSE	white
MIMAT0005954	hsa-miR-720	-0.6673105	3.688e-03	-0.6121820	0.8167671	 TRUE	FALSE	NA
MIMAT0000281	hsa-miR-224	 0.9191911	6.682e-03	 2.0064306	0.2979887	 TRUE	FALSE	white
MIMAT0000759	hsa-miR-148b	-0.4539560	6.682e-03	-3.0565874	0.0744375	 TRUE	FALSE	white
MIMAT0000449	hsa-miR-146a	 0.7935177	6.796e-03	 2.4324740	0.1994477	 TRUE	FALSE	white
MIMAT0004694	hsa-miR-342-5p	-0.6700536	1.057e-02	-2.0754786	0.2727737	 TRUE	FALSE	white
MIMAT0000099	hsa-miR-101	-0.5536405	1.582e-02	-2.2109238	0.2727737	 TRUE	FALSE	white
MIMAT0000680	hsa-miR-106b	 0.4201724	1.620e-02	 1.7299866	0.3657114	 TRUE	FALSE	white
