MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0000250	hsa-miR-139-5p	-0.441836	2.965e-03	-5.542456	7.934e-06	 TRUE	 TRUE	white
MIMAT0000088	hsa-miR-30a*	-0.914894	1.428e-02	-3.451174	1.679e-02	 TRUE	 TRUE	white
MIMAT0000436	hsa-miR-144-3p	-0.905785	1.700e-02	-3.605577	1.257e-02	 TRUE	 TRUE	white
MIMAT0004550	hsa-miR-30c-2-3p	-0.476322	2.727e-02	-3.589838	1.257e-02	 TRUE	 TRUE	white
MIMAT0000278	hsa-miR-221-3p	-0.555841	3.228e-02	-4.082044	3.958e-03	 TRUE	 TRUE	white
MIMAT0000265	hsa-miR-204-5p	-0.308255	4.741e-02	-4.488059	9.559e-04	 TRUE	 TRUE	white
MIMAT0005893	hsa-miR-1305	-0.537768	1.076e-21	-0.499288	8.470e-01	 TRUE	FALSE	purple
MIMAT0005942	hsa-miR-1288-3p	-0.304356	1.076e-21	-0.343044	8.802e-01	 TRUE	FALSE	rejected
MIMAT0005938	hsa-miR-1274b	-0.749267	1.069e-04	 0.485521	8.470e-01	FALSE	FALSE	NA
MIMAT0000417	hsa-miR-15b-5p	 0.575823	2.813e-03	 2.097595	2.574e-01	 TRUE	FALSE	white
MIMAT0000080	hsa-miR-24-3p	 0.415975	1.375e-02	 1.039402	6.255e-01	 TRUE	FALSE	white
MIMAT0000267	hsa-miR-210-3p	 0.986264	1.375e-02	 2.574839	1.334e-01	 TRUE	FALSE	white
MIMAT0005954	hsa-miR-720	-0.646228	1.375e-02	-0.740268	7.727e-01	 TRUE	FALSE	NA
MIMAT0007890	hsa-miR-1914-3p	-0.230287	3.228e-02	 0.322966	8.802e-01	FALSE	FALSE	rejected
MIMAT0000099	hsa-miR-101-3p	-0.541275	3.487e-02	-2.774792	9.795e-02	 TRUE	FALSE	white
MIMAT0000244	hsa-miR-30c-5p	-0.528286	4.741e-02	-2.712711	1.044e-01	 TRUE	FALSE	white
MIMAT0005911	hsa-miR-1260	-0.470120	5.238e-02	-1.064581	6.191e-01	 TRUE	FALSE	rejected
MIMAT0002819	hsa-miR-193b-3p	 0.507794	6.059e-02	 2.575742	1.334e-01	 TRUE	FALSE	white
MIMAT0002177	hsa-miR-486-5p	-0.562345	6.806e-02	-3.945765	5.290e-03	 TRUE	FALSE	white
MIMAT0003326	hsa-miR-663	 0.581999	6.806e-02	 2.370898	1.651e-01	 TRUE	FALSE	rejected
MIMAT0001631	hsa-miR-451	-1.220604	8.122e-02	-2.492501	1.534e-01	 TRUE	FALSE	yellow
MIMAT0000261	hsa-miR-183-5p	 0.722247	8.855e-02	 2.411062	1.651e-01	 TRUE	FALSE	white
MIMAT0000693	hsa-miR-30e*	-0.427579	8.855e-02	-2.186084	2.322e-01	 TRUE	FALSE	white
MIMAT0001627	hsa-miR-433-3p	-0.057140	8.855e-02	-2.970763	6.078e-02	 TRUE	FALSE	white
MIMAT0004600	hsa-miR-144-5p	-0.377572	8.855e-02	-3.304723	2.529e-02	 TRUE	FALSE	white
MIMAT0000087	hsa-miR-30a	-0.849127	8.900e-02	-2.365657	1.651e-01	 TRUE	FALSE	white
MIMAT0003239	hsa-miR-574-3p	-0.382421	9.565e-02	-1.587666	4.524e-01	 TRUE	FALSE	white
MIMAT0000104	hsa-miR-107	 0.388693	9.655e-02	 1.306050	5.248e-01	 TRUE	FALSE	white
MIMAT0000226	hsa-miR-196a-5p	 1.185475	9.655e-02	 2.978191	6.078e-02	 TRUE	FALSE	white
MIMAT0000281	hsa-miR-224-5p	 0.670604	9.655e-02	 1.359778	5.197e-01	 TRUE	FALSE	white
MIMAT0001343_MIMAT0003393	hsa-miR-425	 0.455827	9.655e-02	 2.099819	2.574e-01	 TRUE	FALSE	white
MIMAT0000089	hsa-miR-31-5p	-0.432367	1.050e-01	-3.252020	2.771e-02	 TRUE	FALSE	white
MIMAT0000093	hsa-miR-93-5p	 0.317126	1.050e-01	 1.519921	4.636e-01	 TRUE	FALSE	white
MIMAT0004674	hsa-miR-30c-1-3p	-0.115712	1.050e-01	-2.584660	1.334e-01	 TRUE	FALSE	white
MIMAT0002872	hsa-miR-501-5p	-0.116102	1.141e-01	-1.292154	5.252e-01	 TRUE	FALSE	white
MIMAT0004603	hsa-miR-125b-2-3p	-0.249515	1.442e-01	-2.552662	1.354e-01	 TRUE	FALSE	white
MIMAT0000255	hsa-miR-34a-5p	 0.339066	1.476e-01	-0.152699	9.638e-01	FALSE	FALSE	white
MIMAT0000691	hsa-miR-130b-3p	 0.351217	1.507e-01	 1.656298	4.374e-01	 TRUE	FALSE	white
MIMAT0003308	hsa-miR-638	-0.538221	1.507e-01	-0.276777	9.018e-01	 TRUE	FALSE	rejected
MIMAT0004605	hsa-miR-129-3p	-0.132768	1.507e-01	-3.619842	1.257e-02	 TRUE	FALSE	white
MIMAT0000437	hsa-miR-145-5p	-0.484346	1.798e-01	-2.077727	2.574e-01	 TRUE	FALSE	white
MIMAT0000681	hsa-miR-29c-3p	-0.390053	1.798e-01	-0.565542	8.428e-01	 TRUE	FALSE	white
MIMAT0000074	hsa-miR-19b-3p	-0.328620	1.819e-01	-0.899038	6.905e-01	 TRUE	FALSE	white
MIMAT0000076	hsa-miR-21-5p	 0.436119	1.819e-01	 1.259471	5.325e-01	 TRUE	FALSE	white
MIMAT0000256	hsa-miR-181a-5p	 0.431393	1.819e-01	 1.270492	5.318e-01	 TRUE	FALSE	white
MIMAT0000257	hsa-miR-181b-5p	 0.393237	1.819e-01	 1.325290	5.237e-01	 TRUE	FALSE	white
MIMAT0000275	hsa-miR-218-5p	-0.340315	1.819e-01	-1.573805	4.524e-01	 TRUE	FALSE	white
MIMAT0000423	hsa-miR-125b-5p	-0.453728	1.819e-01	-1.914619	3.384e-01	 TRUE	FALSE	white
MIMAT0000425	hsa-miR-130a-3p	-0.401160	1.819e-01	-2.378459	1.651e-01	 TRUE	FALSE	white
