MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0004673	hsa-miR-29c-5p	 0.6425066	1.257e-03	 4.0162526	0.006955	 TRUE	 TRUE	white
MIMAT0000088	hsa-miR-30a-3p	 0.9087423	7.299e-03	 3.6094325	0.012210	 TRUE	 TRUE	white
MIMAT0005898	hsa-miR-1246	-1.0857010	1.174e-02	-3.1134561	0.049001	 TRUE	 TRUE	rejected
MIMAT0000455	hsa-miR-185-5p	-0.3556847	3.746e-02	-3.7971122	0.007759	 TRUE	 TRUE	white
MIMAT0000691	hsa-miR-130b-3p	-0.4275405	4.219e-02	-3.5965071	0.012210	 TRUE	 TRUE	white
MIMAT0000732	hsa-miR-378a-3p	-0.2507452	4.489e-02	-3.9482072	0.006955	 TRUE	 TRUE	white
MIMAT0000705	hsa-miR-362-5p	-0.3499032	4.565e-02	-3.8085015	0.007759	 TRUE	 TRUE	white
MIMAT0005893	hsa-miR-1305	-0.5771649	4.371e-26	-1.2568952	0.458163	 TRUE	FALSE	purple
MIMAT0005942	hsa-miR-1288-3p	-0.3074485	1.852e-23	-0.4578872	0.830392	 TRUE	FALSE	rejected
MIMAT0005938	hsa-miR-1274b	-1.0125859	1.516e-09	-0.8095030	0.700573	 TRUE	FALSE	NA
MIMAT0005954	hsa-miR-720	-1.0347741	4.404e-07	-2.1911309	0.181889	 TRUE	FALSE	NA
MIMAT0007890	hsa-miR-1914-3p	-0.3495251	4.457e-05	-1.1345834	0.522967	 TRUE	FALSE	rejected
MIMAT0005911	hsa-miR-1260	-0.7511127	6.545e-05	-2.2762789	0.168049	 TRUE	FALSE	rejected
MIMAT0000063	hsa-let-7b-5p	 0.6871236	6.137e-04	 2.4760892	0.130364	 TRUE	FALSE	white
MIMAT0005927	hsa-miR-1274a	-0.6680615	6.137e-04	-1.9197440	0.227280	 TRUE	FALSE	NA
MIMAT0002816	hsa-miR-494-3p	-1.4850213	1.028e-03	-2.1585281	0.181889	 TRUE	FALSE	white
MIMAT0000074	hsa-miR-19b-3p	-0.5612590	5.689e-03	-2.5418511	0.121753	 TRUE	FALSE	white
MIMAT0002872	hsa-miR-501-5p	-0.1689932	6.011e-03	-2.7725656	0.081880	 TRUE	FALSE	white
MIMAT0000104	hsa-miR-107	 0.5047285	1.174e-02	 2.1330218	0.184882	 TRUE	FALSE	white
