MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0000417	hsa-miR-15b	 0.801817	4.849e-07	 3.308734	1.504e-02	 TRUE	 TRUE	white
MIMAT0004603	hsa-miR-125b-2*	-0.522072	3.875e-05	-5.773761	2.062e-06	 TRUE	 TRUE	white
MIMAT0000423	hsa-miR-125b	-0.914611	7.906e-04	-3.394882	1.305e-02	 TRUE	 TRUE	white
MIMAT0002819	hsa-miR-193b	 0.715484	1.012e-03	 4.177102	1.571e-03	 TRUE	 TRUE	white
MIMAT0000089	hsa-miR-31	-0.676080	1.809e-03	-5.214755	2.448e-05	 TRUE	 TRUE	white
MIMAT0004673	hsa-miR-29c*	 0.630598	1.809e-03	 3.621146	7.093e-03	 TRUE	 TRUE	white
MIMAT0000250	hsa-miR-139-5p	-0.396906	3.877e-03	-4.903056	6.275e-05	 TRUE	 TRUE	white
MIMAT0000753	hsa-miR-342-3p	 0.920625	3.877e-03	 3.152607	1.957e-02	 TRUE	 TRUE	white
MIMAT0000450	hsa-miR-149	 0.794440	5.824e-03	 3.273453	1.504e-02	 TRUE	 TRUE	white
MIMAT0000451	hsa-miR-150	-1.242958	8.797e-03	-2.908065	3.455e-02	 TRUE	 TRUE	white
MIMAT0002876	hsa-miR-505	-0.309551	8.797e-03	-3.656243	6.808e-03	 TRUE	 TRUE	white
MIMAT0000280	hsa-miR-223	-0.911026	1.222e-02	-3.235248	1.596e-02	 TRUE	 TRUE	white
MIMAT0004597	hsa-miR-140-3p	-0.471691	1.222e-02	-4.046929	1.972e-03	 TRUE	 TRUE	white
MIMAT0000097	hsa-miR-99a	-0.828871	2.042e-02	-2.921561	3.431e-02	 TRUE	 TRUE	white
MIMAT0000265	hsa-miR-204	-0.314898	2.042e-02	-4.977989	5.697e-05	 TRUE	 TRUE	white
MIMAT0000731_MIMAT0000732	hsa-miR-378	-0.275897	2.052e-02	-3.575556	7.747e-03	 TRUE	 TRUE	white
MIMAT0004694	hsa-miR-342-5p	 0.613358	2.052e-02	 2.976340	2.984e-02	 TRUE	 TRUE	white
MIMAT0004504	hsa-miR-31*	-0.515269	2.268e-02	-4.086608	1.941e-03	 TRUE	 TRUE	white
MIMAT0000736	hsa-miR-381	-0.383485	2.711e-02	-3.225023	1.596e-02	 TRUE	 TRUE	white
MIMAT0000730	hsa-miR-377	-0.519090	3.241e-02	-3.118193	2.104e-02	 TRUE	 TRUE	white
MIMAT0000729	hsa-miR-376a	-0.501891	3.401e-02	-3.103996	2.116e-02	 TRUE	 TRUE	white
MIMAT0001627	hsa-miR-433	-0.058981	3.808e-02	-3.664710	6.808e-03	 TRUE	 TRUE	white
MIMAT0000687	hsa-miR-299-3p	-0.164283	4.715e-02	-2.977467	2.984e-02	 TRUE	 TRUE	white
MIMAT0000278	hsa-miR-221	-0.458136	4.783e-02	-3.270234	1.504e-02	 TRUE	 TRUE	white
MIMAT0005942	hsa-miR-1288	-0.305147	1.160e-22	-0.414885	8.317e-01	 TRUE	FALSE	rejected
MIMAT0005893	hsa-miR-1305	-0.534039	1.613e-22	-0.505518	7.957e-01	 TRUE	FALSE	purple
MIMAT0005938	hsa-miR-1274b	-0.737961	4.934e-05	 0.807419	6.805e-01	FALSE	FALSE	NA
MIMAT0000101	hsa-miR-103	 0.546526	1.006e-03	 2.182626	1.406e-01	 TRUE	FALSE	white
MIMAT0000104	hsa-miR-107	 0.617103	1.012e-03	 2.522016	8.210e-02	 TRUE	FALSE	white
MIMAT0007890	hsa-miR-1914*	-0.273047	2.709e-03	-0.270749	8.869e-01	 TRUE	FALSE	rejected
MIMAT0000063	hsa-let-7b	 0.562943	7.275e-03	 1.458508	3.968e-01	 TRUE	FALSE	white
MIMAT0005954	hsa-miR-720	-0.626681	7.275e-03	-0.602884	7.734e-01	 TRUE	FALSE	NA
MIMAT0000243	hsa-miR-148a	-0.768130	2.052e-02	-2.404184	1.003e-01	 TRUE	FALSE	white
MIMAT0000761	hsa-miR-324-5p	 0.366298	2.598e-02	 2.404695	1.003e-01	 TRUE	FALSE	white
MIMAT0000098	hsa-miR-100	-0.664379	2.614e-02	-2.696623	5.823e-02	 TRUE	FALSE	white
MIMAT0000093	hsa-miR-93	 0.354868	3.611e-02	 2.107471	1.504e-01	 TRUE	FALSE	white
MIMAT0005927	hsa-miR-1274a	-0.440547	3.650e-02	-0.780106	6.805e-01	 TRUE	FALSE	NA
MIMAT0003886	hsa-miR-769-5p	 0.294302	3.974e-02	 2.520193	8.210e-02	 TRUE	FALSE	white
MIMAT0000452	hsa-miR-154	-0.243224	4.374e-02	-2.547041	8.027e-02	 TRUE	FALSE	white
MIMAT0000436	hsa-miR-144	-0.697845	4.715e-02	-2.676859	5.990e-02	 TRUE	FALSE	white
MIMAT0001343_MIMAT0003393	hsa-miR-425	 0.471904	4.715e-02	 2.197166	1.380e-01	 TRUE	FALSE	white
MIMAT0000266	hsa-miR-205	-1.095377	4.816e-02	-1.882531	2.083e-01	 TRUE	FALSE	white
MIMAT0000720	hsa-miR-376c	-0.482654	4.816e-02	-2.580299	7.502e-02	 TRUE	FALSE	white
MIMAT0000437	hsa-miR-145	-0.565299	5.082e-02	-2.371233	1.025e-01	 TRUE	FALSE	white
MIMAT0000066	hsa-let-7e	 0.650809	5.759e-02	 2.042847	1.630e-01	 TRUE	FALSE	white
MIMAT0000261	hsa-miR-183	 0.686334	5.759e-02	 2.415071	1.003e-01	 TRUE	FALSE	white
MIMAT0004814	hsa-miR-654-3p	-0.287056	5.804e-02	-2.754338	5.046e-02	 TRUE	FALSE	white
MIMAT0000275	hsa-miR-218	-0.398323	7.091e-02	-2.303575	1.108e-01	 TRUE	FALSE	white
MIMAT0003299	hsa-miR-630	-0.301575	7.091e-02	-0.700909	7.264e-01	 TRUE	FALSE	rejected
MIMAT0002872	hsa-miR-501-5p	-0.114105	7.336e-02	-1.245832	4.861e-01	 TRUE	FALSE	white
MIMAT0004605	hsa-miR-129-3p	-0.139002	7.336e-02	-3.715273	6.749e-03	 TRUE	FALSE	white
MIMAT0004689	hsa-miR-377*	-0.100898	7.336e-02	-3.299307	1.504e-02	 TRUE	FALSE	white
MIMAT0000757	hsa-miR-151-3p	 0.387196	7.718e-02	 1.931377	2.002e-01	 TRUE	FALSE	white
MIMAT0003228	hsa-miR-564	-0.084498	8.227e-02	 0.488883	7.986e-01	FALSE	FALSE	rejected
MIMAT0000443	hsa-miR-125a-5p	 0.426917	8.294e-02	 2.652397	6.253e-02	 TRUE	FALSE	white
MIMAT0000689	hsa-miR-99b	 0.423640	8.325e-02	 2.059115	1.591e-01	 TRUE	FALSE	white
MIMAT0000431	hsa-miR-140-5p	-0.407975	8.418e-02	-2.320499	1.081e-01	 TRUE	FALSE	white
MIMAT0000267	hsa-miR-210	 0.627787	9.189e-02	 1.878628	2.083e-01	 TRUE	FALSE	white
MIMAT0004600	hsa-miR-144*	-0.322866	9.189e-02	-2.845344	4.002e-02	 TRUE	FALSE	white
MIMAT0005911	hsa-miR-1260	-0.362835	9.189e-02	-0.395514	8.317e-01	 TRUE	FALSE	rejected
MIMAT0000074	hsa-miR-19b	-0.351947	9.320e-02	-0.873864	6.618e-01	 TRUE	FALSE	white
MIMAT0000445	hsa-miR-126	-0.562497	9.748e-02	-1.988907	1.814e-01	 TRUE	FALSE	white
MIMAT0002177	hsa-miR-486-5p	-0.444482	9.748e-02	-3.371827	1.324e-02	 TRUE	FALSE	white
MIMAT0001631	hsa-miR-451	-0.977520	1.008e-01	-2.395592	1.003e-01	 TRUE	FALSE	yellow
MIMAT0004601	hsa-miR-145*	-0.248983	1.008e-01	-2.118715	1.488e-01	 TRUE	FALSE	white
MIMAT0004951	hsa-miR-887	 0.261817	1.008e-01	 1.046596	5.775e-01	 TRUE	FALSE	white
MIMAT0005898	hsa-miR-1246	-0.713657	1.008e-01	-2.060703	1.591e-01	 TRUE	FALSE	rejected
MIMAT0002816	hsa-miR-494	-0.798304	1.027e-01	-0.513536	7.957e-01	 TRUE	FALSE	white
MIMAT0003308	hsa-miR-638	-0.502439	1.078e-01	 0.017273	9.899e-01	FALSE	FALSE	rejected
MIMAT0005796	hsa-miR-1271	-0.155631	1.081e-01	-2.138669	1.467e-01	 TRUE	FALSE	white
MIMAT0002814	hsa-miR-432	-0.143634	1.178e-01	-2.839820	4.002e-02	 TRUE	FALSE	white
MIMAT0000425	hsa-miR-130a	-0.404774	1.183e-01	-2.325245	1.081e-01	 TRUE	FALSE	white
MIMAT0000737	hsa-miR-382	-0.175501	1.378e-01	-2.156370	1.467e-01	 TRUE	FALSE	white
MIMAT0000760	hsa-miR-331-3p	 0.270029	1.378e-01	 1.257534	4.861e-01	 TRUE	FALSE	white
MIMAT0003879	hsa-miR-758	-0.168819	1.378e-01	-2.322379	1.081e-01	 TRUE	FALSE	white
MIMAT0000433	hsa-miR-142-5p	-0.495429	1.390e-01	-2.436308	9.867e-02	 TRUE	FALSE	white
MIMAT0004606	hsa-miR-136*	-0.168908	1.403e-01	-1.730821	2.776e-01	 TRUE	FALSE	white
MIMAT0000617	hsa-miR-200c	 0.452967	1.487e-01	 2.229017	1.296e-01	 TRUE	FALSE	white
MIMAT0000095	hsa-miR-96	 0.611128	1.586e-01	 2.088891	1.526e-01	 TRUE	FALSE	white
MIMAT0000068	hsa-miR-15a	 0.390122	1.618e-01	 1.062372	5.676e-01	 TRUE	FALSE	white
MIMAT0000080	hsa-miR-24	 0.220567	1.618e-01	-0.238901	9.028e-01	FALSE	FALSE	white
MIMAT0000245	hsa-miR-30d	 0.401576	1.618e-01	 1.322692	4.580e-01	 TRUE	FALSE	white
MIMAT0000252	hsa-miR-7	 0.559695	1.618e-01	 1.923547	2.010e-01	 TRUE	FALSE	white
MIMAT0000434	hsa-miR-142-3p	-0.626372	1.618e-01	-1.910601	2.043e-01	 TRUE	FALSE	white
MIMAT0000733	hsa-miR-379	-0.257911	1.651e-01	-1.872563	2.085e-01	 TRUE	FALSE	white
MIMAT0001638	hsa-miR-409-5p	-0.112452	1.688e-01	-2.250408	1.249e-01	 TRUE	FALSE	white
MIMAT0004674	hsa-miR-30c-1*	-0.087403	1.688e-01	-2.101360	1.504e-01	 TRUE	FALSE	white
MIMAT0000081	hsa-miR-25	 0.251190	1.737e-01	 1.294710	4.726e-01	 TRUE	FALSE	white
MIMAT0000432	hsa-miR-141	 0.496705	1.756e-01	 2.333548	1.081e-01	 TRUE	FALSE	white
MIMAT0004795	hsa-miR-574-5p	-0.374067	1.756e-01	-0.642192	7.528e-01	 TRUE	FALSE	white
MIMAT0005939	hsa-miR-1281	-0.075934	1.756e-01	-1.495376	3.818e-01	 TRUE	FALSE	rejected
MIMAT0000099	hsa-miR-101	-0.314494	1.818e-01	-1.481747	3.835e-01	 TRUE	FALSE	white
MIMAT0000710	hsa-miR-365	 0.350260	1.922e-01	 1.505651	3.818e-01	 TRUE	FALSE	white
MIMAT0000728	hsa-miR-375	 0.697274	1.922e-01	 1.623569	3.308e-01	 TRUE	FALSE	white
MIMAT0004697	hsa-miR-151-5p	 0.333488	1.922e-01	 1.221441	4.895e-01	 TRUE	FALSE	white
MIMAT0004767	hsa-miR-193b*	 0.129032	1.922e-01	 1.360956	4.438e-01	 TRUE	FALSE	white
MIMAT0002809	hsa-miR-146b-5p	-0.408493	2.085e-01	-1.567573	3.572e-01	 TRUE	FALSE	white
MIMAT0000086	hsa-miR-29a	-0.237137	2.107e-01	-2.472534	9.150e-02	 TRUE	FALSE	white
MIMAT0001639	hsa-miR-409-3p	-0.160203	2.107e-01	-1.985820	1.814e-01	 TRUE	FALSE	white
MIMAT0004695	hsa-miR-337-5p	-0.174235	2.107e-01	-1.408623	4.186e-01	 TRUE	FALSE	white
MIMAT0000435	hsa-miR-143	-0.331929	2.113e-01	-1.436119	4.086e-01	 TRUE	FALSE	white
MIMAT0004558	hsa-miR-181a-2*	-0.136923	2.153e-01	-1.344051	4.490e-01	 TRUE	FALSE	white
MIMAT0005948	hsa-miR-664*	 0.196638	2.153e-01	 2.133077	1.467e-01	 TRUE	FALSE	rejected
MIMAT0002176	hsa-miR-485-3p	-0.057094	2.153e-01	-1.896019	2.083e-01	 TRUE	FALSE	white
MIMAT0000691	hsa-miR-130b	 0.254453	2.259e-01	 0.973608	6.100e-01	 TRUE	FALSE	white
MIMAT0003237	hsa-miR-572	-0.241421	2.259e-01	 0.309601	8.715e-01	FALSE	FALSE	rejected
MIMAT0000065	hsa-let-7d	 0.364731	2.306e-01	 1.257792	4.861e-01	 TRUE	FALSE	white
MIMAT0000256	hsa-miR-181a	 0.331335	2.306e-01	 0.787614	6.805e-01	 TRUE	FALSE	white
MIMAT0000687_MIMAT0002890	hsa-miR-299-5p	-0.199139	2.306e-01	-1.669723	3.081e-01	 TRUE	FALSE	white
MIMAT0004954	hsa-miR-543	-0.061769	2.335e-01	-1.974988	1.834e-01	 TRUE	FALSE	white
MIMAT0003330	hsa-miR-654-5p	-0.046339	2.434e-01	-0.837230	6.691e-01	 TRUE	FALSE	white
MIMAT0002171	hsa-miR-410	-0.146103	2.465e-01	-1.324032	4.580e-01	 TRUE	FALSE	white
MIMAT0003163	hsa-miR-539	-0.099780	2.484e-01	-1.523394	3.732e-01	 TRUE	FALSE	white
MIMAT0000281	hsa-miR-224	-0.413710	2.524e-01	-1.849525	2.168e-01	 TRUE	FALSE	white
MIMAT0000279	hsa-miR-222	-0.378931	2.534e-01	-2.140541	1.467e-01	 TRUE	FALSE	white
MIMAT0000062	hsa-let-7a	 0.449904	2.540e-01	 1.208834	4.943e-01	 TRUE	FALSE	white
MIMAT0000446	hsa-miR-127-3p	-0.280178	2.540e-01	-1.571559	3.572e-01	 TRUE	FALSE	white
MIMAT0000680	hsa-miR-106b	 0.204967	2.540e-01	 1.084192	5.606e-01	 TRUE	FALSE	white
MIMAT0004557	hsa-miR-34a*	-0.102540	2.574e-01	-1.528095	3.732e-01	 TRUE	FALSE	white
MIMAT0002175	hsa-miR-485-5p	-0.056408	2.584e-01	-1.889558	2.083e-01	 TRUE	FALSE	white
MIMAT0005901	hsa-miR-1249	 0.180767	2.617e-01	-0.389728	8.317e-01	FALSE	FALSE	white
MIMAT0000253	hsa-miR-10a	 0.518743	2.621e-01	 1.432304	4.086e-01	 TRUE	FALSE	white
MIMAT0000770	hsa-miR-133b	-0.155704	2.649e-01	-3.459913	1.106e-02	 TRUE	FALSE	white
MIMAT0000226	hsa-miR-196a	 0.688348	2.739e-01	 1.311088	4.633e-01	 TRUE	FALSE	white
MIMAT0004552	hsa-miR-139-3p	-0.091883	2.739e-01	-1.238133	4.862e-01	 TRUE	FALSE	white
MIMAT0000459	hsa-miR-193a-3p	 0.211960	2.749e-01	 0.771194	6.814e-01	 TRUE	FALSE	white
MIMAT0000756	hsa-miR-326	 0.112632	2.749e-01	 1.219438	4.895e-01	 TRUE	FALSE	white
MIMAT0000759	hsa-miR-148b	 0.191264	2.753e-01	 1.015207	5.894e-01	 TRUE	FALSE	white
