MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0005954	hsa-miR-720	-1.390498	1.674e-11	-4.07962	0.004000	 TRUE	 TRUE	NA
MIMAT0005911	hsa-miR-1260	-1.124217	7.237e-10	-4.47217	0.002060	 TRUE	 TRUE	rejected
MIMAT0005927	hsa-miR-1274a	-0.938087	6.260e-07	-3.26499	0.041598	 TRUE	 TRUE	NA
MIMAT0002820	hsa-miR-497-5p	 0.859361	4.000e-05	 3.50099	0.020550	 TRUE	 TRUE	white
MIMAT0000455	hsa-miR-185-5p	-0.539938	7.993e-04	-4.16997	0.004000	 TRUE	 TRUE	white
MIMAT0000097	hsa-miR-99a-5p	 1.162916	8.243e-04	 3.84965	0.006293	 TRUE	 TRUE	white
MIMAT0000691	hsa-miR-130b-3p	-0.583310	4.998e-03	-3.92218	0.005835	 TRUE	 TRUE	white
MIMAT0005893	hsa-miR-1305	-0.605209	1.726e-25	-1.94795	0.278292	 TRUE	FALSE	purple
MIMAT0005942	hsa-miR-1288-3p	-0.308825	4.582e-21	-0.66130	0.769406	 TRUE	FALSE	rejected
MIMAT0005938	hsa-miR-1274b	-1.371197	1.160e-15	-3.02519	0.066096	 TRUE	FALSE	NA
MIMAT0000265	hsa-miR-204-5p	 0.505947	7.093e-05	 2.18744	0.262406	 TRUE	FALSE	white
MIMAT0007890	hsa-miR-1914-3p	-0.340176	1.813e-04	-1.02138	0.609865	 TRUE	FALSE	rejected
MIMAT0000250	hsa-miR-139-5p	 0.440724	2.111e-03	 2.12713	0.262406	 TRUE	FALSE	white
MIMAT0000098	hsa-miR-100-5p	 0.846203	6.255e-03	 3.10565	0.063128	 TRUE	FALSE	white
MIMAT0001343_MIMAT0003393	hsa-miR-425	-0.623172	1.309e-02	-3.05416	0.066096	 TRUE	FALSE	white
MIMAT0004795	hsa-miR-574-5p	-0.706552	1.309e-02	-1.91689	0.282632	 TRUE	FALSE	white
MIMAT0000680	hsa-miR-106b-5p	-0.451558	1.494e-02	-2.89031	0.093066	 TRUE	FALSE	white
MIMAT0002816	hsa-miR-494-3p	-1.246638	1.541e-02	-1.30798	0.477825	 TRUE	FALSE	white
MIMAT0000063	hsa-let-7b-5p	 0.539994	2.086e-02	 1.69775	0.355543	 TRUE	FALSE	white
MIMAT0000271	hsa-miR-214-3p	 0.727821	2.626e-02	 1.90445	0.285333	 TRUE	FALSE	white
MIMAT0000064	hsa-let-7c-5p	 0.509078	2.662e-02	 1.94057	0.278292	 TRUE	FALSE	white
MIMAT0000275	hsa-miR-218-5p	 0.515023	2.662e-02	 1.63898	0.390201	 TRUE	FALSE	white
MIMAT0000423	hsa-miR-125b-5p	 0.683731	2.662e-02	 2.50444	0.182237	 TRUE	FALSE	white
MIMAT0002817	hsa-miR-495-3p	 0.218768	2.662e-02	 1.85806	0.300012	 TRUE	FALSE	white
MIMAT0004603	hsa-miR-125b-2-3p	 0.337482	2.662e-02	 1.69844	0.355543	 TRUE	FALSE	white
MIMAT0004606	hsa-miR-136-3p	 0.262900	2.662e-02	 1.71985	0.349724	 TRUE	FALSE	white
MIMAT0004601	hsa-miR-145-3p	 0.352209	2.761e-02	 1.88203	0.294731	 TRUE	FALSE	white
MIMAT0000736	hsa-miR-381-3p	 0.402964	2.976e-02	 1.52704	0.421448	 TRUE	FALSE	white
MIMAT0004594	hsa-miR-132-5p	 0.239758	2.976e-02	 2.09345	0.262406	 TRUE	FALSE	white
MIMAT0000435	hsa-miR-143-3p	 0.583858	3.233e-02	 2.25283	0.262406	 TRUE	FALSE	white
MIMAT0000452	hsa-miR-154-5p	 0.269334	3.495e-02	 2.02459	0.265439	 TRUE	FALSE	white
MIMAT0000437	hsa-miR-145-5p	 0.637254	4.013e-02	 2.33928	0.233608	 TRUE	FALSE	white
MIMAT0003329	hsa-miR-411-5p	 0.149862	4.013e-02	 1.93068	0.279158	 TRUE	FALSE	white
MIMAT0004954	hsa-miR-543	 0.108756	4.459e-02	 1.75071	0.332481	 TRUE	FALSE	white
MIMAT0000231	hsa-miR-199a-5p	 0.602695	5.001e-02	 2.07255	0.262406	 TRUE	FALSE	white
MIMAT0000263	hsa-miR-199b-5p	 0.748466	5.001e-02	 2.17265	0.262406	 TRUE	FALSE	white
MIMAT0000461	hsa-miR-195-5p	 0.792375	5.001e-02	 2.01214	0.267243	 TRUE	FALSE	white
MIMAT0000232	hsa-miR-199a-3p	 0.911542	5.330e-02	 1.95003	0.278292	 TRUE	FALSE	white
MIMAT0000729	hsa-miR-376a-3p	 0.490876	5.390e-02	 1.18626	0.528034	 TRUE	FALSE	white
MIMAT0004494	hsa-miR-21-3p	-0.593750	5.824e-02	-2.69455	0.156238	 TRUE	FALSE	white
MIMAT0004689	hsa-miR-377-5p	 0.112256	6.289e-02	 1.49421	0.423138	 TRUE	FALSE	white
MIMAT0002174	hsa-miR-484	-0.180029	6.555e-02	-2.48331	0.182237	 TRUE	FALSE	rejected
MIMAT0000418	hsa-miR-23b-3p	 0.460618	6.806e-02	 2.04536	0.262406	 TRUE	FALSE	white
MIMAT0000269	hsa-miR-212-3p	 0.145740	6.849e-02	 1.39959	0.455050	 TRUE	FALSE	white
MIMAT0000426	hsa-miR-132-3p	 0.257195	6.849e-02	 1.61320	0.394203	 TRUE	FALSE	white
MIMAT0003233	hsa-miR-551b-3p	 0.499004	6.849e-02	 2.08864	0.262406	 TRUE	FALSE	white
MIMAT0002175	hsa-miR-485-5p	 0.095227	6.952e-02	 1.58654	0.396561	 TRUE	FALSE	white
MIMAT0000093	hsa-miR-93-5p	-0.328041	7.091e-02	-2.35008	0.233608	 TRUE	FALSE	white
MIMAT0004552	hsa-miR-139-3p	 0.158465	7.091e-02	 2.49997	0.182237	 TRUE	FALSE	white
MIMAT0005939	hsa-miR-1281	-0.104665	7.502e-02	-2.14118	0.262406	 TRUE	FALSE	rejected
MIMAT0000254	hsa-miR-10b-5p	 0.736880	7.556e-02	 2.12181	0.262406	 TRUE	FALSE	white
MIMAT0005898	hsa-miR-1246	-0.818409	7.782e-02	-2.03918	0.262406	 TRUE	FALSE	rejected
MIMAT0000730	hsa-miR-377-3p	 0.454724	8.214e-02	 0.70544	0.756349	 TRUE	FALSE	white
MIMAT0000720	hsa-miR-376c-3p	 0.454892	8.525e-02	 0.89879	0.653944	 TRUE	FALSE	white
MIMAT0002872	hsa-miR-501-5p	-0.117052	8.525e-02	-1.33167	0.477825	 TRUE	FALSE	white
MIMAT0000432	hsa-miR-141-3p	-0.656841	8.898e-02	-1.86825	0.298534	 TRUE	FALSE	white
MIMAT0000425	hsa-miR-130a-3p	 0.455634	1.013e-01	 1.37426	0.455050	 TRUE	FALSE	white
MIMAT0000688	hsa-miR-301a-3p	-0.541836	1.013e-01	-2.52411	0.182237	 TRUE	FALSE	white
MIMAT0004599	hsa-miR-143-5p	 0.148251	1.013e-01	 1.51582	0.422804	 TRUE	FALSE	white
MIMAT0002171	hsa-miR-410-3p	 0.213982	1.043e-01	 1.62104	0.393415	 TRUE	FALSE	white
MIMAT0002173	hsa-miR-483-3p	 0.163921	1.043e-01	 1.17346	0.532768	 TRUE	FALSE	white
MIMAT0004695	hsa-miR-337-5p	 0.236299	1.043e-01	 1.39495	0.455050	 TRUE	FALSE	white
MIMAT0000074	hsa-miR-19b-3p	-0.361856	1.065e-01	-1.31992	0.477825	 TRUE	FALSE	white
