MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0005893	hsa-miR-1305	 0.681050	2.317e-34	 6.11992	1.551e-08	 TRUE	 TRUE	purple
MIMAT0005942	hsa-miR-1288-3p	 0.341835	1.579e-30	 5.09515	3.848e-06	 TRUE	 TRUE	rejected
MIMAT0000076	hsa-miR-21-5p	 2.407247	8.769e-25	 8.67618	0.000e+00	 TRUE	 TRUE	white
MIMAT0000250	hsa-miR-139-5p	-1.275735	6.997e-20	-8.16657	1.177e-14	 TRUE	 TRUE	white
MIMAT0005938	hsa-miR-1274b	 1.599759	6.997e-20	 6.30766	5.775e-09	 TRUE	 TRUE	NA
MIMAT0002177	hsa-miR-486-5p	-1.820000	3.564e-13	-4.84339	1.166e-05	 TRUE	 TRUE	white
MIMAT0003233	hsa-miR-551b-3p	-1.698391	4.442e-13	-5.99543	3.164e-08	 TRUE	 TRUE	white
MIMAT0005911	hsa-miR-1260	 1.157134	8.198e-11	 7.11064	3.826e-11	 TRUE	 TRUE	rejected
MIMAT0005954	hsa-miR-720	 1.366993	1.044e-10	 5.41823	7.595e-07	 TRUE	 TRUE	NA
MIMAT0002820	hsa-miR-497-5p	-1.245139	5.288e-10	-6.91852	1.344e-10	 TRUE	 TRUE	white
MIMAT0005927	hsa-miR-1274a	 1.022004	5.442e-09	     Inf	0.000e+00	 TRUE	 TRUE	NA
MIMAT0000437	hsa-miR-145-5p	-1.379482	3.995e-08	-6.28219	6.319e-09	 TRUE	 TRUE	white
MIMAT0007890	hsa-miR-1914-3p	 0.441908	4.680e-08	 3.86127	5.338e-04	 TRUE	 TRUE	rejected
MIMAT0004614	hsa-miR-193a-5p	-0.926881	1.200e-07	-4.82505	1.197e-05	 TRUE	 TRUE	white
MIMAT0000732	hsa-miR-378a-3p	-0.658823	2.368e-07	-3.65796	9.626e-04	 TRUE	 TRUE	white
MIMAT0000646	hsa-miR-155-5p	 1.295182	1.696e-06	 8.21753	1.177e-14	 TRUE	 TRUE	white
