MIMATID	name	DCIS-normal	invasive-DCIS	Normallike-DCIS	LumA-DCIS	LumB-DCIS	Her2-DCIS	Basallike-DCIS	HER2neg_ERneg_PGRneg-DCIS	HER2neg_ERpos-DCIS	HER2pos_ERneg-DCIS	HER2pos_ERpos-DCIS
MIMAT0005893	hsa-miR-1305	UP										
MIMAT0005942	hsa-miR-1288	UP										
MIMAT0000076	hsa-miR-21	UP										
MIMAT0000250	hsa-miR-139-5p	DOWN				DOWN	DOWN	DOWN	DOWN		DOWN	
MIMAT0005938	hsa-miR-1274b	UP										
MIMAT0002177	hsa-miR-486-5p	DOWN										
MIMAT0003233	hsa-miR-551b	DOWN										
MIMAT0005911	hsa-miR-1260	UP		DOWN								
MIMAT0005954	hsa-miR-720	UP		DOWN								
MIMAT0002820	hsa-miR-497	DOWN		UP								
MIMAT0005927	hsa-miR-1274a	UP		DOWN								
MIMAT0000437	hsa-miR-145	DOWN										
MIMAT0007890	hsa-miR-1914*	UP										
MIMAT0004614	hsa-miR-193a-5p	DOWN						DOWN				
MIMAT0000731_MIMAT0000732	hsa-miR-378	DOWN			DOWN	DOWN						
MIMAT0000646	hsa-miR-155	UP										
MIMAT0000617	hsa-miR-200c	UP										
MIMAT0001343_MIMAT0003393	hsa-miR-425	UP										
MIMAT0000752	hsa-miR-328	DOWN										
MIMAT0000261	hsa-miR-183	UP										
MIMAT0000318	hsa-miR-200b	UP										
MIMAT0000691	hsa-miR-130b	UP		DOWN	DOWN							
MIMAT0000432	hsa-miR-141	UP										
MIMAT0001536	hsa-miR-429	UP										
MIMAT0004552	hsa-miR-139-3p	DOWN										
MIMAT0000095	hsa-miR-96	UP										
MIMAT0000434	hsa-miR-142-3p	UP										
MIMAT0004599	hsa-miR-143*	DOWN										
MIMAT0004494	hsa-miR-21*	UP										
MIMAT0000243	hsa-miR-148a	UP										
MIMAT0004597	hsa-miR-140-3p	DOWN				DOWN						
MIMAT0000433	hsa-miR-142-5p	UP										
MIMAT0000097	hsa-miR-99a	DOWN		UP		DOWN						
MI0000063_MIMAT0000063	hsa-let-7b	DOWN										
MI0000064_MIMAT0000064	hsa-let-7c	DOWN										
MIMAT0000682	hsa-miR-200a	UP										
MIMAT0000736	hsa-miR-381	DOWN				DOWN						
MIMAT0005901	hsa-miR-1249	DOWN										
MIMAT0000435	hsa-miR-143	DOWN										
MIMAT0004603	hsa-miR-125b-2*	DOWN				DOWN						
MIMAT0002872	hsa-miR-501-5p	UP										
MIMAT0000265	hsa-miR-204	DOWN				DOWN	DOWN					
MIMAT0000760	hsa-miR-331-3p	UP										
MIMAT0005792	hsa-miR-320b	DOWN										
MIMAT0006764	hsa-miR-320d	DOWN										
MIMAT0004682	hsa-miR-361-3p	UP										
MIMAT0002819	hsa-miR-193b	DOWN				UP						
MIMAT0004767	hsa-miR-193b*	DOWN										
MIMAT0000074	hsa-miR-19b	UP										
MIMAT0002816	hsa-miR-494	UP										
MIMAT0004694	hsa-miR-342-5p	UP				UP						
MIMAT0000728	hsa-miR-375	UP						DOWN				
MIMAT0000680	hsa-miR-106b	UP										
MIMAT0005793	hsa-miR-320c	DOWN										
MIMAT0004557	hsa-miR-34a*	UP										
MIMAT0004601	hsa-miR-145*	DOWN										
MIMAT0000753	hsa-miR-342-3p	UP				UP						
MIMAT0000447	hsa-miR-134	DOWN										
MIMAT0000759	hsa-miR-148b	UP										
MIMAT0000098	hsa-miR-100	DOWN										
MIMAT0000449	hsa-miR-146a	UP										
MIMAT0001631	hsa-miR-451	DOWN										
MIMAT0003308	hsa-miR-638	DOWN										
MIMAT0004571	hsa-miR-200b*	UP										
MIMAT0000093	hsa-miR-93	UP										
MIMAT0000267	hsa-miR-210	UP										
MIMAT0005898	hsa-miR-1246	UP			DOWN							
MIMAT0000424	hsa-miR-128	UP										
MIMAT0004795	hsa-miR-574-5p	UP										
MIMAT0000077	hsa-miR-22	DOWN										
MIMAT0000070	hsa-miR-17	UP										
MIMAT0002174	hsa-miR-484	UP										
MIMAT0000257	hsa-miR-181b	UP										
MIMAT0000281	hsa-miR-224	DOWN										
