	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005893	0.681050388715719	6.56406460272808	13.002502367803	8.71854427970277e-37	2.31913277840094e-34	72.6271268077335
MIMAT0005942	0.341835010430649	6.25603989142119	12.1755954358378	1.18088240192425e-32	1.57057359455925e-30	63.2046439585579
MIMAT0000076	2.40724738244277	14.9254812206655	10.9022548061479	9.92686013500753e-27	8.80181598637334e-25	49.7085361418652
MIMAT0000250	-1.27573519746592	7.03291562022824	-9.69287508719291	1.28573858966228e-21	7.02256445129296e-20	38.0834644791348
MIMAT0005938	1.5997588198924	11.8623791538976	9.69002633709352	1.32003091189717e-21	7.02256445129296e-20	38.0574993110366
MIMAT0002177	-1.82000007211599	7.51667910451561	-7.84292893437395	8.06968608797353e-15	3.57756083233493e-13	22.6778320860793
MIMAT0003233	-1.69839067570165	7.83319432511594	-7.79395898343618	1.17338391834655e-14	4.45885888971691e-13	22.3104863806592
MIMAT0005911	1.15713417665699	10.4349702372042	7.0609363290042	2.47474627514125e-12	8.22853136484466e-11	17.0679248073206
MIMAT0005954	1.36699320755393	14.4856881354165	7.00922008727956	3.54559228698703e-12	1.04791949815394e-10	16.716331002798
MIMAT0002820	-1.24513864004505	9.17150625740758	-6.755746314065	1.99549843824497e-11	5.30802584573162e-10	15.028257048717
MIMAT0005927	1.0220039673756	8.94758318928112	6.3844835641459	2.25893623003178e-10	5.46251851989503e-09	12.6618105990919
MIMAT0000437	-1.37948190202648	10.2874316645683	-6.04985418480704	1.80905658182348e-09	4.01007542304205e-08	10.6377579944017
MIMAT0007890	0.441907938811488	6.80684986045755	6.01051626492524	2.29494849251622e-09	4.69581768468704e-08	10.40663920898
MIMAT0004614	-0.926880982163502	8.42963711460541	-5.83977426167436	6.34074772728366e-09	1.2047420681839e-07	9.42019707895081
MIMAT0000731_MIMAT0000732	-0.658822666757963	6.91094956040422	-5.71107216632145	1.340323007007e-08	2.37683946575908e-07	8.69462855453305
MIMAT0000646	1.2951816856626	8.66709455645901	5.34740463800643	1.02377442092526e-07	1.70202497478824e-06	6.72842568424172
MIMAT0000617	1.22245172314496	8.96947616124768	5.27090859657525	1.54611015258316e-07	2.41920765051248e-06	6.33070207307696
MIMAT0001343_MIMAT0003393	0.99709321516857	9.74272236504013	5.24851719838718	1.74263091914819e-07	2.57522124718567e-06	6.21532938489977
MIMAT0000752	-0.195176467052931	6.31614100795815	-5.18810075999817	2.40115235790973e-07	3.36161330107363e-06	5.90639743768898
MIMAT0000261	1.40184830304184	9.41564627355757	5.16481304597028	2.71451048864437e-07	3.44334314282865e-06	5.78824129475939
MIMAT0000318	1.62926098342177	11.9156481872134	5.16453863531192	2.71842879696999e-07	3.44334314282865e-06	5.78685206468221
MIMAT0000691	0.826645093039	9.03993880694124	4.82602993692374	1.52819152014648e-06	1.84772247435893e-05	4.12756116159802
MIMAT0000432	1.35228001603536	10.998633789289	4.71492675206672	2.63210890120737e-06	3.04409116400504e-05	3.60674065191941
MIMAT0001536	1.19880368628892	9.35689619076645	4.59415459500757	4.69216389543247e-06	5.20048165077099e-05	3.05397347984993
MIMAT0004552	-0.285665632694873	6.63875918019619	-4.54517175615669	5.90930892984473e-06	6.28750470135479e-05	2.83376097257695
MIMAT0000095	1.42626621177129	9.73003339426743	4.5271172997263	6.43003366731545e-06	6.57841905963811e-05	2.75317324634443
MIMAT0000434	1.42314171113557	11.5599192960315	4.47918631918724	8.03430876882306e-06	7.91528197224791e-05	2.54074508296989
MIMAT0004599	-0.303373932107739	6.65009515916483	-4.42770273152569	1.01818848364202e-05	9.67279059459915e-05	2.31502715901235
MIMAT0004494	0.947691919761338	8.8941789669405	4.35314513905197	1.42867488893635e-05	0.000131043972571403	1.992658994655
MIMAT0000243	1.06702993041715	10.2321036516171	4.23301703815811	2.4392921126053e-05	0.000216283900651003	1.48450098500271
MIMAT0004597	-0.631408229156868	9.38305913333397	-4.21532242092841	2.63631192270061e-05	0.000226212571431729	1.41082437642721
MIMAT0000433	0.997006128679779	8.27830100834238	4.14277776808835	3.61396288344567e-05	0.000300410664686421	1.11191893444715
MIMAT0000097	-1.18950091038505	10.8783575029091	-4.11707964960039	4.03648871493973e-05	0.000325365453992112	1.0072525798915
MI0000063_MIMAT0000063	-0.694422422384832	15.5293851252363	-4.09448465847405	4.44637966472272e-05	0.000340568803486761	0.915751563687694
MI0000064_MIMAT0000064	-0.694648731247787	13.5626536414704	-4.0926590713311	4.48116846693106e-05	0.000340568803486761	0.908380157233434
MIMAT0000682	1.24269929806786	10.4963574708582	4.01058674755328	6.34128939776202e-05	0.000468550827723527	0.580311667099868
MIMAT0000736	-0.587360536425625	7.32068191061008	-4.00044509427827	6.61641604074304e-05	0.000475666666712878	0.540224209894401
MIMAT0005901	-0.50894857010219	7.18475937883214	-3.79623136522098	0.000152500288874158	0.0010675020221191	-0.245799694238902
MIMAT0000435	-0.764813396969305	8.54037762665586	-3.72793513404066	0.000199906438987695	0.00136346443001864	-0.499654863472352
MIMAT0004603	-0.441560419797817	7.07859561777273	-3.70443566597709	0.000219201773569322	0.00145769179423599	-0.585954902673108
MIMAT0002872	0.167486774031394	6.35216892927499	3.66049462910633	0.000260063024976475	0.0016872381620425	-0.745886066082258
MIMAT0003237	-0.557630760731538	7.51779934141069	-3.64930302206487	0.000271557916514274	0.0017198668045904	-0.786320163660737
MIMAT0005792	-0.618403215790481	10.6484960799054	-3.5442712863284	0.00040523466350844	0.00245939427503361	-1.15985446421112
MIMAT0000265	-0.438513572938453	6.57982679362797	-3.54031390876947	0.000411311165035025	0.00245939427503361	-1.17371867009899
MIMAT0000760	0.488801742064249	9.72634717742887	3.53598779215324	0.000418051267510766	0.00245939427503361	-1.18885727045391
MIMAT0006764	-0.553535008042569	11.2520473269699	-3.53140187462713	0.000425308784404309	0.00245939427503361	-1.20488511480858
MIMAT0004682	0.403327514574905	8.24704019714778	3.48270621823179	0.000509985348166428	0.00288630005558021	-1.3738140394848
MIMAT0002819	-0.676690505535912	10.3827625196775	-3.47430227294489	0.000526102660532324	0.00291548557711663	-1.40273429859773
MIMAT0004767	-0.271140741604967	6.77799059473659	-3.46327408881179	0.000547974151348217	0.00297471682160461	-1.44058089301483
MIMAT0002816	1.26185341249797	10.0451296933191	3.43810581174237	0.000601103217434516	0.00314622221131946	-1.526509724596
MIMAT0000074	0.568404355593653	10.1671182754503	3.43714521775081	0.000603223055553731	0.00314622221131946	-1.52977712792824
MIMAT0004694	0.766744266375377	8.79267006048888	3.42014726649087	0.000641905284667783	0.00328359241772366	-1.58744587856715
MIMAT0000728	1.3734703130648	9.04133112779657	3.34525160316034	0.000841461415329324	0.00422318370712453	-1.83818796837469
MIMAT0000680	0.482856102601586	11.6648093696172	3.3332578189755	0.000878320635446479	0.00432654238942154	-1.87783345882203
MIMAT0005793	-0.48628000862765	10.7647150754132	-3.30204513521751	0.000981382570416493	0.0047463229769234	-1.98034894469615
MIMAT0004557	0.208071872935354	6.5481635551957	3.22233272278529	0.00129758565687458	0.00616353187015425	-2.23784044863811
MIMAT0004601	-0.397370771900278	7.17350792022542	-3.21046873148816	0.0013519892766356	0.00630928329096614	-2.27563341967033
MIMAT0000753	0.85250910034723	10.3118010615516	3.20368689485691	0.00138402656478186	0.00634743217641336	-2.29717528993694
MIMAT0000447	-0.368674094905808	7.20281312588377	-3.13454724545723	0.00175305182252825	0.00778463650704846	-2.5142246318508
MIMAT0000759	0.425307335649571	9.08032694104696	3.13406235802444	0.00175593304670266	0.00778463650704846	-2.51573032346134
MIMAT0000098	-0.753564734094081	10.1868713572392	-3.12571331357005	0.00180623195137228	0.00787635572237748	-2.54162002536835
