	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005893	-0.544377527674617	6.61499108995754	-10.3941399603998	2.13287837540614e-24	4.58366024315038e-22	44.5002136198475
MIMAT0005942	-0.307969708125653	6.29618883638275	-10.3446313558941	3.44636108507548e-24	4.58366024315038e-22	44.0270308278851
MIMAT0005938	-0.738624432339698	12.1663553837196	-4.82832771944966	1.53371768553464e-06	0.000135989634784071	4.28143026803716
MIMAT0000417	0.578364943907243	12.8836422354611	4.14028942970819	3.68365092092139e-05	0.00244962786241272	1.25543653237488
MIMAT0000250	-0.43940851304346	6.91016090289737	-4.03677295578186	5.72352799760635e-05	0.00304491689472658	0.839281538775453
MIMAT0000080	0.41857624742946	12.0984862147004	3.6124806520698	0.000314406725207497	0.0130425168116131	-0.758754806736478
MIMAT0000088	-0.933850583177026	9.32310462928605	-3.57022743335562	0.000369183649017716	0.0130425168116131	-0.90838463856571
MIMAT0000267	0.985220126604692	9.87257952315871	3.54162138782559	0.000411207874092263	0.0130425168116131	-1.0087056027927
MIMAT0005954	-0.641195389796115	14.7917669492682	-3.52277919052839	0.000441288162798938	0.0130425168116131	-1.0743521858057
MIMAT0000436	-0.912316233410192	7.687959053035	-3.44639056531674	0.000585570211895593	0.0155761676364228	-1.33696844586685
MIMAT0004550	-0.492149956085609	7.30007197574826	-3.34875530085655	0.000834124913370388	0.0201706569960476	-1.66439130954197
MIMAT0000099	-0.546559625885641	9.01401990519664	-3.16669213156475	0.00157632976917828	0.0315724782972404	-2.25021436079003
MIMAT0007890	-0.229071798455686	6.87149294939674	-3.16044094782474	0.00161029198870008	0.0315724782972404	-2.26975622422148
MIMAT0000278	-0.561285982625214	8.05529810173907	-3.15120433769599	0.00166170938406528	0.0315724782972404	-2.29856120827105
MIMAT0000244	-0.536352520238006	10.0860392016305	-3.04038149012921	0.00240826431390447	0.0427065538332393	-2.63768881056473
MIMAT0005911	-0.474598161171665	10.7293819593941	-2.97964380668998	0.00293741141533442	0.0488344647799347	-2.8184717061367
MIMAT0000265	-0.303727064435454	6.55575457318772	-2.95853977233369	0.00314482309424712	0.0492072319452785	-2.88044416770733
MIMAT0002819	0.515787844049831	10.5456369924483	2.88947561267908	0.00392047960428075	0.0579359763743711	-3.0802121518768
MIMAT0003326	0.592015256724189	8.12255798718432	2.86717419457316	0.00420585315885433	0.0588819442239606	-3.14372366348137
MIMAT0001631	-1.24918003798396	11.938828044909	-2.79764982457235	0.00522069173605928	0.068418322782666	-3.33859930640849
MIMAT0002177	-0.561946184835366	7.23591739183023	-2.78657206737595	0.00540144653547363	0.068418322782666	-3.3692134292735
MIMAT0000693	-0.439429014688786	8.52559007944475	-2.7647910516172	0.00577342955333526	0.0698060118721445	-3.42905658063021
MIMAT0004600	-0.380381756547612	6.59380712528778	-2.66571594210091	0.00777410980610425	0.0859821050006793	-3.69540343108695
MIMAT0000087	-0.860762561252408	10.727912103996	-2.66136197714666	0.00787482699168997	0.0859821050006793	-3.70688779224851
MIMAT0000261	0.721439187239056	9.83068628945581	2.65260170535808	0.00808102490607888	0.0859821050006793	-3.72993828649928
MIMAT0001627	-0.0565534035521607	6.24255516605699	-2.63907224451882	0.00840899539438654	0.08603049134257	-3.76538995230646
MIMAT0000281	0.678246665271592	7.29953401285789	2.58333808900948	0.00988927017229948	0.0941933992993509	-3.90953968004393
MIMAT0000226	1.19970347620859	9.34131916253047	2.58243375330529	0.00991509466308957	0.0941933992993509	-3.91185352298398
MIMAT0003239	-0.383699287940583	7.94488650058659	-2.56463667535094	0.0104357006283376	0.0957205643840621	-3.95722608250471
MIMAT0004674	-0.117773049933481	6.63812193924246	-2.51239723718257	0.0121072066298356	0.103161621149486	-4.08861248874026
MIMAT0001343_MIMAT0003393	0.448752912972613	10.0901225418117	2.50477096072461	0.0123701342174899	0.103161621149486	-4.10756915245075
MIMAT0000104	0.379727218764533	10.2171805277862	2.49818902205029	0.0126011143694235	0.103161621149486	-4.12388399986202
MIMAT0000093	0.318925183640184	10.5918836491751	2.49265565252457	0.012798246232831	0.103161621149486	-4.13756682024822
MIMAT0002872	-0.11740900123009	6.40112892290352	-2.46995959930272	0.0136356935892901	0.106679249845622	-4.19337468597798
MIMAT0000089	-0.418234984373768	7.15011126720859	-2.40278558561168	0.0164049737846254	0.124677800763153	-4.35558567505653
MIMAT0000255	0.343451070012565	12.9468738872592	2.35855394757396	0.0184881297658605	0.136606736603303	-4.45997450591823
MIMAT0000691	0.351657230534268	9.32226832313944	2.29624776339001	0.0218142724892451	0.152008147134468	-4.60375659755177
MIMAT0004605	-0.132787172623253	6.4672547982598	-2.29129492356038	0.0220997656900499	0.152008147134468	-4.61502227247522
MIMAT0000681	-0.407974556524318	13.0318827813729	-2.2880784441476	0.0222869087903919	0.152008147134468	-4.62232551418196
MIMAT0003308	-0.531952704341508	10.0100865528207	-2.27405726256442	0.0231189014859907	0.153740694881838	-4.6540426769063
MIMAT0004603	-0.240566011207597	7.06868545616228	-2.25525069038781	0.0242771670726913	0.157505522959412	-4.69628103525997
MIMAT0000256	0.447537300593979	9.43566796289341	2.21054780697791	0.0272343010280286	0.172483906510848	-4.79528351355557
MIMAT0000257	0.40384619511779	8.98237855680247	2.16484923782506	0.0305739571203982	0.188306550021393	-4.89445705904767
MIMAT0000437	-0.4681095567322	10.2468529385222	-2.13602912989194	0.0328564500720072	0.188306550021393	-4.95594369177098
MIMAT0004610	0.221845114040334	7.27465672096321	2.12616079928581	0.0336708668597665	0.188306550021393	-4.97680930636784
MIMAT0000074	-0.332212204485256	10.4264752278504	-2.12384331504919	0.0338646117857931	0.188306550021393	-4.98169548336508
MIMAT0005939	-0.0877124019535724	6.45055158463333	-2.11622103249477	0.0345085901628653	0.188306550021393	-4.99772894662697
MIMAT0000736	-0.278350467430179	7.31038212491487	-2.10526061704354	0.0354529361835408	0.188306550021393	-5.02068379529272
MIMAT0004504	-0.36126051246338	6.90521863363389	-2.09435114689965	0.0364147260820415	0.188306550021393	-5.0434143561066
MIMAT0003237	-0.302485438518529	7.49257221025093	-2.08383678865191	0.037362659859391	0.188306550021393	-5.06521064478586
MIMAT0000425	-0.397683393988874	10.6717508681865	-2.05965300483814	0.0396230536996436	0.188306550021393	-5.11493000844168
MIMAT0002820	-0.348952846158996	9.13185068222618	-2.05260550337714	0.0403032381716695	0.188306550021393	-5.1293104240079
MIMAT0004601	-0.233372374069449	7.1998748717645	-2.05196099502987	0.0403659342246293	0.188306550021393	-5.13062309773572
MIMAT0000445	-0.515147720004677	9.45394740919696	-2.04364007802998	0.0411828333435099	0.188306550021393	-5.14753356886045
MIMAT0003228	-0.0737286339520731	6.34842466202161	-2.04074105159618	0.0414707167197456	0.188306550021393	-5.15340917540214
MIMAT0003150	-0.235998873704565	6.99204438497686	-2.03998359563743	0.0415462152200072	0.188306550021393	-5.1549429846545
MIMAT0004814	-0.233046768130132	7.02728228537154	-2.03886685271253	0.0416577377051957	0.188306550021393	-5.15720329930377
MIMAT0005796	-0.148184708124272	6.80068682718745	-2.03215006231229	0.042333869315722	0.188306550021393	-5.1707722964724
MIMAT0000275	-0.331577115957318	7.57152908555936	-2.03114578720671	0.0424357568992146	0.188306550021393	-5.17279726955726
MIMAT0000081	0.275143798342226	8.84541753573788	2.03075793387236	0.0424751616589609	0.188306550021393	-5.17357905247982
MIMAT0000686	-0.309546019063908	7.27885712844863	-2.0074300528869	0.0449028405044774	0.195805829085098	-5.22032740221838
MIMAT0000076	0.422793704422217	15.5183476761163	1.99994569279314	0.0457061279940201	0.196094033006602	-5.23521207245438
MIMAT0004597	-0.290161713065618	9.4434936149892	-1.98985500798622	0.0468083080830822	0.196733500286014	-5.25519263188911
MIMAT0004689	-0.0833214600356991	6.34350863497666	-1.98510916703461	0.047334376008665	0.196733500286014	-5.26455512969565
MIMAT0004595	0.198889833739068	7.02167707081932	1.9686845331023	0.0491935923645435	0.20131531644567	-5.29678574100175
MIMAT0000423	-0.425942957467033	13.0826392032699	-1.9302158405845	0.0537893153892339	0.214508092045233	-5.37123202892467
MIMAT0000280	-0.54289616446327	10.3232209031617	-1.92797232972493	0.0540680618362691	0.214508092045233	-5.37552868545961
MIMAT0000101	0.255266792210257	12.7280525045066	1.92183592020435	0.0548366551093076	0.214508092045233	-5.38725543623137
MIMAT0000252	0.557343554491482	8.0353450303769	1.89569060014879	0.0582143252126454	0.224420442124111	-5.43680275827077
MIMAT0004795	-0.381813816553591	8.91593113184041	-1.88263072083378	0.0599652723903191	0.225288171501218	-5.46129938366938
MIMAT0000452	-0.169989325650608	6.90087206013949	-1.87317920816177	0.0612595316740998	0.225288171501218	-5.47892266662624
MIMAT0000763	-0.545940198328462	8.80975748917491	-1.87290362050703	0.0612976145457239	0.225288171501218	-5.47943520325995
MIMAT0004694	-0.376472026083227	9.08230225856235	-1.86908586027519	0.0618272049608605	0.225288171501218	-5.48652773780052
MIMAT0000095	0.583788765197388	10.1812499777893	1.85958157470234	0.0631621004236902	0.227042144766238	-5.50412201344387
MIMAT0000094	-0.283411770286023	7.06586731570795	-1.81829144611448	0.0692410694941079	0.245574993139103	-5.5795220285222
MIMAT0000710	0.352937679226504	9.54050338203633	1.79719061240987	0.0725287412833503	0.252690053495582	-5.61740386999526
MIMAT0005927	-0.284749085683727	9.18637078165066	-1.79330975683769	0.073147120748721	0.252690053495582	-5.62432317162624
MIMAT0000084	0.285909568358896	13.324666149987	1.78394903781173	0.0746564491341927	0.254597634226862	-5.64095143994709
MIMAT0000687	-0.108462723745226	6.5301014458468	-1.745306620687	0.0811589732727959	0.270579014254282	-5.70867850467849
MIMAT0000730	-0.319678634928063	8.13779356915207	-1.74369984590337	0.0814390178238201	0.270579014254282	-5.71146266687089
MIMAT0000100	-0.421336552897162	9.51588321537948	-1.73825204958297	0.0823943614834468	0.270579014254282	-5.72088341391048
MIMAT0000680	0.226882226368688	12.0177490195804	1.71885412940739	0.0858701378464749	0.27855434959954	-5.7541894904726
MI0000434_MIMAT0000415	0.256864863277373	13.1411284069803	1.70407102383339	0.0885978868361302	0.28328640783601	-5.77932210383307
MIMAT0000692	-0.252727498096841	8.64277189120182	-1.69948124854444	0.0894588656324241	0.28328640783601	-5.78708116363891
MIMAT0000431	-0.295049324692847	10.1411457179848	-1.67639700599683	0.0938919359893672	0.293826529096137	-5.82578934319101
MIMAT0005901	0.198609680767399	7.19362356397711	1.66270270243297	0.0966040393553366	0.29786946390585	-5.84850313434059
MIMAT0000082	-0.274617173595352	10.9579612739185	-1.65862575671422	0.0974234712774771	0.29786946390585	-5.85522944012689
MIMAT0000770	-0.168453037199217	6.53782236744341	-1.63773972590577	0.101708989977948	0.307438537887889	-5.88943009443148
MIMAT0000461	-0.460264680329344	10.4881102877906	-1.63207624564066	0.102896590040299	0.30753362865977	-5.89862958841998
MIMAT0004911	-0.130506647658607	7.37239768179366	-1.61656071977661	0.106206718440039	0.313607468861607	-5.92366968725784
MIMAT0000646	0.386342784872728	8.97437243616111	1.607200891866	0.108244095916264	0.313607468861607	-5.93866004997017
MI0000065_MIMAT0000065	0.358901012917167	9.88673575434891	1.60619108632873	0.108465741110029	0.313607468861607	-5.94027213595718
MIMAT0002173	-0.11165552564799	6.39396226653458	-1.59857834982812	0.110148274783302	0.315047753681273	-5.95239286653678
MIMAT0001638	-0.0943527954383772	6.48765070704927	-1.57496863127241	0.115497934348644	0.325911283987224	-5.98961857551941
MIMAT0000258	-0.262587222870633	7.8937217968353	-1.57108627715642	0.116396887138294	0.325911283987224	-5.99568709485641
MIMAT0000435	-0.300114253990566	8.58805560881096	-1.54823716890285	0.121799532423811	0.331353353091192	-6.03110023458397
MIMAT0000729	-0.276620245461824	8.14554516226823	-1.54735703962339	0.122011499178846	0.331353353091192	-6.03245398063686
MIMAT0000765	-0.27759973934168	7.28181185340272	-1.54708302293804	0.12207755113886	0.331353353091192	-6.03287529510089
MIMAT0003879	-0.127743577021419	6.66445851394884	-1.5262958977148	0.127170373400063	0.341690094186028	-6.06461977910637
MIMAT0000720	-0.281211136828734	8.2861527056862	-1.51693338764988	0.129517568250977	0.344516731547598	-6.07877770423506
MIMAT0004606	-0.126875456155881	6.73497066885981	-1.50537362182218	0.132461918967703	0.348860103419891	-6.09613853446648
MIMAT0004589	-0.118845621546407	6.96895643721604	-1.49132995302768	0.136108455743796	0.354511951482146	-6.1170516949376
MIMAT0000757	0.24248386181964	9.46353265264988	1.486904749248	0.137273424822034	0.354511951482146	-6.12360101807563
MIMAT0003233	-0.282825605532859	7.74360000640159	-1.47582319326708	0.140224503640087	0.358651134310224	-6.13991666010859
MIMAT0000459	0.208885365323499	8.09962981273394	1.45204692811669	0.146720862462833	0.371669682745877	-6.17451247999097
MIMAT0001412	0.18501292016236	7.2741105508139	1.44311966026494	0.149218700703193	0.371669682745877	-6.18735752750477
MIMAT0004558	-0.116713424873226	6.81776589475706	-1.44173689594825	0.149608485444679	0.371669682745877	-6.18934006219015
MIMAT0000077	0.23871669111254	14.0611367622616	1.43716255528957	0.150903480212612	0.371669682745877	-6.1958850098434
MIMAT0000762	-0.188416438715774	9.06301336247011	-1.41993794381987	0.155856576645848	0.380347242089868	-6.2203438690315
MIMAT0004784	-0.302813387362334	8.64145983014377	-1.40895007571183	0.159080162747784	0.382423050545107	-6.23579297671027
MIMAT0002816	-0.517107790567819	10.270133461165	-1.40725288212248	0.159582551167319	0.382423050545107	-6.23816858771159
MIMAT0002814	-0.0948715945298337	6.61076349308821	-1.38625590306124	0.165897630130244	0.391607766804221	-6.26732251666706
MIMAT0002175	-0.0510166688277298	6.32379988471557	-1.38131590374077	0.167410377720053	0.391607766804221	-6.27411811492964
MIMAT0000098	-0.316276093891148	10.22923619135	-1.37994537355792	0.167831900058952	0.391607766804221	-6.27599916707288
MIMAT0000510	-0.214432032499161	9.31692454356977	-1.36807205406984	0.171517131264973	0.39672658188246	-6.29221735177565
MIMAT0000733	-0.184870593002756	7.34274705666918	-1.3557512152705	0.175405031917132	0.399173150607141	-6.30889905887068
MI0000066_MIMAT0000066	0.349490461145157	12.0942500143031	1.3552136168481	0.175576160229457	0.399173150607141	-6.30962350953085
MIMAT0000760	0.179838044156683	9.94115300263179	1.34341506270792	0.179363334312964	0.404327516332613	-6.32545071497457
MIMAT0000266	-0.564132318268913	9.97930873110655	-1.32982768257336	0.183799639932577	0.406796221160566	-6.34350654448073
MIMAT0000072	0.190818159561858	7.44513633924735	1.32943889230595	0.183927767343845	0.406796221160566	-6.34402050127636
MIMAT0004568	-0.157226994804087	6.86651653063536	-1.32605300314267	0.185046401354994	0.406796221160566	-6.34849010159685
MIMAT0000416	-0.182335178059301	6.65000353053603	-1.31521048681354	0.188662462836385	0.411346025528512	-6.3627264582605
MIMAT0004774	0.0878290816362339	6.74908610666301	1.30063764347297	0.193604438486215	0.418689273474253	-6.38167713167443
MIMAT0005948	0.149399205617192	7.06570094937644	1.28964836636692	0.197393615968598	0.423441143932637	-6.39582840175591
MIMAT0005865	0.430878600583487	11.3369890496682	1.27687386797367	0.201866312593222	0.428183579535673	-6.41212801694439
MIMAT0000438	-0.199235205973763	8.0825874006664	-1.27416610592108	0.202823800832687	0.428183579535673	-6.41556219362395
MIMAT0000232	0.417245400063555	12.8391180252425	1.26184706692774	0.207221740577151	0.434023488137971	-6.4310942646462
