	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005893	hsa-miR-1305	0.681050388715719	6.56406460272808	13.0022568894717	8.7438243817801e-37	2.31711346117173e-34	72.6224670458706
MIMAT0005942	hsa-miR-1288-3p	0.341835010430649	6.25603989142119	12.174784071787	1.19165853238089e-32	1.57894755540468e-30	63.1934986467053
MIMAT0000076	hsa-miR-21-5p	2.40724738244277	14.9254812206655	10.9022470905147	9.92762736755861e-27	8.76940417467677e-25	49.7057992501073
MIMAT0000250	hsa-miR-139-5p	-1.27573519746592	7.03291562022824	-9.69284917066076	1.28604526816093e-21	6.99713545372584e-20	38.0801372833065
MIMAT0005938	hsa-miR-1274b	1.5997588198924	11.8623791538976	9.69001119769209	1.32021423655205e-21	6.99713545372584e-20	38.0542694388613
MIMAT0002177	hsa-miR-486-5p	-1.82000007211599	7.51667910451561	-7.84292418811412	8.06997612841508e-15	3.56423945671666e-13	22.6741429035591
MIMAT0003233	hsa-miR-551b-3p	-1.69839067570165	7.83319432511594	-7.79395324196135	1.17343476846005e-14	4.44228876631303e-13	22.3067766832948
MIMAT0005911	hsa-miR-1260	1.15713417665699	10.4349702372042	7.06092509352033	2.47493950851172e-12	8.19823712194507e-11	17.063992612834
MIMAT0005954	hsa-miR-720	1.36699320755393	14.4856881354165	7.00921298664154	3.54576572857824e-12	1.04403102008137e-10	16.7124147346809
MIMAT0002820	hsa-miR-497-5p	-1.24513864004505	9.17150625740758	-6.7557383469895	1.9956045061953e-11	5.28835194141755e-10	15.0242762599909
MIMAT0005927	hsa-miR-1274a	1.0220039673756	8.94758318928112	6.38447280138048	2.25909061935754e-10	5.4423546739068e-09	12.6577306075887
MIMAT0000437	hsa-miR-145-5p	-1.37948190202648	10.2874316645683	-6.04985031162921	1.80909878617023e-09	3.99509315279259e-08	10.6336498109137
MIMAT0007890	hsa-miR-1914-3p	0.441907938811488	6.80684986045755	6.0104597845616	2.29572984142667e-09	4.67975698444668e-08	10.4022148171479
MIMAT0004614	hsa-miR-193a-5p	-0.926880982163502	8.42963711460541	-5.83976421032701	6.34112122603864e-09	1.20028366064303e-07	9.4160111512256
MIMAT0000732	hsa-miR-378a-3p	-0.658822666757963	6.91094956040422	-5.71105164148626	1.34048121524332e-08	2.3681834802632e-07	8.69035964997603
MIMAT0000646	hsa-miR-155-5p	1.2951816856626	8.66709455645901	5.34740183246419	1.02378989608785e-07	1.6956520153955e-06	6.7241868561852
MIMAT0000617	hsa-miR-200c-3p	1.22245172314496	8.96947616124768	5.27090540092752	1.54613645657851e-07	2.41015388819592e-06	6.32644735358456
MIMAT0003393	hsa-miR-425-5p	0.99709321516857	9.74272236504013	5.24851148858168	1.74268382255892e-07	2.56561784987841e-06	6.21105772194677
MIMAT0000752	hsa-miR-328-3p	-0.195176467052931	6.31614100795815	-5.1879090631004	2.40358274572362e-07	3.35236540850926e-06	5.90116945137202
MIMAT0000261	hsa-miR-183-5p	1.40184830304184	9.41564627355757	5.1648112835775	2.71453539359837e-07	3.43041236771697e-06	5.78397496046835
