	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005893	hsa-miR-1305	-0.548119759378427	6.61499108995754	-10.7800154493135	4.73910192511677e-26	1.26060111208106e-23	48.2422202326499
MIMAT0005942	hsa-miR-1288	-0.307208015050691	6.29618883638275	-10.6707955530309	1.4077659097742e-25	1.87232865999969e-23	47.1676282557588
MIMAT0005938	hsa-miR-1274b	-0.824801808565898	12.1663553837196	-5.42623806555167	6.8132884976697e-08	6.04111580126713e-06	7.24751174843292
MIMAT0007890	hsa-miR-1914*	-0.31241603177227	6.87149294939674	-4.42299805132919	1.0515132824445e-05	0.000573753740044008	2.41550850082747
MIMAT0005954	hsa-miR-720	-0.810070874458688	14.7917669492682	-4.41744580335103	1.07848447376693e-05	0.000573753740044008	2.39141838772122
MI0000063_MIMAT0000063	NA	0.609488627396738	15.6509850470014	3.82779476631957	0.000135208152551086	0.00539324753613218	0.000981715956516638
MIMAT0000417	hsa-miR-15b	0.555254979483806	12.8836422354611	3.8157066834288	0.000141927566740321	0.00539324753613218	-0.0445295542253659
MIMAT0005927	hsa-miR-1274a	-0.584820807312791	9.18637078165066	-3.73623616471284	0.000194579630743573	0.00646977272222379	-0.340224963861516
MIMAT0004673	hsa-miR-29c*	0.598833566187971	8.82468154309957	3.67656094285041	0.000245663962054961	0.0072607348785133	-0.558258160808622
MIMAT0005911	hsa-miR-1260	-0.585555380596832	10.7293819593941	-3.59272131336657	0.00033899034112993	0.00901714307405613	-0.858765811466893
MIMAT0000104	hsa-miR-107	0.518342454236518	10.2171805277862	3.45884729421483	0.000559362367580069	0.0135263990705726	-1.32450760358986
MIMAT0002816	hsa-miR-494	-1.12684288749579	10.270133461165	-3.08820457634732	0.00205472268253471	0.0425639180223478	-2.52319023922571
MIMAT0000074	hsa-miR-19b	-0.481589955236781	10.4264752278504	-3.08451584075188	0.00208019148229519	0.0425639180223478	-2.53444793684355
MIMAT0000451	hsa-miR-150	-1.07173984821263	10.8596339424501	-2.93667078737177	0.00337373558932021	0.0641009761970841	-2.9747297785359
MIMAT0002872	hsa-miR-501-5p	-0.133868792941536	6.40112892290352	-2.88271633932199	0.00400500962024428	0.0710221705989986	-3.13008991127162
MIMAT0000101	hsa-miR-103	0.381885374631102	12.7280525045066	2.85046614529226	0.00443182471100247	0.073679085820416	-3.22159457817926
MIMAT0002876	hsa-miR-505	-0.250770246925502	7.25986903076318	-2.8260620451761	0.00478178463426297	0.0748208654537617	-3.290161185389
MIMAT0005898	hsa-miR-1246	-0.887509631123484	10.1317989606804	-2.76606539320772	0.00575098792061043	0.0849868214934652	-3.4562526233406
MIMAT0000731_MIMAT0000732	NA	-0.231690507549223	6.87434183412231	-2.6151531628209	0.00901801734658404	0.126252242852177	-3.85844380444071
MIMAT0000088	hsa-miR-30a*	0.644035580430379	9.32310462928605	2.53112520014692	0.011482375202849	0.146937451755491	-4.07270549136387
MIMAT0004795	hsa-miR-574-5p	-0.502761312782976	8.91593113184041	-2.52752125224937	0.0116003251385914	0.146937451755491	-4.08174016911779
MI0000066_MIMAT0000066	NA	0.623962401285198	12.0942500143031	2.47898204999534	0.013297055832669	0.158383953642924	-4.20217967583917
MIMAT0002819	hsa-miR-193b	0.452614343510697	10.5456369924483	2.45883403143349	0.0140635446255756	0.158383953642924	-4.251492983624
MIMAT0004694	hsa-miR-342-5p	0.497055756491591	9.08230225856235	2.45306006969286	0.0142902815316924	0.158383953642924	-4.2655515272415
MIMAT0000761	hsa-miR-324-5p	0.293848759220614	8.34257295841168	2.425765176343	0.0154063856541169	0.16141870902489	-4.33156613841816
MIMAT0000089	hsa-miR-31	-0.427536219886555	7.15011126720859	-2.41706891949425	0.0157777685513051	0.16141870902489	-4.35244484241243
MIMAT0003299	hsa-miR-630	-0.288387771103809	6.81860391731304	-2.38645698322121	0.0171485416624385	0.168944891933653	-4.42534910825579
MIMAT0003228	hsa-miR-564	-0.0814416699339047	6.34842466202161	-2.3281784638135	0.0200495844392973	0.190471052173325	-4.56159595590226
MIMAT0000753	hsa-miR-342-3p	0.581178468108517	10.5854264406877	2.30151908867491	0.0215138443240554	0.197333882420646	-4.62280794096764
MIMAT0001627	hsa-miR-433	-0.0480778740643446	6.24255516605699	-2.28120212275405	0.0226915094335608	0.201198050310906	-4.6689876292477
MIMAT0000450	hsa-miR-149	0.503017081497599	7.84413230632965	2.24480793289063	0.0249416929005117	0.203254541330015	-4.75069434505446
MIMAT0000433	hsa-miR-142-5p	-0.535979168328442	8.53235433474395	-2.23640393554152	0.0254879762904581	0.203254541330015	-4.76937637769383
MIMAT0005939	hsa-miR-1281	-0.089907454038876	6.45055158463333	-2.23427277078336	0.0256281443187562	0.203254541330015	-4.77410288817597
MIMAT0000253	hsa-miR-10a	0.753580499743218	8.85499429931364	2.22557586668729	0.0262070873546934	0.203254541330015	-4.7933445646434
MIMAT0000280	hsa-miR-223	-0.61750164992942	10.3232209031617	-2.21189207020013	0.0271409094512916	0.203254541330015	-4.82346879449698
MI0000064_MIMAT0000064	NA	0.357215556437911	13.7144905557788	2.20662221404815	0.0275081334130847	0.203254541330015	-4.83502094022555
MIMAT0004597	hsa-miR-140-3p	-0.315316427102202	9.4434936149892	-2.14461970936023	0.0321611573379999	0.231212644646161	-4.96888292477491
MIMAT0000436	hsa-miR-144	-0.547436644612029	7.687959053035	-2.10892117614762	0.0351349825524681	0.241847333763899	-5.04423646012878
MIMAT0000434	hsa-miR-142-3p	-0.666615003673156	12.0370401053953	-2.10396206068202	0.0355661329650596	0.241847333763899	-5.05460491624105
MIMAT0004603	hsa-miR-125b-2*	-0.246465593587718	7.06868545616228	-2.09487367839986	0.036368020114872	0.241847333763899	-5.07354384574203
MI0000065_MIMAT0000065	NA	0.445202725043706	9.88673575434891	2.05149204825488	0.0404114626611994	0.262181684582416	-5.16282268320058
MIMAT0000062	hsa-let-7a	0.571008524116591	13.5383193614945	2.00800452407347	0.0448415327077249	0.283996373815591	-5.25045600855237
MIMAT0000261	hsa-miR-183	0.521759417976985	9.83068628945581	1.92576526511281	0.0543433025391579	0.336170197102698	-5.41107654492876
MIMAT0000084	hsa-miR-27a	0.296006565815054	13.324666149987	1.8885323901834	0.0591685328604085	0.357700675928833	-5.48159926596193
MIMAT0000455	hsa-miR-185	-0.238146779485349	9.23386820197064	-1.86733652642686	0.0620709727679929	0.366908416806358	-5.52113457594396
MIMAT0000087	hsa-miR-30a	0.565829336034249	10.727912103996	1.83386493643222	0.0668938597145338	0.386136995465954	-5.58266295126587
MIMAT0000068	hsa-miR-15a	0.361560734761592	11.99262302658	1.81787962820853	0.0693038784371272	0.386136995465954	-5.61165688512004
MIMAT0000278	hsa-miR-221	-0.318661329817892	8.05529810173907	-1.81443254113662	0.0698328256812074	0.386136995465954	-5.61787605725386
MIMAT0000423	hsa-miR-125b	-0.432816620943147	13.0826392032699	-1.80606574298755	0.0711304991647809	0.386136995465954	-5.63292242570403
