	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005942	hsa-miR-1288-3p	-0.305122543958777	6.303152744969	-9.77299973113051	7.79030973375489e-22	2.06443207944505e-19	38.7238339196713
MIMAT0005893	hsa-miR-1305	-0.517932925897187	6.62302217840244	-9.40237335699	2.24177051630812e-20	2.97034593410825e-18	35.4191309361047
MIMAT0000088	hsa-miR-30a-3p	-1.32171278037347	9.35059605269993	-4.78311333087612	1.91786679539724e-06	0.000169411566926756	4.14164175176474
MIMAT0000244	hsa-miR-30c-5p	-0.840408979566907	10.1170594542974	-4.45070247836679	9.27272121217293e-06	0.000614317780306456	2.63947287321293
MIMAT0000281	hsa-miR-224-5p	1.15551817056869	7.31020951464256	4.1836984788761	3.05558742496607e-05	0.00161946133523202	1.50894803853084
MIMAT0005938	hsa-miR-1274b	-0.648603694974552	12.2184991483195	-3.99741451135962	6.75460756740285e-05	0.00282317586351915	0.760541961637385
MIMAT0004550	hsa-miR-30c-2-3p	-0.61883642725036	7.31676109466213	-3.9736304633953	7.45744567722039e-05	0.00282317586351915	0.667382309464006
MIMAT0000087	hsa-miR-30a-5p	-1.27735574269055	10.7576409642793	-3.81950855837439	0.000139864127225708	0.00463299921435159	0.0768700319734403
MIMAT0003326	hsa-miR-663	0.816953899829573	8.13390248115304	3.719621284387	0.000207807997929885	0.00611879105015773	-0.293640252196965
MIMAT0000681	hsa-miR-29c-3p	-0.702093714147421	13.0894460769337	-3.66411268583094	0.000257930893275243	0.00683516867179394	-0.49538107723263
MIMAT0000693	hsa-miR-30e-3p	-0.625194155096461	8.55244835639776	-3.61125519657164	0.000316026044912194	0.00761335471833923	-0.684723473819072
MIMAT0000099	hsa-miR-101-3p	-0.620426511521198	9.0472250156446	-3.2638719676754	0.00112687613207238	0.0248851812499316	-1.8618584473436
MIMAT0003239	hsa-miR-574-3p	-0.514102152711888	7.96160474107915	-3.22036601344061	0.00131115109080554	0.0249660926978914	-2.00103888587651
MIMAT0004595	hsa-miR-135a-3p	0.35226640118009	7.03493379395987	3.21258243565753	0.00134691946173202	0.0249660926978914	-2.02574553854303
MIMAT0000080	hsa-miR-24-3p	0.392262859709422	12.1272954530589	3.18406826384464	0.00148579009313897	0.0249660926978914	-2.11575243200091
MIMAT0004694	hsa-miR-342-5p	-0.69862880107775	9.11386541741462	-3.17985661387445	0.0015073867289293	0.0249660926978914	-2.12897980838874
MIMAT0000278	hsa-miR-221-3p	-0.581002085443127	8.07526913326603	-3.04177194613129	0.00239782608278461	0.0373778771728189	-2.55310108900624
MIMAT0000250	hsa-miR-139-5p	-0.38473375943687	6.92157093526014	-2.98482476060036	0.00288909524818742	0.0425339022649815	-2.72260532841589
MIMAT0001627	hsa-miR-433-3p	-0.0664832417430565	6.24956093502859	-2.92597671884824	0.00349191593251647	0.0487030380061508	-2.89444643218981
MIMAT0000417	hsa-miR-15b-5p	0.45163276215971	12.9174956986776	2.86567279980637	0.00422655270542558	0.0560018233468889	-3.06703418938645
MIMAT0000436	hsa-miR-144-3p	-0.791094426211695	7.71061184695852	-2.79620750496282	0.00524485019569142	0.0650752518507789	-3.26144109583385
MIMAT0005954	hsa-miR-720	-0.547778541205629	14.8458364006796	-2.7865676786154	0.00540247373855523	0.0650752518507789	-3.28804683386852
MIMAT0004674	hsa-miR-30c-1-3p	-0.137890698324667	6.64954769482463	-2.76048210848542	0.00585070217839091	0.0674102642292866	-3.35958712490326
MIMAT0000763	hsa-miR-338-3p	-0.840446743149424	8.84292407314619	-2.73512974845586	0.00631821615456256	0.0697636367066283	-3.42847916280984
