	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005893	-0.686113036400701	6.61499108995754	-9.98676595862784	1.04310913469907e-22	2.77467029829952e-20	40.724041904825
MIMAT0005942	-0.338553357572465	6.29618883638275	-8.70315380005551	9.22849198469039e-18	1.22738943396382e-15	29.5357620471691
MIMAT0005938	-1.67177637680894	12.1663553837196	-8.13978060682542	8.9044410205247e-16	7.89527103819857e-14	25.0581461050941
MIMAT0005954	-1.4616790509945	14.7917669492682	-5.8990966427106	4.61319667363651e-09	3.06777578796828e-07	9.99535159449059
MIMAT0002177	-1.078327693687	7.23591739183023	-4.04116462110344	5.61841374149046e-05	0.00298899611047292	0.990678361114044
MIMAT0005911	-0.856157947424524	10.7293819593941	-3.88771771065615	0.000106102473079339	0.00470387630651737	0.393172942830776
MIMAT0000076	0.990261059058092	15.5183476761163	3.60069550198442	0.0003288566574181	0.0124965529818878	-0.663683256542901
MIMAT0005927	-0.722632261568289	9.18637078165066	-3.41675726592828	0.000652536628387551	0.0216968428938861	-1.29918011559021
MIMAT0007890	-0.303997297352468	6.87149294939674	-3.1852126734296	0.00147952216324967	0.0437280994916013	-2.05257467851764
MIMAT0003308	-0.90117842512813	10.0100865528207	-2.91704986902488	0.00359197651051907	0.0955465751798071	-2.86001815757167
MI0000063_MIMAT0000063	0.609529137780415	15.6509850470014	2.83310574954236	0.00467829055459078	0.113129571592832	-3.09837808774673
MIMAT0000084	0.559935623406828	13.324666149987	2.64390878605418	0.00829033763270488	0.183769150858291	-3.6103732146757
MIMAT0000080	0.398659854410329	12.0984862147004	2.5825642223305	0.00991128836163721	0.202800208015038	-3.76886653628078
MIMAT0002816	-1.18459555839312	10.270133461165	-2.40269182397671	0.0164090630367613	0.28583281976267	-4.21234673532788
MIMAT0000068	0.635172436259367	11.99262302658	2.3635281656861	0.0182427285601985	0.28583281976267	-4.30470039570896
MIMAT0000078	0.52494459958022	13.5064216788554	2.34693968254056	0.0190720476248701	0.28583281976267	-4.34336469742487
MI0000434_MIMAT0000415	0.459713441018048	13.1411284069803	2.33500763268139	0.0196888027837301	0.28583281976267	-4.37100880860162
MIMAT0000418	0.538654042459517	10.2689957868833	2.33426423097352	0.0197277990780909	0.28583281976267	-4.37272649283068
