	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005942	hsa-miR-1288	-0.302387896619237	6.25603989142119	-11.0599097600946	1.96281682218663e-27	5.22109274701643e-25	51.3758413745725
MIMAT0005893	hsa-miR-1305	-0.546001178191158	6.56406460272808	-10.7042141033554	7.39558123053267e-26	9.83612303660845e-24	47.7930130196698
MIMAT0005938	hsa-miR-1274b	-0.931087918128188	11.8623791538976	-5.7912811127978	8.42155629029242e-09	7.46711324405928e-07	9.26045832354059
MIMAT0000417	hsa-miR-15b	0.715312792291197	12.6383355351014	4.75035444634181	2.21588094385686e-06	0.000147356082766481	3.89325052384566
MIMAT0005954	hsa-miR-720	-0.793266100267513	14.4856881354165	-4.1767236998818	3.11993689963539e-05	0.00165980643060603	1.37578591920869
MIMAT0000104	hsa-miR-107	0.588284062788089	10.0310490902661	3.9629686940718	7.73438622798746e-05	0.00342891122774111	0.518574534242457
MIMAT0007890	hsa-miR-1914*	-0.278383869745896	6.80684986045755	-3.88810112195145	0.000105242933607705	0.00399923147709281	0.228769199482161
MIMAT0000436	hsa-miR-144	-0.952504173571546	7.74148883042989	-3.60442472322362	0.000322613564533104	0.01008632126532	-0.820069765133506
MIMAT0000250	hsa-miR-139-5p	-0.460097427387443	7.03291562022824	-3.58967717845985	0.000341266508976994	0.01008632126532	-0.872461290145305
MIMAT0004603	hsa-miR-125b-2*	-0.383876901803897	7.07859561777273	-3.30702449183961	0.000964222728044508	0.0256483245659839	-1.83571949230234
MIMAT0000101	hsa-miR-103	0.397972641796468	12.419752889664	3.04632159789114	0.00235518842080234	0.0563657733420109	-2.65511587265471
MI0000063_MIMAT0000063	NA	0.498456534959422	15.5293851252363	3.01797972509024	0.00258561533090695	0.0563657733420109	-2.74019194540655
MIMAT0000261	hsa-miR-183	0.792599486793134	9.41564627355757	2.9986162017085	0.00275471824603812	0.0563657733420109	-2.79786503071421
MI0000065_MIMAT0000065	NA	0.645345657507852	9.75101865210168	2.96972417951633	0.00302589126272641	0.0574919339918018	-2.88323584021555
MIMAT0005927	hsa-miR-1274a	-0.455349591865409	8.94758318928112	-2.92100065360894	0.00353891481321519	0.0592907043141063	-3.02535374909031
MIMAT0005911	hsa-miR-1260	-0.465778567008051	10.4349702372042	-2.91857989030312	0.00356635815423196	0.0592907043141063	-3.03235405405835
MIMAT0004795	hsa-miR-574-5p	-0.546349863356648	8.79199280335803	-2.86170026253868	0.0042695891518804	0.0668065126117756	-3.19518464869086
MIMAT0000736	hsa-miR-381	-0.398369820934256	7.32068191061008	-2.78614356888333	0.00539806420258396	0.0723170639976101	-3.40657756846004
MIMAT0000761	hsa-miR-324-5p	0.322697006768962	8.19673493527751	2.76687692447489	0.00572598108635717	0.0723170639976101	-3.45958587876571
MIMAT0002816	hsa-miR-494	-0.988299293946945	10.0451296933191	-2.76510945970636	0.00575694588247155	0.0723170639976101	-3.46443046416963
MI0000066_MIMAT0000066	NA	0.70405214580018	11.8773025483184	2.75931868087962	0.00585945808294294	0.0723170639976101	-3.48028139717774
MIMAT0000095	hsa-miR-96	0.844506083204615	9.73003339426743	2.75256413403214	0.00598111055619331	0.0723170639976101	-3.4987288449587
MIMAT0000084	hsa-miR-27a	0.416093600337888	13.0427602724224	2.69994843451046	0.00700947500290841	0.0810661022075495	-3.6408952373699
MIMAT0002872	hsa-miR-501-5p	-0.118667631795882	6.35216892927499	-2.66320772952056	0.00781906492543444	0.0866613029235651	-3.73855592501954
MIMAT0000731_MIMAT0000732	NA	-0.296924438168707	6.91094956040422	-2.64306941839391	0.00829753158699341	0.0882857360856099	-3.79152310634242
MIMAT0003237	hsa-miR-572	-0.38172741429558	7.51779934141069	-2.56525218023251	0.0104022470456805	0.106422989005808	-3.99245012825786
MIMAT0005939	hsa-miR-1281	-0.103687568250002	6.41978398652062	-2.50597316524729	0.0123119521497009	0.117806207955653	-4.14151534105332
MIMAT0001627	hsa-miR-433	-0.0562397864686748	6.20700527161862	-2.49177959125863	0.0128129757328226	0.117806207955653	-4.17669408820816
MIMAT0003308	hsa-miR-638	-0.567347033962541	10.0675873432584	-2.48254458266427	0.013148584901669	0.117806207955653	-4.1994765892763
MIMAT0004597	hsa-miR-140-3p	-0.361584296519378	9.38305913333397	-2.47881224368107	0.0132864144310887	0.117806207955653	-4.20866034822021
MIMAT0000451	hsa-miR-150	-0.826094031721288	10.6639116382438	-2.38444941143734	0.0172228152388838	0.141231693119724	-4.43629251034433
MIMAT0000062	hsa-let-7a	0.683970843105591	13.3802757394011	2.37978083035804	0.0174417422314076	0.141231693119724	-4.44732692434552
MIMAT0002177	hsa-miR-486-5p	-0.537152026900324	7.51667910451561	-2.37693663544468	0.0175763109686061	0.141231693119724	-4.45403879056344
MIMAT0002819	hsa-miR-193b	0.447744890389036	10.3827625196775	2.36059599938231	0.018367234139789	0.141231693119724	-4.49244578683941
MIMAT0004600	hsa-miR-144*	-0.348834009840572	6.58975661853966	-2.3562430417077	0.0185831175157531	0.141231693119724	-4.50263259748169
MIMAT0004605	hsa-miR-129-3p	-0.131895308096786	6.44069923163558	-2.27535462589178	0.0230189038918079	0.17008412320058	-4.6885305515641
MIMAT0000687	hsa-miR-299-3p	-0.144134849070494	6.50353503252879	-2.19728270596716	0.0281458709501262	0.202345991154961	-4.86183760660202
MIMAT0004697	hsa-miR-151-5p	0.380372102385889	8.75812908309211	2.13325130040609	0.0330587588653784	0.231411312057649	-4.99948847874661
MIMAT0001631	hsa-miR-451	-0.903927868091698	12.092034928533	-2.09230976445377	0.0365710260926507	0.249433152324233	-5.08538100530127
MIMAT0000074	hsa-miR-19b	-0.332563175499462	10.1671182754503	-2.06503850223365	0.0390831671174322	0.255298368798289	-5.14167579376148
MIMAT0000729	hsa-miR-376a	-0.381020399137551	8.08501339728977	-2.06222494218192	0.0393505004538716	0.255298368798289	-5.14744189474865
MIMAT0000080	hsa-miR-24	0.2373980979885	11.9146872837685	2.03493649249382	0.0420249265362558	0.266140247006142	-5.20296105731127
MIMAT0004694	hsa-miR-342-5p	0.440589697920967	8.79267006048888	2.01809737946276	0.0437508795727408	0.266140247006142	-5.23685369468724
MIMAT0000720	hsa-miR-376c	-0.380684391328615	8.2258267336999	-2.01302424583628	0.0442824602982961	0.266140247006142	-5.24700964145706
MIMAT0000067	hsa-let-7f	0.672994170940829	10.9548350627424	2.00386061977244	0.0452564883480366	0.266140247006142	-5.26528992344978
MIMAT0000423	hsa-miR-125b	-0.46222407230191	12.9477489402412	-1.99675408180285	0.0460242532416637	0.266140247006142	-5.27940944554695
MI0000064_MIMAT0000064	NA	0.328315977609659	13.5626536414704	1.98630461106639	0.0471730999118027	0.266979671841266	-5.30008017958767
MIMAT0000431	hsa-miR-140-5p	-0.327332142523312	9.98079926611106	-1.96284873892167	0.0498400521368648	0.268162384196608	-5.34608666852279
MIMAT0005898	hsa-miR-1246	-0.617197341760756	9.89895245082938	-1.95555815128882	0.0506943477015202	0.268162384196608	-5.36027568756765
MIMAT0000252	hsa-miR-7	0.527194353707115	7.79067575479418	1.94843247457742	0.0515411509400681	0.268162384196608	-5.37409298168978
MIMAT0000081	hsa-miR-25	0.265094914106552	8.72888990752727	1.94234232099697	0.0522742561541471	0.268162384196608	-5.38586252470616
MIMAT0000089	hsa-miR-31	-0.333897925969417	7.06823885933918	-1.93380174943818	0.0533170172616084	0.268162384196608	-5.40230586262914
MIMAT0001536	hsa-miR-429	0.491171740753932	9.35689619076645	1.93287789111929	0.0534308509865421	0.268162384196608	-5.4040802636755
MIMAT0000096	hsa-miR-98	0.471159260724601	8.44689933564085	1.90290394655592	0.0572358129087938	0.273367845691076	-5.46119161692186
MIMAT0000450	hsa-miR-149	0.424571284370073	7.68987119339658	1.89928889064098	0.0577095992997406	0.273367845691076	-5.46801958771509
MIMAT0000730	hsa-miR-377	-0.354000715335017	8.06093553923054	-1.89343765786016	0.0584833703107518	0.273367845691076	-5.47904377001143
MIMAT0000093	hsa-miR-93	0.264317883269968	10.3025912387197	1.89272030723483	0.0585788240766591	0.273367845691076	-5.48039298495356
MIMAT0003228	hsa-miR-564	-0.0652552304511351	6.31452467982356	-1.8677117560186	0.0619884048394036	0.282340749286922	-5.52711167165075
MIMAT0000279	hsa-miR-222	-0.433057877825086	8.02916997750163	-1.86317330664563	0.0626244519095052	0.282340749286922	-5.53552366840237
MIMAT0000733	hsa-miR-379	-0.25456546572102	7.30904600741099	-1.84711640580914	0.0649182784512944	0.287804367800738	-5.56512149940002
MIMAT0000267	hsa-miR-210	0.497924503626685	9.54433905149133	1.82103696430103	0.0687914509413886	0.299975835252613	-5.61265038535755
MIMAT0000078	hsa-miR-23a	0.288204942401544	13.2723339433841	1.79493805353935	0.0728558134565933	0.307362650015106	-5.65954100975442
MIMAT0000068	hsa-miR-15a	0.345724616411337	11.6985415234337	1.78665797989609	0.0741856338145716	0.307362650015106	-5.67427655499121
MIMAT0000278	hsa-miR-221	-0.302004413621532	7.9340789626865	-1.77730807115472	0.0757110774713262	0.307362650015106	-5.69083444806562
MIMAT0000437	hsa-miR-145	-0.393528060514772	10.2874316645683	-1.77222197033449	0.0765515788118965	0.307362650015106	-5.69980516366855
MIMAT0000760	hsa-miR-331-3p	0.238062779388978	9.72634717742887	1.7684102461833	0.0771864631244495	0.307362650015106	-5.70651138562322
MIMAT0000265	hsa-miR-204	-0.212751868966881	6.57982679362797	-1.76378492303386	0.0779626219361569	0.307362650015106	-5.71462971284164
MIMAT0000452	hsa-miR-154	-0.169198553884311	6.87093642196019	-1.76016844966453	0.0785739105301774	0.307362650015106	-5.72096256336476
MI0000434_MIMAT0000415	NA	0.265639996743694	12.9234947809166	1.75251545441419	0.079880362179337	0.307944584633386	-5.73432112880391
MIMAT0000280	hsa-miR-223	-0.473642080553977	10.157099845418	-1.71603110962555	0.0863535817054198	0.328143610480595	-5.7972086774249
MIMAT0000226	hsa-miR-196a	0.72957526226696	9.02349638019902	1.70549930010796	0.0882991043830647	0.330810729097116	-5.81511706700407
MIMAT0004689	hsa-miR-377*	-0.0769085195313179	6.31325377175824	-1.69339114723926	0.0905793667628509	0.332195264992799	-5.83557015567339
MIMAT0000418	hsa-miR-23b	0.276978739503789	10.1739787814216	1.69031396381159	0.0911663697160688	0.332195264992799	-5.84074499515888
MIMAT0005948	hsa-miR-664*	0.180068002703611	6.96379360195748	1.67990082482647	0.0931755191713713	0.334928217561956	-5.85818700582292
MIMAT0004599	hsa-miR-143*	-0.111008570399793	6.65009515916483	-1.66368160772813	0.0963755996098679	0.341812126616332	-5.88514028525788
MIMAT0000253	hsa-miR-10a	0.550992944611129	8.7071737236902	1.65465636645504	0.0981940579208898	0.343679202723114	-5.90002569541533
MIMAT0004601	hsa-miR-145*	-0.195823825315228	7.17350792022542	-1.62461913994354	0.104444414038503	0.360572677252668	-5.94898518932633
MIMAT0000445	hsa-miR-126	-0.40136562527623	9.43987586457774	-1.61861081701949	0.105731837690632	0.360572677252668	-5.95867123606839
MIMAT0000318	hsa-miR-200b	0.488020149336882	11.9156481872134	1.58851799039926	0.112370560350227	0.378361633584307	-6.00664579916967
MIMAT0000753	hsa-miR-342-3p	0.409979931413531	10.3118010615516	1.58207530066639	0.113833752324748	0.378497226479787	-6.01680023076008
