	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005893	hsa-miR-1305	-0.535017171641267	6.61596807438205	-10.252745780214	8.5213534329433e-24	2.26668001316292e-21	43.1478111150954
MIMAT0005942	hsa-miR-1288	-0.295552871388647	6.29757442829253	-10.0112316762145	8.44950672009701e-23	1.1237843937729e-20	40.8872326075517
MIMAT0000072	hsa-miR-18a	1.06909711716557	7.45140591401652	7.44107427052256	1.78073629510636e-13	1.57891951499431e-11	19.8000330436476
MIMAT0000681	hsa-miR-29c	-1.19919944059755	13.0393530337512	-6.77727841307092	1.83167909705414e-11	1.21806659954101e-09	15.2760356716006
MIMAT0001412	hsa-miR-18b	0.818046338251679	7.27921257068748	6.38900327437289	2.30032977058182e-10	1.22377543794953e-08	12.8126228735776
MIMAT0000080	hsa-miR-24	0.675929878408974	12.105776213781	5.85709606982467	5.92246411232366e-09	2.62562575646349e-07	9.66043158667655
MIMAT0000417	hsa-miR-15b	0.755820007736896	12.8876203000871	5.41724047459249	7.17068165692823e-08	2.72485902963273e-06	7.25048643005714
MIMAT0004673	hsa-miR-29c*	-0.86581008492166	8.82467773982981	-5.36559103079884	9.50050430542575e-08	3.15891768155406e-06	6.97928911960871
MIMAT0005938	hsa-miR-1274b	-0.808076677643829	12.1719476180422	-5.28413452115377	1.47336109768842e-07	4.35460057761244e-06	6.55664093262008
MIMAT0000093	hsa-miR-93	0.647425471780482	10.6020256304016	5.08476272485213	4.20408123692439e-07	1.11828560902189e-05	5.54836120619144
MIMAT0000070	hsa-miR-17	0.843035918345421	9.04023643870974	4.97926573603209	7.21543775915789e-07	1.74482403994182e-05	5.02992165063475
MIMAT0000728	hsa-miR-375	-1.70779554317528	9.39727855797665	-4.36428803654451	1.37357847440505e-05	0.000304476561826453	2.21703997679495
MIMAT0000250	hsa-miR-139-5p	-0.466279420558993	6.91398843011334	-4.28658157830698	1.94461948387519e-05	0.000370520939331201	1.88718019472145
MIMAT0000092	hsa-miR-92a	0.752693618208019	8.92249333348097	4.28594624457793	1.95011020700632e-05	0.000370520939331201	1.88450698817002
MIMAT0003326	hsa-miR-663	0.877340630945185	8.12790085093705	4.26678345959353	2.1228405136925e-05	0.000376450384428136	1.80405952136655
MIMAT0000073	hsa-miR-19a	0.708844825385274	9.55705997532388	3.74200274847888	0.000190299449142608	0.00316372834199586	-0.262264476001912
MIMAT0000442	hsa-miR-9*	0.788320032887444	6.92532975017834	3.67931524160947	0.000243156805180012	0.00368808654973092	-0.49138812550732
