	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005942	hsa-miR-1288	-0.304356273797979	6.29757442829253	-10.2620917037224	7.7902980979727e-24	1.07622801093246e-21	43.2274198720298
MIMAT0005893	hsa-miR-1305	-0.537767567472023	6.61596807438205	-10.2581342519663	8.09193993182302e-24	1.07622801093246e-21	43.1899686190152
MIMAT0005938	hsa-miR-1274b	-0.749267152152653	12.1719476180422	-4.87707338289264	1.20587122866375e-06	0.000106920582274852	4.51984777216201
MIMAT0000417	hsa-miR-15b	0.575823414492879	12.8876203000871	4.10818842815768	4.2300793869502e-05	0.00281300279232188	1.13310617855868
MIMAT0000250	hsa-miR-139-5p	-0.441835946511445	6.91398843011334	-4.04321834550754	5.57340056996106e-05	0.00296504910321929	0.872770521508508
MIMAT0000080	hsa-miR-24	0.415974953291094	12.105776213781	3.58797318836761	0.000345297607831753	0.0137482884981826	-0.837528818036604
MIMAT0000267	hsa-miR-210	0.986263706098363	9.87736350577873	3.54496560688113	0.000406215710902362	0.0137482884981826	-0.988766198105308
MIMAT0005954	hsa-miR-720	-0.646228321243601	14.7958438181295	-3.54024505875761	0.000413482360847598	0.0137482884981826	-1.00525715600145
MIMAT0000088	hsa-miR-30a*	-0.914894262865881	9.32314484111859	-3.49861359964972	0.000483040575791454	0.0142765325733919	-1.14976033755316
MIMAT0000436	hsa-miR-144	-0.905785128886587	7.69038560513332	-3.42258552738267	0.000639034442569617	0.0169983161723518	-1.40932256351541
MIMAT0004550	hsa-miR-30c-2*	-0.476321612446823	7.29832245815206	-3.2636711543819	0.00112760550401569	0.0272675512789249	-1.93375522407269
MIMAT0000278	hsa-miR-221	-0.555841348316366	8.05856675243203	-3.17273891693698	0.0015444662556374	0.0322775704899071	-2.22280465912402
MIMAT0007890	hsa-miR-1914*	-0.230286823612944	6.8738606482743	-3.16654688750642	0.00157747524950674	0.0322775704899071	-2.24219498619748
MIMAT0000099	hsa-miR-101	-0.541274991738174	9.0218396216369	-3.12196200778984	0.00183503216535975	0.0348656111418352	-2.38071065437048
MIMAT0000244	hsa-miR-30c	-0.528285822215475	10.0878566470866	-2.99818107784737	0.00276614138807396	0.0474050249723449	-2.75512053515207
