	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005893	hsa-miR-1305	-0.577164937859738	6.61596807438205	-11.3370135897446	1.64594336667009e-28	4.37820935534245e-26	53.8311704657788
MIMAT0005942	hsa-miR-1288-3p	-0.307448487914834	6.29757442829253	-10.6745837571203	1.38958626127785e-25	1.84814972749954e-23	47.1770238284547
MIMAT0005938	hsa-miR-1274b	-1.01258591887868	12.1719476180422	-6.78702478864215	1.71600443716972e-11	1.52152393429049e-09	15.2859356036868
MIMAT0005954	hsa-miR-720	-1.0347740570658	14.7958438181295	-5.83737810661439	6.64780536758884e-09	4.42079056944658e-07	9.49052203329515
MIMAT0007890	hsa-miR-1914-3p	-0.349525143716098	6.8738606482743	-4.94903142477554	8.4077796946372e-07	4.47293879754699e-05	4.82174221311808
MIMAT0005911	hsa-miR-1260	-0.751112713165301	10.7324391077942	-4.83553204543726	1.48177517613818e-06	6.56920328087927e-05	4.2785054580447
MIMAT0005927	hsa-miR-1274a	-0.668061494692518	9.19264660509002	-4.31226120499159	1.73462640230355e-05	0.00061599173303689	1.93187566740811
MIMAT0000063	hsa-let-7b-5p	0.687123622480089	15.655796673252	4.29749091527493	1.85260671590042e-05	0.00061599173303689	1.86942003234492
MIMAT0002816	hsa-miR-494-3p	-1.4850212607252	10.2815385601509	-4.15284140221049	3.49185396827343e-05	0.00103203683951193	1.26879951735089
MIMAT0004673	hsa-miR-29c-5p	0.642506605827904	8.82467773982981	4.08130248267206	4.74369198111883e-05	0.00126182206697761	0.979157086120869
MIMAT0000074	hsa-miR-19b-3p	-0.561259019759011	10.440626955416	-3.68683928026288	0.000236152505474101	0.00571059695055553	-0.529583755924116
MIMAT0002872	hsa-miR-501-5p	-0.168993167373247	6.40309463342499	-3.65020963936273	0.000272131356971261	0.00603224507952963	-0.66207384137315
MIMAT0000088	hsa-miR-30a*	0.90874231275295	9.32314484111859	3.57841561922598	0.00035804563514408	0.00732616453448656	-0.917991735798467
MIMAT0005898	hsa-miR-1246	-1.08570099023061	10.1454222460779	-3.42076007374263	0.000643301047093158	0.0117799933651079	-1.46246338769224
MIMAT0000104	hsa-miR-107	0.504728539587465	10.2169794343849	3.41194289054934	0.000664285340137664	0.0117799933651079	-1.49220262588158
MIMAT0000253	hsa-miR-10a-5p	1.09158926967459	8.86232304570021	3.28323371809028	0.00105277873250128	0.0175024464278338	-1.91773073428074
MIMAT0004795	hsa-miR-574-5p	-0.635007342415356	8.92153185965508	-3.20864327612692	0.00136529094684745	0.0213627877565543	-2.15696763830806
MIMAT0000451	hsa-miR-150-5p	-1.11618939937418	10.8769017076457	-3.0945665977966	0.00201192486926186	0.0297317786235364	-2.51237656912559
MIMAT0000064	hsa-let-7c-5p	0.483361574141014	13.7236734934904	3.06253238152851	0.00223857279329893	0.031340019106185	-2.60989988709269
MIMAT0004694	hsa-miR-342-5p	0.596538300318365	9.08578630529948	3.04399109451937	0.00238022839188593	0.0316570376120829	-2.6658888569413
MIMAT0000084	hsa-miR-27a-3p	0.463321223097799	13.3385305927263	2.98516689015756	0.00288577069639094	0.0348344274853802	-2.84129999780269
MIMAT0000062	hsa-let-7a-5p	0.837097177648975	13.5410716630305	2.9776165351014	0.00295732401822779	0.0348344274853802	-2.86357027801378
MIMAT0000066	hsa-let-7e-5p	0.745899834158818	12.0959598577199	2.97195881806806	0.00301199936903663	0.0348344274853802	-2.88022161944807
MIMAT0000455	hsa-miR-185-5p	-0.355684658614626	9.2410729244276	-2.92670511905866	0.00348367050171962	0.0376052371066836	-3.01228382200471
MIMAT0000232	hsa-miR-199a-3p	0.939331672237765	12.8571509894966	2.92218277477863	0.00353432679574094	0.0376052371066836	-3.02537128040555
MIMAT0000244	hsa-miR-30c-5p	0.492991966738503	10.0878566470866	2.88106927432272	0.00402657336408076	0.0411949428786724	-3.14343522499845
MIMAT0000691	hsa-miR-130b-3p	-0.427540514182228	9.33069116673244	-2.86026248015113	0.00429873694978839	0.0423505195793967	-3.20255561848997
MIMAT0000731_MIMAT0000732	hsa-miR-378	-0.250745154045411	6.87952390670881	-2.82283973887861	0.00483060424858868	0.0450563280634305	-3.30782315782521
MIMAT0003299	hsa-miR-630	-0.34070321312256	6.820802634213	-2.81743529621593	0.00491215606706573	0.0450563280634305	-3.32291228326393
