	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005893	hsa-miR-1305	-0.605208634698789	6.61596807438205	-11.2047707100045	6.48797992885034e-28	1.72580266107419e-25	52.4933996626971
MIMAT0005942	hsa-miR-1288	-0.308824941188365	6.29757442829253	-10.1062511428038	3.44527138914327e-23	4.58221094756055e-21	41.7605157043303
MIMAT0005938	hsa-miR-1274b	-1.37119705643634	12.1719476180422	-8.66256597211059	1.30863221647377e-17	1.16032056527341e-15	29.1163442311224
MIMAT0005954	hsa-miR-720	-1.39049764208756	14.7958438181295	-7.3933570621411	2.51664020248818e-13	1.67356573465464e-11	19.4451412153808
MIMAT0005911	hsa-miR-1260	-1.12421700450378	10.7324391077942	-6.82163430704946	1.36025596103484e-11	7.23656171270534e-10	15.5483915332607
MIMAT0005927	hsa-miR-1274a	-0.93808668603624	9.19264660509002	-5.70730026727164	1.41211658065969e-08	6.26038350759128e-07	8.80010280442935
MIMAT0002820	hsa-miR-497	0.859361208246315	9.14199243797994	4.90431752662582	1.05255420879389e-06	3.99970599341678e-05	4.64739102622018
MIMAT0000265	hsa-miR-204	0.505947023633084	6.56039593940158	4.76127322334669	2.13320126820603e-06	7.09289421678506e-05	3.97110742487755
MIMAT0007890	hsa-miR-1914*	-0.34017645890604	6.8738606482743	-4.53988838527317	6.1349950799632e-06	0.000181323187918912	2.96262584838599
MIMAT0000455	hsa-miR-185	-0.53993761704118	9.2410729244276	-4.18751668297427	3.00488163888929e-05	0.000799298515944551	1.45360447784005
MIMAT0000097	hsa-miR-99a	1.1629160808895	10.8898574639844	4.15842272392409	3.40870350650356e-05	0.000824286484299951	1.33430957989746
MIMAT0000250	hsa-miR-139-5p	0.440724275230029	6.91398843011334	3.91432793835116	9.52250034686307e-05	0.00211082091022131	0.365404979779445
MIMAT0000691	hsa-miR-130b	-0.583310405273363	9.33069116673244	-3.6781333360571	0.00024427464117432	0.00499823496556685	-0.517596455526959
MIMAT0000098	hsa-miR-100	0.846203243663242	10.2443427703977	3.6005100870531	0.000329219551267532	0.0062551714740831	-0.796036935730525
MIMAT0001343_MIMAT0003393	hsa-miR-425	-0.623171647997351	10.0932889547208	-3.36800221187455	0.000778693994068667	0.0130859164701792	-1.59517446438781
MIMAT0004795	hsa-miR-574-5p	-0.706552119699674	8.92153185965508	-3.36500740746807	0.000787122795198748	0.0130859164701792	-1.60512593081032
MIMAT0000680	hsa-miR-106b	-0.451558094930438	12.0329615937146	-3.31091502067322	0.000954733095236832	0.014938764901941	-1.78337143342424
MIMAT0002816	hsa-miR-494	-1.24663806085835	10.2815385601509	-3.28588369646374	0.00104300395245307	0.0154132806306954	-1.86489318024528
