MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0001627	hsa-miR-433-3p	-2.74610332344765	0.00603077670582763	0.589343286626497
MIMAT0000250	hsa-miR-139-5p	-2.73867811154884	0.00616867366105844	0.589343286626497
MIMAT0002177	hsa-miR-486-5p	-2.71279628552948	0.00667181079199808	0.589343286626497
MIMAT0000436	hsa-miR-144-3p	-2.58251100546567	0.00980842338047716	0.626965698190568
MIMAT0004603	hsa-miR-125b-2-3p	-2.49872560289001	0.0124640779148115	0.626965698190568
MIMAT0000089	hsa-miR-31-5p	-2.45227912866256	0.0141954497703525	0.626965698190568
MIMAT0004600	hsa-miR-144-5p	-2.3206566215204	0.0203053836532219	0.710341284135795
MIMAT0004597	hsa-miR-140-3p	-2.28994742901239	0.0220243643367379	0.710341284135795
MIMAT0000433	hsa-miR-142-5p	-2.16900371147789	0.0300824021320427	0.710341284135795
MIMAT0000732	hsa-miR-378a-3p	-2.15444973318831	0.0312049199696962	0.710341284135795
MIMAT0000278	hsa-miR-221-3p	-2.10828984896829	0.0350059254680373	0.710341284135795
MIMAT0005593	hsa-miR-1238-3p	-2.09393264117101	0.0362659810643344	0.710341284135795
MIMAT0000417	hsa-miR-15b-5p	2.08751654547147	0.0368414670247126	0.710341284135795
MIMAT0000451	hsa-miR-150-5p	-2.03029433622667	0.0423266295914446	0.710341284135795
MIMAT0004605	hsa-miR-129-3p	-2.01844172731411	0.0435452773171436	0.710341284135795
MIMAT0002876	hsa-miR-505-3p	-1.99694735127861	0.0458309025901604	0.710341284135795
MIMAT0000104	hsa-miR-107	1.90418055409926	0.0568866733986775	0.710341284135795
MIMAT0000280	hsa-miR-223-3p	-1.87448295041264	0.0608638898495772	0.710341284135795
MIMAT0005898	hsa-miR-1246	-1.87098797521275	0.0613467477581824	0.710341284135795
MIMAT0002872	hsa-miR-501-5p	-1.86735259450364	0.0618523652116121	0.710341284135795
MIMAT0001631	hsa-miR-451	-1.86012050835546	0.0628684782552418	0.710341284135795
MIMAT0005939	hsa-miR-1281	-1.82820365780223	0.0675189922671207	0.710341284135795
MIMAT0004614	hsa-miR-193a-5p	-1.82634331331853	0.0677985647934676	0.710341284135795
