MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0000076	hsa-miR-21,hsa-miR-21-5p	-8.67617952180969	0	0
MIMAT0005927	hsa-miR-1274a	-Inf	0	0
MIMAT0000250	hsa-miR-139,hsa-miR-139-5p	8.16664213338257	2.22044604925031e-16	1.18127729820117e-14
MIMAT0000433	hsa-miR-142-5p	-8.24349131518429	2.22044604925031e-16	1.18127729820117e-14
MIMAT0000646	hsa-miR-155,hsa-miR-155-5p	-8.21759107711438	2.22044604925031e-16	1.18127729820117e-14
MIMAT0000728	hsa-miR-375	-7.87882563418728	3.33066907387547e-15	1.47659662275146e-13
MIMAT0000434	hsa-miR-142-3p	-7.64256151085452	2.1316282072803e-14	8.10018718766514e-13
MIMAT0005911	hsa-miR-1260,hsa-miR-1260a	-7.11072145787745	1.15440990100524e-12	3.83841292084242e-11
MIMAT0002820	hsa-miR-497,hsa-miR-497-5p	6.91860041159168	4.56124027436999e-12	1.3480999033138e-10
MIMAT0001343_MIMAT0003393	hsa-miR-425	-6.88584951006971	5.74429392941056e-12	1.52798218522321e-10
MIMAT0004494	hsa-miR-21-3p,hsa-miR-21*	-6.57274059300282	4.9397375079252e-11	1.19451834282555e-09
MIMAT0000691	hsa-miR-130b,hsa-miR-130b-3p	-6.44001651634285	1.19460441538877e-10	2.6480397874451e-09
MIMAT0005938	hsa-miR-1274b	-6.30772123208952	2.83173706705497e-10	5.79416969105095e-09
MIMAT0000437	hsa-miR-145,hsa-miR-145-5p	6.28218946620163	3.33837624211242e-10	6.34291486001359e-09
MIMAT0000261	hsa-miR-183,hsa-miR-183-5p	-6.25766990895921	3.90771859315464e-10	6.92968763852756e-09
MIMAT0005893	hsa-miR-1305	-6.12087792050225	9.30611809835113e-10	1.54714213385088e-08
MIMAT0003233	hsa-miR-551b,hsa-miR-551b-3p	5.99538229865446	2.03007277654876e-09	3.17646681507042e-08
MIMAT0000097	hsa-miR-99a,hsa-miR-99a-5p	5.89236793561951	3.80700337920814e-09	5.6259049937187e-08
MIMAT0000095	hsa-miR-96,hsa-miR-96-5p	-5.72259808311414	1.04907242892693e-08	1.46870140049771e-07
MIMAT0004694	hsa-miR-342-5p	-5.46707923114172	4.57511584173176e-08	6.08490406950324e-07
MIMAT0005954	hsa-miR-720	-5.4182671138024	6.01794614141227e-08	7.6227317791222e-07
MIMAT0002872	hsa-miR-501,hsa-miR-501-5p	-5.34366428893002	9.10861963632215e-08	1.1013149196644e-06
MIMAT0001536	hsa-miR-429	-5.25924625576524	1.4464707520645e-07	1.67287486977894e-06
MIMAT0005942	hsa-miR-1288,hsa-miR-1288-3p	-5.09708034057831	3.44931966322903e-07	3.82299596007885e-06
MIMAT0000243	hsa-miR-148a,hsa-miR-148a-3p	-5.05609417995411	4.27930064939019e-07	4.55317589095117e-06
MIMAT0000617	hsa-miR-200c,hsa-miR-200c-3p	-5.02225704149863	5.10677757636913e-07	5.21063611443514e-06
MIMAT0000088	hsa-miR-30a*	5.01552111477909	5.28899154472739e-07	5.21063611443514e-06
MIMAT0000432	hsa-miR-141,hsa-miR-141-3p	-4.89238001066968	9.96238531003613e-07	9.46426604453432e-06
MIMAT0002177	hsa-miR-486,hsa-miR-486-5p	4.8433396131292	1.27674786853937e-06	1.1710859759706e-05
MIMAT0000252	hsa-miR-7,hsa-miR-7-5p	-4.83558098557591	1.3275730994522e-06	1.17711481484761e-05
MIMAT0004614	hsa-miR-193a-5p	4.8250554788963	1.39964301482109e-06	1.20098400626584e-05
MIMAT0004597	hsa-miR-140-3p	4.71938699056478	2.3655641800957e-06	1.96637522470455e-05
MIMAT0000226	hsa-miR-196a,hsa-miR-196a-5p	-4.69475288058446	2.66929214576272e-06	2.15161124476632e-05
MIMAT0000449	hsa-miR-146,hsa-miR-146a,hsa-miR-146a-5p	-4.64167650242848	3.455936314678e-06	2.7037619403069e-05
MIMAT0000753	hsa-miR-342,hsa-miR-342-3p	-4.59657856099561	4.29485082964476e-06	3.26408663053002e-05
MIMAT0000073	hsa-miR-19a,hsa-miR-19a-3p	-4.52328026869563	6.08885272002091e-06	4.49898562090434e-05
MIMAT0002816	hsa-miR-494,hsa-miR-494-3p	-4.42444679502572	9.66897284460089e-06	6.95120750449685e-05
MIMAT0000318	hsa-miR-200b,hsa-miR-200b-3p	-4.39267979589894	1.11961969144758e-05	7.83733784013307e-05
MIMAT0004603	hsa-miR-125b-2-3p,hsa-miR-125b-2*	4.37346781420498	1.22288281283467e-05	8.26889153179189e-05
MIMAT0000074	hsa-miR-19b,hsa-miR-19b-3p	-4.36982836038618	1.2434423356078e-05	8.26889153179189e-05
MIMAT0000063	hsa-let-7b,hsa-let-7b-5p	4.29213573680637	1.76962709641515e-05	0.000114809953084495
MIMAT0004552	hsa-miR-139-3p	4.19875861952737	2.68382217021301e-05	0.000169975404113491
MIMAT0000072	hsa-miR-18,hsa-miR-18a,hsa-miR-18a-5p	-4.17270182796288	3.01008755176913e-05	0.000184709360935297
MIMAT0000435	hsa-miR-143,hsa-miR-143-3p	4.16930172801668	3.05534281246356e-05	0.000184709360935297
MIMAT0000267	hsa-miR-210,hsa-miR-210-3p	-4.11806607035095	3.8206516925765e-05	0.000225842966716744
MIMAT0000680	hsa-miR-106b,hsa-miR-106b-5p	-4.10611006160515	4.02377814665567e-05	0.000232679345002262
MIMAT0004682	hsa-miR-361-3p	-4.08002792019767	4.50302918144629e-05	0.000250050362863435
MIMAT0004683	hsa-miR-362-3p	-4.07955563671902	4.51218699903944e-05	0.000250050362863435
MIMAT0005898	hsa-miR-1246	-4.02178067543605	5.77598279245528e-05	0.00031355335159043
MIMAT0000727	hsa-miR-374,hsa-miR-374a,hsa-miR-374a-5p	-3.98313061201167	6.8013351098406e-05	0.00036183102784352
MIMAT0000682	hsa-miR-200a,hsa-miR-200a-3p	-3.96933695665837	7.20729026442157e-05	0.000375909649085517
MIMAT0000098	hsa-miR-100,hsa-miR-100-5p	3.94460608220638	7.99312636374783e-05	0.000408879156299408
MIMAT0000752	hsa-miR-328,hsa-miR-328-3p	3.90055933220316	9.59707014500655e-05	0.000481664275202215
MIMAT0002819	hsa-miR-193b,hsa-miR-193b-3p	3.87303470644143	0.00010748851384168	0.000526925852148199
MIMAT0004571	hsa-miR-200b-5p,hsa-miR-200b*	-3.86974144970649	0.000108950834090793	0.000526925852148199
MIMAT0007890	hsa-miR-1914-3p,hsa-miR-1914*	-3.86161511413153	0.000112639917747348	0.000535039609299903
MIMAT0004795	hsa-miR-574-5p	-3.82019896476622	0.000133344064264351	0.000622272299900306
MIMAT0000257	hsa-miR-181b,hsa-miR-181b-5p	-3.81325417744965	0.000137148933725184	0.000628993385705155
MIMAT0000760	hsa-miR-331,hsa-miR-331-3p	-3.80419759329884	0.000142264589889196	0.000641396286619088
MIMAT0000222	hsa-miR-192,hsa-miR-192-5p	-3.79721458464291	0.000146331110390197	0.000648734589396538
MIMAT0004955	hsa-miR-374b,hsa-miR-374b-5p	-3.77197033783999	0.000161963513625629	0.000706267124990449
MIMAT0004673	hsa-miR-29c-5p,hsa-miR-29c*	3.7432676715391	0.000181642550527217	0.000779305136132898
MIMAT0000064	hsa-let-7c,hsa-let-7c-5p	3.73742230002926	0.000185916516805884	0.000784980848735955
MIMAT0000093	hsa-miR-93,hsa-miR-93-5p	-3.73335080591347	0.000188949135676131	0.000785319845153919
MIMAT0000736	hsa-miR-381,hsa-miR-381-3p	3.71556186248737	0.000202752650384719	0.000829726230805157
MIMAT0000271	hsa-miR-214,hsa-miR-214-3p	3.69710814174296	0.000218069462946557	0.000878886017330065
MIMAT0006764	hsa-miR-320d	3.66668763363283	0.000245712641067541	0.000966061609171165
MIMAT0004599	hsa-miR-143-5p,hsa-miR-143*	3.66413831015695	0.000248172660346269	0.000966061609171165
MIMAT0000688	hsa-miR-301,hsa-miR-301a,hsa-miR-301a-3p	-3.65823485110395	0.000253958287753653	0.000966061609171165
MIMAT0000731_MIMAT0000732	hsa-miR-378	3.65796400466341	0.00025422673925557	0.000966061609171165
