MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0000755	hsa-miR-323-3p	-8.4244589521102	0	0
MIMAT0002813	hsa-miR-493-5p	-Inf	0	0
MIMAT0000250	hsa-miR-139-5p	8.03207343509402	8.88178419700125e-16	7.84557604068444e-14
MIMAT0003233	hsa-miR-551b-3p	7.75766991270922	8.65973959207622e-15	5.7370774797505e-13
MIMAT0002173	hsa-miR-483-3p	-7.07124242459373	1.53543844305659e-12	8.13782374819993e-11
MIMAT0004954	hsa-miR-543	-7.01579316482985	2.28639329691305e-12	1.0098237061366e-10
MIMAT0002176	hsa-miR-485-3p	-6.973941345958	3.08175707175451e-12	1.16666517716421e-10
MIMAT0004683	hsa-miR-362-3p	-6.91456783261009	4.69291272509054e-12	1.55452734018624e-10
MIMAT0000442	hsa-miR-9-3p	-6.83141032280349	8.40838509930109e-12	2.47580227923865e-10
MIMAT0000426	hsa-miR-132-3p	-6.66496601731077	2.64726018883721e-11	7.0152395004186e-10
MIMAT0004780	hsa-miR-532-3p	-6.63960638587181	3.14521741984208e-11	7.57711469325593e-10
MIMAT0002888	hsa-miR-532-5p	-6.53637731999839	6.30266949741554e-11	1.3918395140126e-09
MIMAT0000269	hsa-miR-212-3p	-6.50474107172547	7.78273001600382e-11	1.58647958018540e-09
MIMAT0000076	hsa-miR-21-5p	-6.47886404687771	9.24156307036128e-11	1.74929586688981e-09
MIMAT0004614	hsa-miR-193a-5p	6.43889094531676	1.20349730181601e-10	2.12617856654163e-09
MIMAT0002819	hsa-miR-193b-3p	6.4065485847753	1.48850709535964e-10	2.33891736044293e-09
MIMAT0004594	hsa-miR-132-5p	-6.40533063271341	1.50043755198226e-10	2.33891736044293e-09
MIMAT0000685	hsa-miR-34b-5p	-6.25703893939587	3.92355481437789e-10	5.77634458783412e-09
MIMAT0000691	hsa-miR-130b-3p	-6.23851161719683	4.41753744695461e-10	6.16130222864722e-09
MIMAT0001627	hsa-miR-433-3p	-6.19586145603027	5.79670977884916e-10	7.68064045697514e-09
MIMAT0002817	hsa-miR-495-3p	-6.1817697888122	6.33869179367252e-10	7.99882535868199e-09
MIMAT0000730	hsa-miR-377-3p	-6.1742179539657	6.6491767647392e-10	8.00923564843585e-09
MIMAT0004784	hsa-miR-455-3p	-6.09059284188733	1.12493325765683e-09	1.29611875338722e-08
MIMAT0003879	hsa-miR-758-3p	-6.06421986964536	1.32595667778901e-09	1.4640771650587e-08
MIMAT0004557	hsa-miR-34a-3p	-6.02922789588386	1.64744839992181e-09	1.74629530391712e-08
MIMAT0004673	hsa-miR-29c-5p	5.98964470251429	2.10299955227811e-09	2.14344185136038e-08
MIMAT0005865	hsa-miR-1202	5.96618514839847	2.42864683919208e-09	2.38367189772556e-08
MIMAT0000459	hsa-miR-193a-3p	5.9388048122746	2.87107448926349e-09	2.71726692733866e-08
MIMAT0000226	hsa-miR-196a-5p	-5.9067121234972	3.49002826638412e-09	3.18916376066135e-08
MIMAT0003150	hsa-miR-455-5p	-5.78697706869498	7.16643566711639e-09	6.33035150595281e-08
MIMAT0001638	hsa-miR-409-5p	-5.73788029350036	9.58688350927162e-09	8.19523912889348e-08
MIMAT0002171	hsa-miR-410-3p	-5.56451618140975	2.62880737178506e-08	2.1769811047595e-07
MIMAT0003329	hsa-miR-411-5p	-5.44640784728268	5.13972118199035e-08	4.12735185826498e-07
MIMAT0000073	hsa-miR-19a-3p	-5.43534367828079	5.46909146859065e-08	4.26267423287212e-07
MIMAT0004945	hsa-miR-744-5p	-5.33668726573264	9.4660100868893e-08	7.16712192293047e-07
MIMAT0002814	hsa-miR-432-5p	-5.30820055976025	1.10712782941391e-07	8.14969096651907e-07
MIMAT0002809	hsa-miR-146b-5p	-5.27706550858868	1.31268970138265e-07	9.40169650990278e-07
