MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0000250	hsa-miR-139,hsa-miR-139-5p	-3.99886811597546	6.36461310590253e-05	0.0115160053793926
MIMAT0004951	hsa-miR-887,hsa-miR-887-3p	-3.92539785612284	8.65865066119742e-05	0.0115160053793926
MIMAT0000681	hsa-miR-29c,hsa-miR-29c-3p	-3.37808015423657	0.000729938009502717	0.0647211701759076
MIMAT0004614	hsa-miR-193a-5p	-3.26481544063754	0.00109535422364249	0.0653686000963805
MIMAT0004673	hsa-miR-29c-5p,hsa-miR-29c*	-3.23212496516159	0.00122873308451843	0.0653686000963805
MIMAT0000728	hsa-miR-375	-3.08412456795667	0.00204152096005328	0.0905074292290287
MIMAT0000759	hsa-miR-148b,hsa-miR-148b-3p	-2.83622663700404	0.0045650039026075	0.173470148299085
MIMAT0000072	hsa-miR-18,hsa-miR-18a,hsa-miR-18a-5p	2.78442917955102	0.0053622029636311	0.178293248540734
MIMAT0000459	hsa-miR-193,hsa-miR-193a,hsa-miR-193a-3p	-2.58647335691101	0.00969636663793461	0.247197979617747
MIMAT0001412	hsa-miR-18b,hsa-miR-18b-5p	2.56139536548522	0.0104252639774016	0.247197979617747
MIMAT0004603	hsa-miR-125b-2-3p,hsa-miR-125b-2*	-2.54314545727162	0.0109859484834456	0.247197979617747
MIMAT0003326	hsa-miR-663,hsa-miR-663a	2.53790614937595	0.0111517885541841	0.247197979617747
MIMAT0000275	hsa-miR-218,hsa-miR-218-5p	-2.45829839732795	0.0139597129934521	0.285637204327559
MIMAT0000255	hsa-miR-34a,hsa-miR-34a-5p	-2.42601676679839	0.0152655649913029	0.290045734834756
MIMAT0000417	hsa-miR-15b,hsa-miR-15b-5p	2.3845569327251	0.0170997018968697	0.293159449343684
MIMAT0002820	hsa-miR-497,hsa-miR-497-5p	-2.37322222347738	0.0176336510883419	0.293159449343684
MIMAT0000685	hsa-miR-34b-5p,hsa-miR-34b*	-2.34317072661634	0.0191206313985415	0.299181644236002
MIMAT0001627	hsa-miR-433,hsa-miR-433-3p	-2.29388621698375	0.0217970353229164	0.322111744216432
MIMAT0000736	hsa-miR-381,hsa-miR-381-3p	-2.21708760821113	0.0266171054211735	0.340915810076056
MIMAT0000445	hsa-miR-126,hsa-miR-126-3p	-2.21456262980605	0.0267900994357742	0.340915810076056
