MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0002876	hsa-miR-505-3p	-3.81824918318474	0.000134402134981393	0.0356165657700691
MIMAT0004673	hsa-miR-29c-5p	3.43104676697915	0.000601256934100514	0.0796665437683181
MIMAT0000732	hsa-miR-378a-3p	-3.20220546557261	0.0013637968567215	0.120468722343732
MIMAT0004597	hsa-miR-140-3p	-3.07342351728249	0.00211617924555152	0.140196875017788
MIMAT0000089	hsa-miR-31-5p	-2.95519032194152	0.00312476222234381	0.165612397784222
MIMAT0000433	hsa-miR-142-5p	-2.78502419339734	0.00535237293286261	0.210560440996139
MIMAT0000451	hsa-miR-150-5p	-2.75030824841599	0.0059539226931733	0.210560440996139
MIMAT0001627	hsa-miR-433-3p	-2.72879909985378	0.00635654161497778	0.210560440996139
MIMAT0002177	hsa-miR-486-5p	-2.66227469852846	0.00776145091155755	0.228531610173639
MIMAT0000280	hsa-miR-223-3p	-2.51558731783645	0.0118834236854986	0.272808311006152
MIMAT0004603	hsa-miR-125b-2-3p	-2.49259008389167	0.0126815156995197	0.272808311006152
MIMAT0005593	hsa-miR-1238-3p	-2.4838030166561	0.0129987690281992	0.272808311006152
MIMAT0005898	hsa-miR-1246	-2.44326953708168	0.0145548623435174	0.272808311006152
MIMAT0000250	hsa-miR-139-5p	-2.42337750728487	0.0153769380694297	0.272808311006152
MIMAT0002819	hsa-miR-193b-3p	2.42132218263994	0.015464164659025	0.272808311006152
MIMAT0000278	hsa-miR-221-3p	-2.39829830033904	0.0164714451928243	0.272808311006152
MIMAT0000455	hsa-miR-185-5p	-2.35968131446897	0.0182906402243268	0.285118803496859
MIMAT0000436	hsa-miR-144-3p	-2.28083314919138	0.0225583219986831	0.326815781476172
MIMAT0000434	hsa-miR-142-3p	-2.25512565592709	0.0241254426807331	0.326815781476172
MIMAT0000681	hsa-miR-29c-3p	2.24660406752307	0.0246653419982017	0.326815781476172
MIMAT0004694	hsa-miR-342-5p	2.21087904101954	0.0270442144234704	0.335697353926297
MIMAT0000450	hsa-miR-149-5p	2.19912248275838	0.0278692142882209	0.335697353926297
MIMAT0000255	hsa-miR-34a-5p	-2.04907082063186	0.0404551902850265	0.438054065293517
MIMAT0004600	hsa-miR-144-5p	-2.04429949285945	0.0409239693173411	0.438054065293517
MIMAT0000279	hsa-miR-222-3p	-2.00897247565191	0.0445400528106092	0.438054065293517
MIMAT0000095	hsa-miR-96-5p	1.99945082215948	0.0455595977570482	0.438054065293517
MIMAT0000104	hsa-miR-107	1.99476029904877	0.0460690292934054	0.438054065293517
MIMAT0000088	hsa-miR-30a-3p	1.97465813009289	0.0483069574689909	0.438054065293517
MIMAT0000253	hsa-miR-10a-5p	1.96897171204501	0.0489563395776935	0.438054065293517
MIMAT0000705	hsa-miR-362-5p	-1.95426473840004	0.0506699166856304	0.438054065293517
MIMAT0005948	hsa-miR-664*	1.9494302875141	0.0512440604682982	0.438054065293517
MIMAT0000066	hsa-let-7e-5p	1.92487863460046	0.0542445434056102	0.44921262507771
MIMAT0000753	hsa-miR-342-3p	1.8946362774561	0.0581406051934918	0.46688667806895
MIMAT0004605	hsa-miR-129-3p	-1.85980150179562	0.0629136148284568	0.473197956712998
MIMAT0000243	hsa-miR-148a-3p	-1.85488000150067	0.0636133643794818	0.473197956712998
MIMAT0000063	hsa-let-7b-5p	1.82321393094843	0.0682709959455035	0.473197956712998
MIMAT0000431	hsa-miR-140-5p	-1.8028407587314	0.0714132269887982	0.473197956712998
MIMAT0002872	hsa-miR-501-5p	-1.80236577950606	0.0714878754912256	0.473197956712998
MIMAT0000261	hsa-miR-183-5p	1.80043761261233	0.071791566265677	0.473197956712998
MIMAT0000449	hsa-miR-146a-5p	-1.79525835961731	0.0726125461166875	0.473197956712998
MIMAT0005939	hsa-miR-1281	-1.78115338969831	0.0748873957424654	0.473197956712998
MIMAT0001631	hsa-miR-451	-1.76862403092111	0.0769566377028799	0.473197956712998
MIMAT0000417	hsa-miR-15b-5p	1.75961462631219	0.0784731698954226	0.473197956712998
MIMAT0000761	hsa-miR-324-5p	1.7590517606975	0.0785687173410261	0.473197956712998
MIMAT0004504	hsa-miR-31-3p	-1.73493173562918	0.0827528972013798	0.482404548919922
MIMAT0000074	hsa-miR-19b-3p	-1.72939654411318	0.0837381481144015	0.482404548919922
MIMAT0004614	hsa-miR-193a-5p	-1.69177265551335	0.0906893292045967	0.511333451898258
MIMAT0000456	hsa-miR-186-5p	-1.65319344798639	0.098291499519565	0.542650986930932
MIMAT0003886	hsa-miR-769-5p	1.61202966791023	0.106955483927234	0.57057140905693
MIMAT0000443	hsa-miR-125a-5p	1.60569969542898	0.108339908255986	0.57057140905693
MIMAT0005911	hsa-miR-1260	-1.59642275242449	0.110394439685338	0.57057140905693
MIMAT0005927	hsa-miR-1274a	-1.58824146510228	0.112231748077009	0.57057140905693
MIMAT0004775	hsa-miR-502-3p	-1.57996762080637	0.114114281811386	0.57057140905693
MIMAT0000736	hsa-miR-381-3p	-1.55801367629354	0.119230006156937	0.574011174974963
MIMAT0004594	hsa-miR-132-5p	1.55660420122109	0.119564485734797	0.574011174974963
MIMAT0005954	hsa-miR-720	-1.54181708898064	0.123118048151951	0.574011174974963
