MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0000088	hsa-miR-30a-3p	-4.98903777648408	6.06807811776022e-07	8.48566570083031e-05
MIMAT0004550	hsa-miR-30c-2-3p	-4.97860934118162	6.40427600062665e-07	8.48566570083031e-05
MIMAT0000244	hsa-miR-30c-5p	-4.67303570437099	2.96780149344755e-06	0.000262155798587867
MIMAT0000250	hsa-miR-139-5p	-3.99320840596809	6.5185227731579e-05	0.00431852133721711
MIMAT0000278	hsa-miR-221-3p	-3.75166760036728	0.000175662262900556	0.00931009993372944
MIMAT0002177	hsa-miR-486-5p	-3.35399685878106	0.000796532670374717	0.032673831104264
MIMAT0000087	hsa-miR-30a-5p	-3.3317290800351	0.000863082331056031	0.032673831104264
MIMAT0004605	hsa-miR-129-3p	-3.25931159556474	0.0011168293177295	0.0351395105105486
MIMAT0000693	hsa-miR-30e-3p	-3.21954902615977	0.001283924042353	0.0351395105105486
MIMAT0000258	hsa-miR-181c-5p	-3.21028824979971	0.00132601926454901	0.0351395105105486
MIMAT0003326	hsa-miR-663	3.12589830884513	0.00177262837093606	0.0424723950737546
MIMAT0000089	hsa-miR-31-5p	-3.09135128943514	0.00199247758011167	0.0424723950737546
MIMAT0004674	hsa-miR-30c-1-3p	-3.07805687462969	0.00208355145644834	0.0424723950737546
MIMAT0000763	hsa-miR-338-3p	-3.00920593857741	0.00261931502997959	0.0469472847878635
MIMAT0004504	hsa-miR-31-3p	-3.00481852726064	0.00265739347855831	0.0469472847878635
MIMAT0000099	hsa-miR-101-3p	-2.92533925677991	0.00344080884977482	0.0569883965743955
MIMAT0000686	hsa-miR-34c-5p	-2.88566507568076	0.00390587568398093	0.0586142728690661
MIMAT0001627	hsa-miR-433-3p	-2.8796358873441	0.0039813468363894	0.0586142728690661
MIMAT0000436	hsa-miR-144-3p	-2.84417763780956	0.00445262162434834	0.0621023542343321
MIMAT0004600	hsa-miR-144-5p	-2.76638103224337	0.00566822624530894	0.0751039977503434
MIMAT0000265	hsa-miR-204-5p	-2.72597812896672	0.00641112463501914	0.0809022870609558
MIMAT0003150	hsa-miR-455-5p	-2.56625073293888	0.0102804485711023	0.123832675970096
MIMAT0004951	hsa-miR-887-3p	-2.54367845980963	0.0109692007538496	0.126384269555223
MIMAT0004595	hsa-miR-135a-3p	2.45763067511292	0.0139856919319417	0.154425348415189
MIMAT0003879	hsa-miR-758-3p	-2.41532980301964	0.0157209677158412	0.158471732140379
MIMAT0000064	hsa-let-7c-5p	-2.41198713509345	0.015865841344918	0.158471732140379
MIMAT0000261	hsa-miR-183-5p	2.40559447625341	0.0161461764822273	0.158471732140379
MIMAT0000730	hsa-miR-377-3p	-2.38594236020509	0.0170354208321044	0.160584857839104
MIMAT0000425	hsa-miR-130a-3p	-2.37448527216395	0.0175734372729586	0.160584857839104
MIMAT0000438	hsa-miR-152-3p	-2.35882177045272	0.0183330583983312	0.161942015851926
MIMAT0000063	hsa-let-7b-5p	-2.32768241944408	0.019928973345696	0.16609115318226
MIMAT0000094	hsa-miR-95-3p	-2.32529315251716	0.0200562901955936	0.16609115318226
MIMAT0000736	hsa-miR-381-3p	-2.26168976144548	0.0237165777548609	0.17930544530966
