MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0002177	hsa-miR-486,hsa-miR-486-5p	-3.57576639852978	0.000349203371487139	0.0415187035657583
MIMAT0000226	hsa-miR-196a,hsa-miR-196a-5p	3.52957268247111	0.000416231356051622	0.0415187035657583
MIMAT0000731_MIMAT0000732	hsa-miR-378	-3.49828750853064	0.000468256055252914	0.0415187035657583
MIMAT0000450	hsa-miR-149,hsa-miR-149-5p	3.24285123533846	0.00118339983865945	0.0786960892708534
MIMAT0000250	hsa-miR-139,hsa-miR-139-5p	-3.04602032876416	0.00231892156086988	0.114562594331552
MIMAT0004600	hsa-miR-144-5p,hsa-miR-144*	-2.98081149008734	0.00287485700819556	0.114562594331552
MIMAT0004603	hsa-miR-125b-2-3p,hsa-miR-125b-2*	-2.96622431693083	0.00301480511398822	0.114562594331552
MIMAT0001343_MIMAT0003393	hsa-miR-425	2.89367379909873	0.003807635020739	0.126603864439572
MIMAT0000278	hsa-miR-221,hsa-miR-221-3p	-2.80477807232489	0.00503512348333923	0.148815871840915
MIMAT0000089	hsa-miR-31,hsa-miR-31-5p	-2.68968596877659	0.00715192852925628	0.161079152290785
MIMAT0000436	hsa-miR-144,hsa-miR-144-3p	-2.6708251081047	0.00756650589895203	0.161079152290785
MIMAT0000267	hsa-miR-210,hsa-miR-210-3p	2.67048529614447	0.00757416888306683	0.161079152290785
MIMAT0004605	hsa-miR-129-2-3p,hsa-miR-129-3p	-2.65749870038002	0.00787228939766993	0.161079152290785
MIMAT0000066	hsa-let-7e,hsa-let-7e-5p	2.61377669522589	0.00895475422812231	0.162841534012593
MIMAT0004597	hsa-miR-140-3p	-2.60517280674683	0.00918279327138682	0.162841534012593
MIMAT0000095	hsa-miR-96,hsa-miR-96-5p	2.57157330080623	0.0101237581639941	0.168307479476402
MIMAT0000261	hsa-miR-183,hsa-miR-183-5p	2.53378100238533	0.0112839227590102	0.172858646081437
MIMAT0000770	hsa-miR-133b	-2.5087082861622	0.0121173506631405	0.172858646081437
MIMAT0004674	hsa-miR-30c-1-3p,hsa-miR-30c-1*	-2.50206727129501	0.0123470461486741	0.172858646081437
MIMAT0002872	hsa-miR-501,hsa-miR-501-5p	-2.47910827214172	0.0131711317837779	0.175176052724247
MIMAT0003294	hsa-miR-625,hsa-miR-625-5p	2.44542875789562	0.0144680029245607	0.183261370377769
MIMAT0002819	hsa-miR-193b,hsa-miR-193b-3p	2.42828549050235	0.0151703962916043	0.183423882434852
MIMAT0005593	hsa-miR-1238,hsa-miR-1238-3p	-2.34072293275054	0.0192464441529334	0.222589310638273
MIMAT0001627	hsa-miR-433,hsa-miR-433-3p	-2.29403962427275	0.0217882228145723	0.227615496584489
MIMAT0000265	hsa-miR-204,hsa-miR-204-5p	-2.26967543475613	0.0232272829447919	0.227615496584489
MIMAT0000762	hsa-miR-324-3p	-2.26422610656452	0.023560211688016	0.227615496584489
MIMAT0000253	hsa-miR-10a,hsa-miR-10a-5p	2.25518755987919	0.0241215584420202	0.227615496584489
MIMAT0000266	hsa-miR-205,hsa-miR-205-5p	-2.24014667156985	0.0250814024397152	0.227615496584489
MIMAT0000510	hsa-miR-320,hsa-miR-320a	-2.22794001725205	0.0258845151857636	0.227615496584489
MIMAT0005939	hsa-miR-1281	-2.22438190615661	0.0261227601753424	0.227615496584489
MIMAT0000243	hsa-miR-148a,hsa-miR-148a-3p	-2.21841399120692	0.0265266180230044	0.227615496584489
MIMAT0000086	hsa-miR-29a,hsa-miR-29a-3p	-2.19243944200738	0.0283477912830685	0.233521447658493
MIMAT0000256	hsa-miR-181a,hsa-miR-181a-5p	2.1745956372198	0.0296604315581108	0.233521447658493
MIMAT0000443	hsa-miR-125a,hsa-miR-125a-5p	2.16190164554745	0.0306257581450757	0.233521447658493
MIMAT0000104	hsa-miR-107	2.15624248421014	0.0310647357638025	0.233521447658493
MIMAT0000279	hsa-miR-222,hsa-miR-222-3p	-2.14937852386441	0.0316044064500216	0.233521447658493
MIMAT0000076	hsa-miR-21,hsa-miR-21-5p	2.09149839856252	0.0364834098341047	0.257083363902189
MIMAT0000417	hsa-miR-15b,hsa-miR-15b-5p	2.07269179891785	0.0382009714994946	0.257083363902189
MIMAT0001631	hsa-miR-451,hsa-miR-451a	-2.06172753895553	0.0392336831614468	0.257083363902189
MIMAT0004504	hsa-miR-31-3p,hsa-miR-31*	-2.05827382338003	0.0395638555029594	0.257083363902189
MIMAT0004775	hsa-miR-502-3p	-2.05763034656985	0.0396256312781569	0.257083363902189
MIMAT0000065	hsa-let-7d,hsa-let-7d-5p	2.03806588449193	0.0415433443922877	0.263107847817822
MIMAT0002876	hsa-miR-505,hsa-miR-505-3p	-1.96925222925032	0.0489241339006927	0.294996048906315
MIMAT0004697	hsa-miR-151-5p,hsa-miR-151a-5p	1.96354473721025	0.0495829115192725	0.294996048906315
MIMAT0000252	hsa-miR-7,hsa-miR-7-5p	1.95443193347334	0.0506501572491083	0.294996048906315
MIMAT0000753	hsa-miR-342,hsa-miR-342-3p	1.94740871659675	0.051485753876704	0.294996048906315
MIMAT0000617	hsa-miR-200c,hsa-miR-200c-3p	1.94211349615376	0.0521233620248001	0.294996048906315
MIMAT0000689	hsa-miR-99b,hsa-miR-99b-5p	1.92341183156441	0.054428349608364	0.30162377074635
MIMAT0000280	hsa-miR-223,hsa-miR-223-3p	-1.90511387588207	0.056765270073587	0.308154323256615
MIMAT0005793	hsa-miR-320c	-1.89417008610974	0.0582024373232026	0.309636966559438
MIMAT0000062	hsa-let-7a,hsa-let-7a-5p	1.85187371122777	0.0640439597392264	0.334033201777142
MIMAT0004673	hsa-miR-29c-5p,hsa-miR-29c*	1.81809539643612	0.0690495535019602	0.343309497505171
MIMAT0000425	hsa-miR-130a,hsa-miR-130a-3p	-1.80356255692392	0.0712999103316945	0.343309497505171
MIMAT0004694	hsa-miR-342-5p	1.80065252697871	0.0717576645022893	0.343309497505171
MIMAT0003150	hsa-miR-455,hsa-miR-455-5p	-1.78282872165414	0.0746141888249465	0.343309497505171
MIMAT0000710	hsa-miR-365,hsa-miR-365a-3p	1.77794748076742	0.0754124809904033	0.343309497505171
MIMAT0005929	hsa-miR-1275	-1.77493771783393	0.0759081715705581	0.343309497505171
MIMAT0005898	hsa-miR-1246	-1.76518135187163	0.0775332916695879	0.343309497505171
MIMAT0000257	hsa-miR-181b,hsa-miR-181b-5p	1.7548082504071	0.0792921118980121	0.343309497505171
MIMAT0002813	hsa-miR-493*	1.75444284675409	0.0793546549963333	0.343309497505171
MIMAT0000099	hsa-miR-101,hsa-miR-101-3p	-1.75199662144534	0.0797743888679978	0.343309497505171
MIMAT0000101	hsa-miR-103,hsa-miR-103a,hsa-miR-103a-3p	1.75057289874017	0.0800195069372955	0.343309497505171
MIMAT0000092	hsa-miR-92,hsa-miR-92a,hsa-miR-92a-3p	-1.73884670210496	0.0820617312878336	0.346482865437519
MIMAT0000232	hsa-miR-199a-3p,hsa-miR-199a*	1.712566866538	0.0867922532574115	0.360730302601116
MIMAT0000432	hsa-miR-141,hsa-miR-141-3p	1.69783464175417	0.089538975666692	0.366326878689062
MIMAT0000067	hsa-let-7f,hsa-let-7f-5p	1.69070512337394	0.0908931353138274	0.366326878689062
MIMAT0004911	hsa-miR-874,hsa-miR-874-3p	-1.68023607272402	0.0929113934542649	0.367552741673773
MIMAT0004614	hsa-miR-193a-5p	-1.67486434189581	0.0939608512549495	0.367552741673773
MIMAT0004780	hsa-miR-532-3p	-1.63963004582532	0.101082111968762	0.388519338112637
MIMAT0002173	hsa-miR-483,hsa-miR-483-3p	-1.63181970673602	0.102717472602351	0.388519338112637
MIMAT0004550	hsa-miR-30c-2-3p,hsa-miR-30c-2*	-1.62716278133331	0.103702530097734	0.388519338112637
MIMAT0002871	hsa-miR-500*,hsa-miR-500a-3p,hsa-miR-500a*	-1.61574100192521	0.106150322091907	0.392166467728434
MIMAT0005911	hsa-miR-1260,hsa-miR-1260a	-1.60588369719866	0.108299466187636	0.394625452135769
MIMAT0000093	hsa-miR-93,hsa-miR-93-5p	1.59240674024956	0.111293342733902	0.400054448205649
MIMAT0000096	hsa-miR-98,hsa-miR-98-5p	1.57487951551838	0.115284257787385	0.405843355972524
MIMAT0000081	hsa-miR-25,hsa-miR-25-3p	1.57197976298321	0.115955244563578	0.405843355972524
MIMAT0004795	hsa-miR-574-5p	-1.56480090478374	0.117629599548835	0.406356798441429
MIMAT0005948	hsa-miR-664-5p,hsa-miR-664*,hsa-miR-664a-5p	1.53006583692838	0.12600043342489	0.429693785782317
