MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0000250	hsa-miR-139-5p	-5.54218935668677	2.98713023205721e-08	7.91589511495161e-06
MIMAT0000265	hsa-miR-204-5p	-4.48735079766529	7.21142810888864e-06	0.000955514224427745
MIMAT0000278	hsa-miR-221-3p	-4.08199081849493	4.46515612326781e-05	0.0039442212422199
MIMAT0002177	hsa-miR-486-5p	-3.94572202953057	7.9559869483159e-05	0.00527084135325928
MIMAT0004605	hsa-miR-129-3p	-3.61914208664701	0.000295581319497584	0.0125309377960271
MIMAT0000436	hsa-miR-144-3p	-3.60554551604158	0.000311497885674861	0.0125309377960271
MIMAT0004550	hsa-miR-30c-2-3p	-3.5897416123817	0.000331005904046	0.0125309377960271
MIMAT0000088	hsa-miR-30a-3p	-3.45114187936252	0.000558220034671209	0.0167365344273989
MIMAT0000770	hsa-miR-133b	-3.44625648068096	0.00056841060319468	0.0167365344273989
MIMAT0004600	hsa-miR-144-5p	-3.30463500262432	0.000951001618970659	0.0252015429027225
MIMAT0000089	hsa-miR-31-5p	-3.25195177246243	0.0011461546773428	0.0276119081359857
MIMAT0000226	hsa-miR-196a-5p	2.97816984701996	0.00289975245661456	0.0607543802614448
MIMAT0001627	hsa-miR-433-3p	-2.9697518911874	0.0029804035599954	0.0607543802614448
MIMAT0004504	hsa-miR-31-3p	-2.83465224808777	0.00458755927868548	0.0868359434894038
MIMAT0000099	hsa-miR-101-3p	-2.77475316487257	0.0055243618658638	0.0975970596302605
MIMAT0002820	hsa-miR-497-5p	-2.71864486811515	0.00655499442072305	0.104037801824116
MIMAT0000244	hsa-miR-30c-5p	-2.71268144676373	0.00667412313588667	0.104037801824116
MIMAT0004674	hsa-miR-30c-1-3p	-2.58403177183771	0.00976527981272524	0.132888116523578
MIMAT0002819	hsa-miR-193b-3p	2.5757083356789	0.0100034988737041	0.132888116523578
MIMAT0000267	hsa-miR-210-3p	2.57481774776576	0.0100292918131002	0.132888116523578
