MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0002876	hsa-miR-505-3p	-4.05106865572586	5.09842437832475e-05	0.00695524713988149
MIMAT0004673	hsa-miR-29c-5p	4.01625260887911	5.91308739374963e-05	0.00695524713988149
MIMAT0000732	hsa-miR-378a-3p	-3.94820718713111	7.87386468665829e-05	0.00695524713988149
MIMAT0000705	hsa-miR-362-5p	-3.80850153362417	0.000139811479428431	0.00775875143750571
MIMAT0000455	hsa-miR-185-5p	-3.79711220547777	0.000146391536556711	0.00775875143750571
MIMAT0000088	hsa-miR-30a-3p	3.60943251327818	0.000306867593665938	0.0122096398666682
MIMAT0000691	hsa-miR-130b-3p	-3.59650709646661	0.000322518788930859	0.0122096398666682
MIMAT0004597	hsa-miR-140-3p	-3.48876736149783	0.000485253271200525	0.0160740146085174
MIMAT0000433	hsa-miR-142-5p	-3.2856281934702	0.00101755227961431	0.0299612615664213
MIMAT0005898	hsa-miR-1246	-3.11345609013785	0.00184910022572682	0.0490011559817607
MIMAT0000095	hsa-miR-96-5p	3.04973951332984	0.00229039923515795	0.0551777997560778
MIMAT0000451	hsa-miR-150-5p	-3.00150275903414	0.0026865060478356	0.0593270085563695
MIMAT0000680	hsa-miR-106b-5p	-2.91983057575268	0.00350221729572509	0.0663738055347234
MIMAT0002177	hsa-miR-486-5p	-2.91944606513947	0.00350654066975897	0.0663738055347234
MIMAT0004694	hsa-miR-342-5p	2.85541374176482	0.00429807963866424	0.0759327402830683
MIMAT0000253	hsa-miR-10a-5p	2.82878593639042	0.00467249405182324	0.0773881827333224
MIMAT0000681	hsa-miR-29c-3p	2.78108035708441	0.00541783247323613	0.081879571740324
MIMAT0002872	hsa-miR-501-5p	-2.77256557352691	0.00556163128802201	0.081879571740324
MIMAT0005593	hsa-miR-1238-3p	-2.74563693321751	0.00603935581440962	0.0842331205693973
MIMAT0004494	hsa-miR-21-3p	-2.71409019308161	0.00664580695734585	0.0880569421848325
MIMAT0004775	hsa-miR-502-3p	-2.56172275178112	0.0104154426422709	0.121753290401575
MIMAT0000066	hsa-let-7e-5p	2.55760751997112	0.0105394970455455	0.121753290401575
MIMAT0000067	hsa-let-7f-5p	2.5514761258983	0.0107267672956755	0.121753290401575
MIMAT0000074	hsa-miR-19b-3p	-2.54185112006106	0.0110267130929729	0.121753290401575
MIMAT0000062	hsa-let-7a-5p	2.51923456541877	0.0117610277997637	0.122726752870734
MIMAT0002888	hsa-miR-532-5p	-2.5109370885138	0.0120411153759965	0.122726752870734
MIMAT0000063	hsa-let-7b-5p	2.47608915948695	0.0132830402358561	0.130364466244613
MIMAT0000244	hsa-miR-30c-5p	2.46309454919485	0.0137743586975441	0.130364466244613
MIMAT0000279	hsa-miR-222-3p	-2.44484528882724	0.0144914290676859	0.132421679411612
MIMAT0000434	hsa-miR-142-3p	-2.40022996380724	0.0163847748281789	0.144732177648914
MIMAT0000065	hsa-let-7d-5p	2.34793852646875	0.0188776366362693	0.157696441781445
MIMAT0001627	hsa-miR-433-3p	-2.34469618874652	0.01904258919625	0.157696441781445
MIMAT0000096	hsa-miR-98-5p	2.31933183955535	0.0203770503043865	0.163633888807952
MIMAT0000092	hsa-miR-92a-3p	-2.29658669116593	0.0216423585793519	0.164600868507974
MIMAT0004594	hsa-miR-132-5p	2.29488462162491	0.0217397373501098	0.164600868507974
MIMAT0005911	hsa-miR-1260	-2.27627888120174	0.0228293232951282	0.168049185366916
MIMAT0000280	hsa-miR-223-3p	-2.26242558237939	0.0236711218343004	0.169536413137557
MIMAT0000261	hsa-miR-183-5p	2.23739258423517	0.0252606927940016	0.176160094484485
MIMAT0004780	hsa-miR-532-3p	-2.21454897642357	0.0267910375038443	0.181888892528355
MIMAT0005954	hsa-miR-720	-2.19113092940864	0.0284423190970364	0.181888892528355
MIMAT0000089	hsa-miR-31-5p	-2.18740725155729	0.0287128072747349	0.181888892528355
MIMAT0000449	hsa-miR-146a-5p	-2.16775763854891	0.0301771314688588	0.181888892528355
MIMAT0000072	hsa-miR-18a-5p	-2.16105016560505	0.030691464500664	0.181888892528355
MIMAT0002813	hsa-miR-493-5p	2.15922060777995	0.030833056022477	0.181888892528355
MIMAT0002816	hsa-miR-494-3p	-2.15852813894249	0.0308867930708527	0.181888892528355
MIMAT0000104	hsa-miR-107	2.13302179726998	0.0329229381501637	0.184881503166109
MIMAT0000450	hsa-miR-149-5p	2.1312827962748	0.0330658514958679	0.184881503166109
MIMAT0000682	hsa-miR-200a-3p	2.12444423562951	0.0336330143633803	0.184881503166109
MIMAT0000250	hsa-miR-139-5p	-2.11787522367698	0.0341856364344881	0.184881503166109
MIMAT0004550	hsa-miR-30c-2-3p	2.08722289366491	0.0368679909514233	0.191538334040324
MIMAT0004614	hsa-miR-193a-5p	-2.08027942251909	0.0374999110816874	0.191538334040324
MIMAT0000232	hsa-miR-199a-3p	2.07625170595229	0.0378706773645605	0.191538334040324
MIMAT0000093	hsa-miR-93-5p	-2.06534092196929	0.0388907541729353	0.191538334040324
MIMAT0002805	hsa-miR-489-3p	2.06386568613421	0.0390304529742547	0.191538334040324
MIMAT0001412	hsa-miR-18b-5p	-2.03585301957468	0.0417651165820854	0.201231925350048
MIMAT0000436	hsa-miR-144-3p	-2.01204392194765	0.0442153072224305	0.205935949405094
MIMAT0005939	hsa-miR-1281	-2.01128220481937	0.0442956570418505	0.205935949405094
MIMAT0000087	hsa-miR-30a-5p	1.9963107100729	0.0459001129939609	0.20971603350689
MIMAT0000254	hsa-miR-10b-5p	1.96676679382871	0.0492101024425449	0.220380590479062
MIMAT0000278	hsa-miR-221-3p	-1.96084169780356	0.0498974921839386	0.220380590479062
MIMAT0004595	hsa-miR-135a-3p	-1.95236746460992	0.0508945929319862	0.220776616062995
MIMAT0004795	hsa-miR-574-5p	-1.94601117749597	0.0516533969656818	0.220776616062995
MIMAT0000281	hsa-miR-224-5p	-1.92600710989878	0.0541034860802028	0.227279909397251
MIMAT0005927	hsa-miR-1274a	-1.91974400985547	0.0548902422695248	0.227279909397251
MIMAT0000753	hsa-miR-342-3p	1.90679399949271	0.0565472686924711	0.230538864669305
MIMAT0002819	hsa-miR-193b-3p	1.88102541880251	0.0599684611779137	0.240782457759805
MIMAT0004603	hsa-miR-125b-2-3p	-1.87307008567276	0.061058707557279	0.24150085824894
MIMAT0000456	hsa-miR-186-5p	-1.85671886798797	0.0633511616865097	0.246883203631251
MIMAT0000255	hsa-miR-34a-5p	-1.8409328255639	0.0656314032999821	0.25206263586225
MIMAT0000693	hsa-miR-30e-3p	1.8197854603552	0.0687916827726383	0.260425656210702
MIMAT0000077	hsa-miR-22-3p	-1.80163199290061	0.0716033242705909	0.267251844108544
MIMAT0000688	hsa-miR-301a-3p	-1.75410576134454	0.0794123866624592	0.29228170091044
MIMAT0000263	hsa-miR-199b-5p	1.73513626054692	0.0827166730167743	0.299797864038447
MIMAT0004484	hsa-let-7d-3p	1.72951402044106	0.0837171393918681	0.299797864038447
MIMAT0005901	hsa-miR-1249-3p	-1.71294157336562	0.0867232889506897	0.30642228762577
MIMAT0000080	hsa-miR-24-3p	-1.70367042119733	0.0884426770808797	0.308385650347804
MIMAT0004682	hsa-miR-361-3p	-1.66332290008714	0.0962478171325292	0.330323054852533
MIMAT0000070	hsa-miR-17-5p	-1.65844756227915	0.0972271633150852	0.330323054852533
MIMAT0005929	hsa-miR-1275	-1.63728299503808	0.101571352368738	0.340714030097667
MIMAT0000461	hsa-miR-195-5p	1.62421630149752	0.104329652951162	0.345591975400723
MIMAT0000064	hsa-let-7c-5p	1.60811642777763	0.107809681948468	0.351020816831784
MIMAT0000418	hsa-miR-23b-3p	1.59529101685305	0.110647173487416	0.351020816831784
MIMAT0001080	hsa-miR-196b-5p	1.59525247225514	0.110655789122935	0.351020816831784
MIMAT0000257	hsa-miR-181b-5p	-1.58837782981199	0.112200927644418	0.351020816831784
