MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0004603	hsa-miR-125b-2-3p,hsa-miR-125b-2*	-5.77376131009526	7.75212316561635e-09	2.06206476205395e-06
MIMAT0000089	hsa-miR-31,hsa-miR-31-5p	-5.21475488491898	1.84060456875912e-07	2.44800407644963e-05
MIMAT0000265	hsa-miR-204,hsa-miR-204-5p	-4.97798894534774	6.42483247270675e-07	5.69668479246666e-05
MIMAT0000250	hsa-miR-139,hsa-miR-139-5p	-4.90305607906679	9.43570324318799e-07	6.27474265672001e-05
MIMAT0002819	hsa-miR-193b,hsa-miR-193b-3p	4.17710188207127	2.95246802857196e-05	0.00157071299120028
MIMAT0004504	hsa-miR-31-3p,hsa-miR-31*	-4.08660793746099	4.37725889714802e-05	0.00194058477773562
MIMAT0004597	hsa-miR-140-3p	-4.0469290575291	5.18939603226798e-05	0.00197197049226183
MIMAT0004605	hsa-miR-129-2-3p,hsa-miR-129-3p	-3.7152732006209	0.000202984260690986	0.00674922666797528
MIMAT0001627	hsa-miR-433,hsa-miR-433-3p	-3.66471031377483	0.000247618692501561	0.00680798209331761
MIMAT0002876	hsa-miR-505,hsa-miR-505-3p	-3.65624257629225	0.000255939176440512	0.00680798209331761
MIMAT0004673	hsa-miR-29c-5p,hsa-miR-29c*	3.62114618049086	0.000293300724919954	0.00709254480260979
MIMAT0000731_MIMAT0000732	hsa-miR-378	-3.5755555310723	0.000349484980056047	0.00774691705790905
MIMAT0000770	hsa-miR-133b	-3.45991319951304	0.00054034953955151	0.0110563828862078
MIMAT0000423	hsa-miR-125b,hsa-miR-125b-5p	-3.3948817600305	0.00068658245268427	0.0130450666010011
MIMAT0002177	hsa-miR-486,hsa-miR-486-5p	-3.37182662673627	0.000746714379814328	0.0132417350020408
MIMAT0000417	hsa-miR-15b,hsa-miR-15b-5p	3.30873445312534	0.000937186799670586	0.0150442169054559
MIMAT0004689	hsa-miR-377-5p,hsa-miR-377*	-3.29930721064378	0.000969237769814502	0.0150442169054559
MIMAT0000450	hsa-miR-149,hsa-miR-149-5p	3.27345323688529	0.0010624196865836	0.0150442169054559
