MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0005911	hsa-miR-1260	-4.4720674030401	7.74670003123035e-06	0.00205287550827604
MIMAT0000455	hsa-miR-185-5p	-4.16980558329727	3.04859593873719e-05	0.00398597767418463
MIMAT0005954	hsa-miR-720	-4.07954324308123	4.51242755568071e-05	0.00398597767418463
MIMAT0000691	hsa-miR-130b-3p	-3.92208704220627	8.7785265969309e-05	0.00581577387046672
MIMAT0000097	hsa-miR-99a-5p	3.84957916806387	0.000118320936860039	0.00627100965358207
MIMAT0002820	hsa-miR-497-5p	3.50091696217603	0.000463660289694134	0.0204783294614909
MIMAT0005927	hsa-miR-1274a	-3.26492577149931	0.00109492766170471	0.0414508329073928
MIMAT0000098	hsa-miR-100-5p	3.10558404285242	0.00189903646388467	0.0629055828661798
MIMAT0003393	hsa-miR-425-5p	-3.05408949718885	0.00225744724882748	0.0658594072390599
MIMAT0005938	hsa-miR-1274b	-3.02513026116062	0.00248526065053056	0.0658594072390599
MIMAT0000680	hsa-miR-106b-5p	-2.89023588554783	0.00384952853018206	0.0927386418634768
MIMAT0004494	hsa-miR-21-3p	-2.69449537475877	0.00704953050327806	0.15567713194739
MIMAT0005593	hsa-miR-1238-3p	-2.65389984919382	0.0079567438660384	0.16219516342309
MIMAT0000243	hsa-miR-148a-3p	-2.5668975284193	0.0102612931166919	0.181731158320351
MIMAT0000688	hsa-miR-301a-3p	-2.52392062585817	0.0116054129128393	0.181731158320351
MIMAT0000423	hsa-miR-125b-5p	2.50438708589209	0.0122663751433723	0.181731158320351
MIMAT0004552	hsa-miR-139-3p	2.49962436848163	0.0124325052005017	0.181731158320351
MIMAT0000080	hsa-miR-24-3p	-2.48463840078523	0.01296830872849	0.181731158320351
MIMAT0002174	hsa-miR-484	-2.48295427528936	0.0130297811625912	0.181731158320351
MIMAT0000617	hsa-miR-200c-3p	-2.35355686115583	0.018594763696685	0.232751436117114
MIMAT0000093	hsa-miR-93-5p	-2.34999693004553	0.0187735659078094	0.232751436117114
MIMAT0000437	hsa-miR-145-5p	2.33924493499526	0.019322760734251	0.232751436117114
MIMAT0000076	hsa-miR-21-5p	-2.32036927146354	0.0203209097097345	0.234132220568681
MIMAT0000435	hsa-miR-143-3p	2.2527677147208	0.0242737988467008	0.261433683778449
MIMAT0000760	hsa-miR-331-3p	-2.22439945752263	0.0261215803298669	0.261433683778449
MIMAT0003308	hsa-miR-638	2.21878645829273	0.0265012557218474	0.261433683778449
MIMAT0000255	hsa-miR-34a-5p	-2.20357349405857	0.0275543530756053	0.261433683778449
MIMAT0001080	hsa-miR-196b-5p	2.19902798472957	0.0278759324977642	0.261433683778449
MIMAT0000265	hsa-miR-204-5p	2.18732274655323	0.0287189713404661	0.261433683778449
MIMAT0000263	hsa-miR-199b-5p	2.17261763212063	0.0298091077070652	0.261433683778449
MIMAT0000101	hsa-miR-103a-3p	-2.16034489618957	0.0307459798168328	0.261433683778449
MIMAT0005939	hsa-miR-1281	-2.14077504265929	0.0322921835088561	0.261433683778449
MIMAT0000250	hsa-miR-139-5p	2.12706825831934	0.0334144121626263	0.261433683778449
MIMAT0000254	hsa-miR-10b-5p	2.12177693406689	0.0338564744911796	0.261433683778449
MIMAT0000267	hsa-miR-210-3p	-2.09373784986205	0.0362833392537951	0.261433683778449
MIMAT0004594	hsa-miR-132-5p	2.09311771423751	0.0363386477738072	0.261433683778449
MIMAT0003233	hsa-miR-551b-3p	2.08859861983646	0.0367438695359419	0.261433683778449
MIMAT0000231	hsa-miR-199a-5p	2.07251382287909	0.0382175485024936	0.261433683778449
MIMAT0003237	hsa-miR-572	2.06520330524631	0.0389037679250028	0.261433683778449
MIMAT0000752	hsa-miR-328-3p	2.05608669677449	0.0397741602992525	0.261433683778449
MIMAT0000418	hsa-miR-23b-3p	2.04530973491005	0.0408243315718757	0.261433683778449
MIMAT0005898	hsa-miR-1246	-2.03915287443848	0.0414347725233768	0.261433683778449
MIMAT0000452	hsa-miR-154-5p	2.02369908345356	0.0430011229594225	0.265006920563883
MIMAT0000461	hsa-miR-195-5p	2.01210568354278	0.0442087976884067	0.266257531532449
MIMAT0000728	hsa-miR-375	-2.00112511114777	0.0453789088345107	0.266854865256073
MIMAT0000257	hsa-miR-181b-5p	-1.98774408395998	0.0468400006905723	0.266854865256073
MIMAT0000318	hsa-miR-200b-3p	-1.98334437300394	0.0473289761020206	0.266854865256073
MIMAT0000232	hsa-miR-199a-3p	1.95000889822872	0.0511750584778281	0.277272350102783
MIMAT0005893	hsa-miR-1305	-1.94766682803613	0.0514548417550027	0.277272350102783
MIMAT0000064	hsa-let-7c-5p	1.94052813972388	0.052315537755242	0.277272350102783
MIMAT0003329	hsa-miR-411-5p	1.93036653272805	0.0535614386324579	0.278309436031399
MIMAT0004795	hsa-miR-574-5p	-1.91686226680235	0.0552554318897727	0.281590181745957
MIMAT0000271	hsa-miR-214-3p	1.90442359365599	0.0568550388551068	0.284275194275534
MIMAT0004601	hsa-miR-145-3p	1.88166212944275	0.0598819047289345	0.293864902836438
MIMAT0000432	hsa-miR-141-3p	-1.86822907461667	0.0617301478097676	0.297427075810698
MIMAT0002817	hsa-miR-495-3p	1.85774842274857	0.063204748588428	0.299093899570239
MIMAT0004682	hsa-miR-361-3p	-1.84723844964911	0.064712589094883	0.300856773862175
MIMAT0004571	hsa-miR-200b-5p	-1.8190333104583	0.0689063482596561	0.314830729117394
MIMAT0000447	hsa-miR-134-5p	1.78369402900146	0.0744733969257938	0.332167137148117
MIMAT0001536	hsa-miR-429	-1.77632600408517	0.0756791995259625	0.332167137148117
MIMAT0003180	hsa-miR-487b-3p	1.76873633329419	0.0769378859197472	0.332167137148117
MIMAT0004761	hsa-miR-483-5p	1.75445467036059	0.0793526306203267	0.332167137148117
MIMAT0000253	hsa-miR-10a-5p	1.75077621825644	0.0799844646107939	0.332167137148117
MIMAT0004954	hsa-miR-543	1.74940233654442	0.0802214972735076	0.332167137148117
MIMAT0004606	hsa-miR-136-3p	1.72045553736871	0.0853496691863047	0.347964035913396
MIMAT0004603	hsa-miR-125b-2-3p	1.69824041883082	0.0894623948301589	0.354227279555262
MIMAT0000063	hsa-let-7b-5p	1.69772673221746	0.0895593499252927	0.354227279555262
MIMAT0004982	hsa-miR-939-5p	1.66439980273411	0.0960325594756444	0.374244533250673
