MIMATID,name,DCIS-normal,invasive-DCIS,Normallike-DCIS,LumA-DCIS,LumB-DCIS,Her2-DCIS,Basallike-DCIS,HER2neg_ERneg_PGRneg-DCIS,HER2neg_ERpos-DCIS,HER2pos_ERneg-DCIS,HER2pos_ERpos-DCIS
MIMAT0005893,MIMAT0005893,UP,,,,,,,,,,
MIMAT0005942,MIMAT0005942,UP,,,,,,,,,,
MIMAT0000076,MIMAT0000076,UP,,,,,,,,,,
MIMAT0000250,MIMAT0000250,DOWN,,,,DOWN,DOWN,DOWN,DOWN,,DOWN,
MIMAT0005938,MIMAT0005938,UP,,DOWN,,,,,,,,
MIMAT0002177,MIMAT0002177,DOWN,,,,,,,,,,
MIMAT0003233,MIMAT0003233,DOWN,,,,,,,,,,
MIMAT0005911,MIMAT0005911,UP,,DOWN,,,,,,,,
MIMAT0005954,MIMAT0005954,UP,,DOWN,,,,,,,,
MIMAT0002820,MIMAT0002820,DOWN,,UP,,,,,,,,
MIMAT0005927,MIMAT0005927,UP,,DOWN,,,,,,,,
MIMAT0000437,MIMAT0000437,DOWN,,,,,,,,,,
MIMAT0007890,MIMAT0007890,UP,,,,,,,,,,
MIMAT0004614,MIMAT0004614,DOWN,,,,,,DOWN,,,,
MIMAT0000732,MIMAT0000732,DOWN,,,DOWN,DOWN,,,,,,
MIMAT0000646,MIMAT0000646,UP,,,,,,,,,,
MIMAT0000617,MIMAT0000617,UP,,,,,,,,,,
MIMAT0003393,MIMAT0003393,UP,,,,,,,,,,
MIMAT0000752,MIMAT0000752,DOWN,,,,,,,,,,
MIMAT0000261,MIMAT0000261,UP,,,,,,,,,,
MIMAT0000318,MIMAT0000318,UP,,,,,,,,,,
MIMAT0000691,MIMAT0000691,UP,,DOWN,DOWN,,,,,,,
MIMAT0000432,MIMAT0000432,UP,,,,,,,,,,
MIMAT0001536,MIMAT0001536,UP,,,,,,,,,,
MIMAT0004552,MIMAT0004552,DOWN,,,,,,,,,,
MIMAT0000095,MIMAT0000095,UP,,,,,,,,,,
MIMAT0000434,MIMAT0000434,UP,,,,,,,,,,
MIMAT0004599,MIMAT0004599,DOWN,,,,,,,,,,
MIMAT0004494,MIMAT0004494,UP,,,,,,,,,,
MIMAT0000243,MIMAT0000243,UP,,,,,,,,,,
MIMAT0004597,MIMAT0004597,DOWN,,,,DOWN,,,,,,
