	microRNA	MIMATID	Her2	Normallike	LumA	LumB	Basallike
MIMAT0001631		MIMAT0001631					
MIMAT0000226		MIMAT0000226					
MIMAT0000728		MIMAT0000728					DOWN
MIMAT0000266		MIMAT0000266					
MIMAT0000451		MIMAT0000451			DOWN	DOWN	
MIMAT0000434		MIMAT0000434					
MIMAT0000232		MIMAT0000232		UP	UP		
MIMAT0000318		MIMAT0000318					
MIMAT0002816		MIMAT0002816		DOWN	DOWN		
MIMAT0000083		MIMAT0000083					
MIMAT0000095		MIMAT0000095					
MIMAT0000682		MIMAT0000682					
MIMAT0000253		MIMAT0000253			UP		
MIMAT0000067		MIMAT0000067					
MIMAT0000087		MIMAT0000087					
MIMAT0005865		MIMAT0005865					
MIMAT0000254		MIMAT0000254					DOWN
MIMAT0005898		MIMAT0005898			DOWN		
MIMAT0000432		MIMAT0000432					
MIMAT0000069		MIMAT0000069					
MIMAT0000261		MIMAT0000261					
MIMAT0000097		MIMAT0000097		UP		DOWN	
MIMAT0000280		MIMAT0000280				DOWN	
MIMAT0000436		MIMAT0000436	DOWN			DOWN	DOWN
MIMAT0000461		MIMAT0000461		UP			
MIMAT0000252		MIMAT0000252					
MIMAT0001536		MIMAT0001536					
MIMAT0000267		MIMAT0000267	UP				UP
MIMAT0000263		MIMAT0000263		UP			DOWN
MIMAT0000763		MIMAT0000763					
MIMAT0000062		MIMAT0000062			UP		
MIMAT0000281		MIMAT0000281					UP
MIMAT0000753		MIMAT0000753				UP	
MIMAT0001341		MIMAT0001341					
MIMAT0000088		MIMAT0000088	DOWN		UP		
MIMAT0000437		MIMAT0000437		UP			DOWN
MIMAT0000646		MIMAT0000646					UP
MIMAT0000707		MIMAT0000707					
MIMAT0000445		MIMAT0000445					DOWN
MIMAT0000423		MIMAT0000423		UP		DOWN	DOWN
MI0000433_MIMAT0000414		MI0000433_MIMAT0000414					
MIMAT0000098		MIMAT0000098		UP		DOWN	
MI0000066_MIMAT0000066		MI0000066_MIMAT0000066			UP		
MIMAT0003233		MIMAT0003233					
MIMAT0000096		MIMAT0000096					
MIMAT0002177		MIMAT0002177					
MIMAT0000075		MIMAT0000075					UP
MIMAT0000271		MIMAT0000271		UP	UP		
MIMAT0002809		MIMAT0002809					
MIMAT0000433		MIMAT0000433					
MIMAT0000243		MIMAT0000243				DOWN	DOWN
MIMAT0000449		MIMAT0000449					UP
MIMAT0003308		MIMAT0003308					
MIMAT0000617		MIMAT0000617					
MIMAT0004694		MIMAT0004694			UP	UP	DOWN
MIMAT0000279		MIMAT0000279					
MIMAT0000100		MIMAT0000100					
MIMAT0000076		MIMAT0000076					
MIMAT0000688		MIMAT0000688					
MIMAT0003258		MIMAT0003258					
MIMAT0000450		MIMAT0000450				UP	
MIMAT0000435		MIMAT0000435		UP			DOWN
MIMAT0001413		MIMAT0001413					
MIMAT0004494		MIMAT0004494					
MIMAT0000231		MIMAT0000231		UP			
MIMAT0000442		MIMAT0000442					UP
MI0000065_MIMAT0000065		MI0000065_MIMAT0000065					
MIMAT0004784		MIMAT0004784					UP
MIMAT0000727		MIMAT0000727					
MIMAT0000720		MIMAT0000720					DOWN
MIMAT0001343_MIMAT0003393		MIMAT0001343_MIMAT0003393		DOWN			
MIMAT0002820		MIMAT0002820		UP			
MIMAT0000222		MIMAT0000222					
MIMAT0003326		MIMAT0003326					UP
MIMAT0000681		MIMAT0000681					DOWN
MIMAT0000425		MIMAT0000425					
MIMAT0000729		MIMAT0000729		UP		DOWN	DOWN
MIMAT0000730		MIMAT0000730				DOWN	DOWN
MIMAT0000765		MIMAT0000765					
MIMAT0004673		MIMAT0004673			UP	UP	DOWN
MIMAT0005929		MIMAT0005929					
MIMAT0000245		MIMAT0000245					
MIMAT0000073		MIMAT0000073					UP
MIMAT0000710		MIMAT0000710					
MIMAT0003240		MIMAT0003240					
MIMAT0000691		MIMAT0000691		DOWN	DOWN		UP
MIMAT0003294		MIMAT0003294					
MIMAT0003885		MIMAT0003885					
MIMAT0000443		MIMAT0000443					
MIMAT0000256		MIMAT0000256					
MIMAT0000446		MIMAT0000446					
MIMAT0002819		MIMAT0002819				UP	
MIMAT0004795		MIMAT0004795		DOWN	DOWN		
MIMAT0000068		MIMAT0000068					
MIMAT0000070		MIMAT0000070					UP
MIMAT0000072		MIMAT0000072					UP
MIMAT0004504		MIMAT0004504				DOWN	
MIMAT0000257		MIMAT0000257					
MIMAT0001080		MIMAT0001080					
MIMAT0005954		MIMAT0005954	DOWN	DOWN	DOWN	DOWN	DOWN
MIMAT0004761		MIMAT0004761					
MIMAT0000275		MIMAT0000275		UP			DOWN
MIMAT0000278		MIMAT0000278	DOWN				
MIMAT0000089		MIMAT0000089				DOWN	
MIMAT0003338		MIMAT0003338					
MIMAT0000099		MIMAT0000099	DOWN				DOWN
MIMAT0000244		MIMAT0000244	DOWN		UP		
MIMAT0000092		MIMAT0000092					UP
MIMAT0004697		MIMAT0004697					
MIMAT0000250		MIMAT0000250	DOWN	UP		DOWN	DOWN
MIMAT0000420		MIMAT0000420					
MIMAT0000082		MIMAT0000082					
MIMAT0000431		MIMAT0000431					
MIMAT0000419		MIMAT0000419					
MIMAT0004614		MIMAT0004614					DOWN
MIMAT0000689		MIMAT0000689					
MIMAT0005927		MIMAT0005927		DOWN	DOWN	DOWN	
MIMAT0000227		MIMAT0000227					
MIMAT0005911		MIMAT0005911	DOWN	DOWN	DOWN		DOWN
MIMAT0005792		MIMAT0005792					
MIMAT0004597		MIMAT0004597				DOWN	
MIMAT0003237		MIMAT0003237					
MIMAT0000736		MIMAT0000736		UP		DOWN	
MI0000064_MIMAT0000064		MI0000064_MIMAT0000064		UP	UP		
MI0000063_MIMAT0000063		MI0000063_MIMAT0000063		UP	UP	UP	
MIMAT0000077		MIMAT0000077					
MIMAT0004571		MIMAT0004571					
MIMAT0000258		MIMAT0000258					
MIMAT0000417		MIMAT0000417	UP			UP	UP
MIMAT0000085		MIMAT0000085					
MIMAT0000686		MIMAT0000686					DOWN
MIMAT0000418		MIMAT0000418					
MIMAT0000757		MIMAT0000757					
MIMAT0000693		MIMAT0000693					
MIMAT0001412		MIMAT0001412					UP
MIMAT0000424		MIMAT0000424					
MIMAT0000104		MIMAT0000104			UP	UP	
MIMAT0000685		MIMAT0000685					DOWN
MIMAT0000074		MIMAT0000074			DOWN		
MIMAT0000438		MIMAT0000438					DOWN
MIMAT0000078		MIMAT0000078					
MIMAT0004600		MIMAT0004600					
MIMAT0006764		MIMAT0006764					
MIMAT0000094		MIMAT0000094					
MIMAT0003389		MIMAT0003389					
MIMAT0000733		MIMAT0000733					
MIMAT0003340		MIMAT0003340					
MIMAT0000255		MIMAT0000255					
MIMAT0000093		MIMAT0000093				UP	UP
MIMAT0000510		MIMAT0000510					
MIMAT0004550		MIMAT0004550	DOWN				
MIMAT0000692		MIMAT0000692					
MIMAT0000084		MIMAT0000084			UP		
MI0000434_MIMAT0000415		MI0000434_MIMAT0000415					
MIMAT0002874		MIMAT0002874					
MIMAT0004982		MIMAT0004982					
MIMAT0000459		MIMAT0000459					
MIMAT0000760		MIMAT0000760					
MIMAT0000680		MIMAT0000680		DOWN			UP
MIMAT0003239		MIMAT0003239					DOWN
MIMAT0005938		MIMAT0005938	DOWN	DOWN	DOWN	DOWN	DOWN
MIMAT0004602		MIMAT0004602					
MIMAT0005793		MIMAT0005793					
MIMAT0000705		MIMAT0000705			DOWN		UP
MIMAT0000086		MIMAT0000086					
MIMAT0000759		MIMAT0000759					DOWN
MIMAT0000081		MIMAT0000081					UP
MIMAT0000416		MIMAT0000416					
MIMAT0003322		MIMAT0003322					
MIMAT0004955		MIMAT0004955					
MIMAT0000101		MIMAT0000101				UP	
MIMAT0002805		MIMAT0002805					
MIMAT0004683		MIMAT0004683					
MIMAT0000731_MIMAT0000732		MIMAT0000731_MIMAT0000732			DOWN	DOWN	
MIMAT0004603		MIMAT0004603		UP		DOWN	DOWN
MIMAT0004601		MIMAT0004601		UP			DOWN
MIMAT0000687_MIMAT0002890		MIMAT0000687_MIMAT0002890					
MIMAT0002821		MIMAT0002821					
MIMAT0000455		MIMAT0000455		DOWN	DOWN		
MIMAT0000265		MIMAT0000265	DOWN	UP		DOWN	
MIMAT0000762		MIMAT0000762					
MIMAT0004814		MIMAT0004814					
MIMAT0002888		MIMAT0002888					
MIMAT0000761		MIMAT0000761				UP	
MIMAT0004493		MIMAT0004493					
MIMAT0004682		MIMAT0004682					
MIMAT0004951		MIMAT0004951					DOWN
MIMAT0004568		MIMAT0004568					
MIMAT0003299		MIMAT0003299			DOWN		
MIMAT0000456		MIMAT0000456					
MIMAT0003150		MIMAT0003150					
MIMAT0005901		MIMAT0005901					
MIMAT0000080		MIMAT0000080	UP				UP
MIMAT0004695		MIMAT0004695					
MIMAT0005948		MIMAT0005948					
MIMAT0003886		MIMAT0003886				UP	
MIMAT0000703		MIMAT0000703					
MIMAT0000460		MIMAT0000460					
MIMAT0000426		MIMAT0000426					
MIMAT0003180		MIMAT0003180					
MIMAT0004514		MIMAT0004514					
MIMAT0000457		MIMAT0000457					
MIMAT0002171		MIMAT0002171					
MIMAT0003266		MIMAT0003266					
MIMAT0004595		MIMAT0004595					
MIMAT0000452		MIMAT0000452		UP			
MIMAT0000770		MIMAT0000770					
MIMAT0004610		MIMAT0004610					
MIMAT0001639		MIMAT0001639					
MIMAT0003945		MIMAT0003945					
MIMAT0002876		MIMAT0002876				DOWN	
MIMAT0004776		MIMAT0004776					UP
MIMAT0000447		MIMAT0000447					
MIMAT0003879		MIMAT0003879					
MIMAT0004606		MIMAT0004606		UP			
MIMAT0000737		MIMAT0000737					
MIMAT0002813		MIMAT0002813					
MIMAT0004748		MIMAT0004748					
MIMAT0004594		MIMAT0004594		UP			
MIMAT0004775		MIMAT0004775					
MIMAT0004945		MIMAT0004945					
MIMAT0002871		MIMAT0002871					
MIMAT0004780		MIMAT0004780					
MIMAT0004911		MIMAT0004911					
MIMAT0004558		MIMAT0004558					
MIMAT0005796		MIMAT0005796					
MIMAT0004589		MIMAT0004589					
MIMAT0004767		MIMAT0004767					
MIMAT0002173		MIMAT0002173					
MIMAT0002817		MIMAT0002817		UP			
MIMAT0002814		MIMAT0002814					
MIMAT0004599		MIMAT0004599					
MIMAT0000756		MIMAT0000756					
MIMAT0000687		MIMAT0000687					
MIMAT0004587		MIMAT0004587					
MIMAT0003221		MIMAT0003221					
MIMAT0004774		MIMAT0004774					
MIMAT0003163		MIMAT0003163					
MIMAT0004605		MIMAT0004605					
MIMAT0002174		MIMAT0002174					
MIMAT0004552		MIMAT0004552					
MIMAT0001638		MIMAT0001638					
MIMAT0004557		MIMAT0004557					DOWN
MIMAT0007890		MIMAT0007890	DOWN	DOWN	DOWN	DOWN	DOWN
MIMAT0000269		MIMAT0000269					
MIMAT0003888		MIMAT0003888					
MIMAT0004762		MIMAT0004762					
MIMAT0005949		MIMAT0005949					DOWN
MIMAT0003329		MIMAT0003329		UP			
MIMAT0004689		MIMAT0004689					
MIMAT0002872		MIMAT0002872			DOWN		
MIMAT0004674		MIMAT0004674					
MIMAT0004954		MIMAT0004954		UP			
MIMAT0005893		MIMAT0005893	DOWN	DOWN	DOWN	DOWN	DOWN
MIMAT0005593		MIMAT0005593					
MIMAT0002175		MIMAT0002175					
MIMAT0001618		MIMAT0001618					
MIMAT0005939		MIMAT0005939					
MIMAT0000752		MIMAT0000752					
MIMAT0000755		MIMAT0000755					
MIMAT0002176		MIMAT0002176					
MIMAT0003330		MIMAT0003330					
MIMAT0003228		MIMAT0003228					DOWN
MIMAT0001627		MIMAT0001627				DOWN	DOWN
MIMAT0004484		MIMAT0004484					
MIMAT0005942		MIMAT0005942	DOWN	DOWN	DOWN	DOWN	DOWN
