	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta
MIMAT0000437	hsa-miR-145-5p	-1.38	3.99509315279259e-08	-6.28	6.31898525568378e-09
MIMAT0002820	hsa-miR-497-5p	-1.25	5.28835194141755e-10	-6.92	1.34381641616857e-10
MIMAT0000097	hsa-miR-99a-5p	-1.19	0.000324143735030232	-5.89	5.60526591808497e-08
MIMAT0004614	hsa-miR-193a-5p	-0.93	1.20028366064303e-07	-4.83	1.19650371776006e-05
MIMAT0000098	hsa-miR-100-5p	-0.75	0.00784678943207958	-3.94	0.000407351808740519
MIMAT0000064	hsa-let-7c-5p	-0.69	0.000339297098050686	-3.74	0.000782122041156564
MIMAT0000063	hsa-let-7b-5p	-0.69	0.000339297098050686	-4.29	0.000114399539604519
MIMAT0002819	hsa-miR-193b-3p	-0.68	0.00290456299322452	-3.87	0.00052554834904747
MIMAT0000732	hsa-miR-378a-3p	-0.66	2.3681834802632e-07	-3.66	0.00096258908245125
MIMAT0004597	hsa-miR-140-3p	-0.63	0.0002253703748711	-4.72	1.95978113460768e-05
MIMAT0000077	hsa-miR-22-3p	-0.46	0.024222461559249	-2.3	0.0492221638818261
MIMAT0004601	hsa-miR-145-3p	-0.4	0.00628577839349375	-3.46	0.0019555218422755
MIMAT0003322	hsa-miR-652-3p	-0.34	0.0412178236369039	-3.19	0.00461204069568691
MIMAT0004599	hsa-miR-143-5p	-0.3	9.6385508172428e-05	-3.66	0.00096258908245125
MIMAT0000680	hsa-miR-106b-5p	0.48	0.00431038693432818	4.11	0.000232002908531711
MIMAT0000753	hsa-miR-342-3p	0.85	0.00632359543088988	4.6	3.2520041706333e-05
MIMAT0000433	hsa-miR-142-5p	1	0.000299284158388379	8.24	1.17683640610267e-14
MIMAT0003393	hsa-miR-425-5p	1	2.56561784987841e-06	6.89	1.52382662044204e-10
MIMAT0001536	hsa-miR-429	1.2	5.1809757146777e-05	5.26	1.66654610478861e-06
MIMAT0000617	hsa-miR-200c-3p	1.22	2.41015388819592e-06	5.02	5.19529238691203e-06
MIMAT0000646	hsa-miR-155-5p	1.3	1.6956520153955e-06	8.22	1.17683640610267e-14
MIMAT0000261	hsa-miR-183-5p	1.4	3.43041236771697e-06	6.26	6.90254564617021e-09
MIMAT0000434	hsa-miR-142-3p	1.42	7.88554895236461e-05	7.64	8.06973535613257e-13
MIMAT0000095	hsa-miR-96-5p	1.43	6.55370947027001e-05	5.72	1.46286776435046e-07
MIMAT0000318	hsa-miR-200b-3p	1.63	3.43041236771697e-06	4.39	7.80601072070704e-05
MIMAT0000076	hsa-miR-21-5p	2.41	8.76940417467677e-25	8.68	0
