MIMAT,name,logFC.merged,adj.P.Val.merged,TestStatistic.meta,adj.P.Val.meta,same_dir,consensus,curated
MIMAT0000088,hsa-miR-30a-3p,-1.3217128,1.694e-04,-4.989038,8.486e-05, TRUE, TRUE,white
MIMAT0000244,hsa-miR-30c-5p,-0.8404090,6.143e-04,-4.673036,2.622e-04, TRUE, TRUE,white
MIMAT0004550,hsa-miR-30c-2-3p,-0.6188364,2.823e-03,-4.978609,8.486e-05, TRUE, TRUE,white
MIMAT0000087,hsa-miR-30a-5p,-1.2773557,4.633e-03,-3.331729,3.267e-02, TRUE, TRUE,white
MIMAT0003326,hsa-miR-663, 0.8169539,6.119e-03, 3.125898,4.247e-02, TRUE, TRUE,rejected
MIMAT0000693,hsa-miR-30e-3p,-0.6251942,7.613e-03,-3.219549,3.514e-02, TRUE, TRUE,white
MIMAT0000278,hsa-miR-221-3p,-0.5810021,3.738e-02,-3.751668,9.310e-03, TRUE, TRUE,white
MIMAT0000250,hsa-miR-139-5p,-0.3847338,4.253e-02,-3.993208,4.319e-03, TRUE, TRUE,white
MIMAT0005942,hsa-miR-1288-3p,-0.3051225,2.064e-19,-0.305821,9.057e-01, TRUE,FALSE,rejected
MIMAT0005893,hsa-miR-1305,-0.5179329,2.970e-18,-0.306135,9.057e-01, TRUE,FALSE,purple
MIMAT0000281,hsa-miR-224-5p, 1.1555182,1.619e-03, 2.251923,1.793e-01, TRUE,FALSE,white
MIMAT0005938,hsa-miR-1274b,-0.6486037,2.823e-03, 0.282838,9.067e-01,FALSE,FALSE,NA
MIMAT0000681,hsa-miR-29c-3p,-0.7020937,6.835e-03,-1.965486,2.565e-01, TRUE,FALSE,white
MIMAT0000099,hsa-miR-101-3p,-0.6204265,2.489e-02,-2.925339,5.699e-02, TRUE,FALSE,white
MIMAT0000080,hsa-miR-24-3p, 0.3922629,2.497e-02, 0.933084,6.411e-01, TRUE,FALSE,white
MIMAT0003239,hsa-miR-574-3p,-0.5141022,2.497e-02,-2.253098,1.793e-01, TRUE,FALSE,white
MIMAT0004595,hsa-miR-135a-3p, 0.3522664,2.497e-02, 2.457631,1.544e-01, TRUE,FALSE,white
MIMAT0004694,hsa-miR-342-5p,-0.6986288,2.497e-02,-2.117344,2.016e-01, TRUE,FALSE,white
MIMAT0001627,hsa-miR-433-3p,-0.0664832,4.870e-02,-2.879636,5.861e-02, TRUE,FALSE,white
MIMAT0000417,hsa-miR-15b-5p, 0.4516328,5.600e-02, 1.070241,5.712e-01, TRUE,FALSE,white
MIMAT0000436,hsa-miR-144-3p,-0.7910944,6.508e-02,-2.844178,6.210e-02, TRUE,FALSE,white
MIMAT0005954,hsa-miR-720,-0.5477785,6.508e-02,-0.698695,7.453e-01, TRUE,FALSE,NA
MIMAT0004674,hsa-miR-30c-1-3p,-0.1378907,6.741e-02,-3.078057,4.247e-02, TRUE,FALSE,white
MIMAT0000763,hsa-miR-338-3p,-0.8404467,6.976e-02,-3.009206,4.695e-02, TRUE,FALSE,white
MIMAT0000261,hsa-miR-183-5p, 0.7864950,7.352e-02, 2.405594,1.585e-01, TRUE,FALSE,white
MIMAT0004673,hsa-miR-29c-5p,-0.4756783,7.352e-02,-1.356161,4.520e-01, TRUE,FALSE,white
MIMAT0000072,hsa-miR-18a-5p, 0.4219463,7.886e-02, 1.664068,3.442e-01, TRUE,FALSE,white
MIMAT0000686,hsa-miR-34c-5p,-0.4449920,7.886e-02,-2.885665,5.861e-02, TRUE,FALSE,white
MIMAT0000093,hsa-miR-93-5p, 0.3940164,7.973e-02, 1.856162,2.802e-01, TRUE,FALSE,white
MIMAT0000081,hsa-miR-25-3p, 0.3702363,8.890e-02, 1.797069,3.040e-01, TRUE,FALSE,white
MIMAT0000267,hsa-miR-210-3p, 0.7941497,8.890e-02, 2.082590,2.113e-01, TRUE,FALSE,white
MIMAT0005911,hsa-miR-1260,-0.4514469,8.890e-02,-0.995229,6.221e-01, TRUE,FALSE,rejected
MIMAT0000258,hsa-miR-181c-5p,-0.4460351,8.921e-02,-3.210288,3.514e-02, TRUE,FALSE,white
MIMAT0002872,hsa-miR-501-5p,-0.1279399,8.921e-02,-1.476859,4.069e-01, TRUE,FALSE,white
MIMAT0004610,hsa-miR-150-3p, 0.2689849,8.921e-02, 2.230538,1.793e-01, TRUE,FALSE,white
MIMAT0007890,hsa-miR-1914-3p,-0.1904252,8.921e-02, 0.536840,8.420e-01,FALSE,FALSE,rejected
MIMAT0001412,hsa-miR-18b-5p, 0.3535839,8.936e-02, 1.906828,2.721e-01, TRUE,FALSE,white
MIMAT0005796,hsa-miR-1271-5p,-0.1970933,9.754e-02,-2.071848,2.113e-01, TRUE,FALSE,white
MIMAT0000438,hsa-miR-152-3p,-0.3973225,1.157e-01,-2.358822,1.619e-01, TRUE,FALSE,white
MIMAT0000703,hsa-miR-361-5p,-0.2894535,1.157e-01,-1.774204,3.053e-01, TRUE,FALSE,white
MIMAT0005901,hsa-miR-1249-3p, 0.2909392,1.157e-01, 0.329772,8.973e-01, TRUE,FALSE,white
MIMAT0004600,hsa-miR-144-5p,-0.3483377,1.399e-01,-2.766381,7.510e-02, TRUE,FALSE,white
MIMAT0000082,hsa-miR-26a-5p,-0.3869358,1.626e-01,-1.669343,3.442e-01, TRUE,FALSE,white
MIMAT0002820,hsa-miR-497-5p,-0.4150201,1.687e-01,-2.243967,1.793e-01, TRUE,FALSE,white
