MIMAT,name,logFC.merged,adj.P.Val.merged,TestStatistic.meta,adj.P.Val.meta,same_dir,consensus,curated
MIMAT0000072,hsa-miR-18a-5p, 1.0690971,1.573e-11, 3.2949754,0.0372629, TRUE, TRUE,white
MIMAT0000681,hsa-miR-29c-3p,-1.1991994,1.214e-09,-4.2857134,0.0016090, TRUE, TRUE,white
MIMAT0004673,hsa-miR-29c-5p,-0.8658101,3.147e-06,-4.6048464,0.0005469, TRUE, TRUE,white
MIMAT0000728,hsa-miR-375,-1.7077955,3.033e-04,-3.6694402,0.0128834, TRUE, TRUE,white
MIMAT0000250,hsa-miR-139-5p,-0.4662794,3.691e-04,-3.8731416,0.0071180, TRUE, TRUE,white
MIMAT0004951,hsa-miR-887-3p,-0.3692006,1.880e-02,-4.7484418,0.0005432, TRUE, TRUE,white
MIMAT0004614,hsa-miR-193a-5p,-0.4267581,3.379e-02,-3.3268925,0.0372629, TRUE, TRUE,white
MIMAT0005893,hsa-miR-1305,-0.5350172,2.262e-21,-0.2179299,0.9645297, TRUE,FALSE,purple
MIMAT0005942,hsa-miR-1288-3p,-0.2955529,1.125e-20, 0.0878373,0.9864472,FALSE,FALSE,rejected
MIMAT0001412,hsa-miR-18b-5p, 0.8180463,1.219e-08, 2.9340143,0.0784028, TRUE,FALSE,white
MIMAT0000080,hsa-miR-24-3p, 0.6759299,2.616e-07, 2.0285528,0.2927296, TRUE,FALSE,white
MIMAT0000417,hsa-miR-15b-5p, 0.7558200,2.715e-06, 2.6519764,0.1325367, TRUE,FALSE,white
MIMAT0005938,hsa-miR-1274b,-0.8080767,4.338e-06, 0.2942608,0.9645297,FALSE,FALSE,NA
MIMAT0000093,hsa-miR-93-5p, 0.6474255,1.114e-05, 2.9338119,0.0784028, TRUE,FALSE,white
MIMAT0000070,hsa-miR-17-5p, 0.8430359,1.738e-05, 2.9963196,0.0784028, TRUE,FALSE,white
MIMAT0000092,hsa-miR-92a-3p, 0.7526936,3.691e-04, 2.1976118,0.2717631, TRUE,FALSE,white
MIMAT0003326,hsa-miR-663, 0.8773406,3.750e-04, 2.8905099,0.0784028, TRUE,FALSE,rejected
MIMAT0000073,hsa-miR-19a-3p, 0.7088448,3.152e-03, 2.2987353,0.2634967, TRUE,FALSE,white
MIMAT0000442,hsa-miR-9-3p, 0.7883200,3.674e-03, 2.1540196,0.2717631, TRUE,FALSE,white
MIMAT0005954,hsa-miR-720,-0.6673105,3.674e-03,-0.6121501,0.8183782, TRUE,FALSE,NA
MIMAT0000281,hsa-miR-224-5p, 0.9191911,6.657e-03, 2.0064123,0.2968813, TRUE,FALSE,white
MIMAT0000759,hsa-miR-148b-3p,-0.4539560,6.657e-03,-3.0565518,0.0741665, TRUE,FALSE,white
MIMAT0000449,hsa-miR-146a-5p, 0.7935177,6.771e-03, 2.4324404,0.1987164, TRUE,FALSE,white
MIMAT0004694,hsa-miR-342-5p,-0.6700536,1.053e-02,-2.0754561,0.2717631, TRUE,FALSE,white
MIMAT0000099,hsa-miR-101-3p,-0.5536405,1.577e-02,-2.2108943,0.2717631, TRUE,FALSE,white
MIMAT0000680,hsa-miR-106b-5p, 0.4201724,1.614e-02, 1.7299603,0.3644168, TRUE,FALSE,white
MIMAT0000243,hsa-miR-148a-3p,-0.7979938,1.674e-02,-2.8666559,0.0785221, TRUE,FALSE,white
MIMAT0004776,hsa-miR-505-5p, 0.2631511,1.674e-02, 1.9475857,0.3171653, TRUE,FALSE,white
MIMAT0000705,hsa-miR-362-5p, 0.3918780,2.060e-02, 1.6813290,0.3644168, TRUE,FALSE,white
MIMAT0007890,hsa-miR-1914-3p,-0.2219704,2.060e-02, 0.5435322,0.8496847,FALSE,FALSE,rejected
MIMAT0000267,hsa-miR-210-3p, 0.8326113,2.301e-02, 1.2891548,0.4980594, TRUE,FALSE,white
MIMAT0005911,hsa-miR-1260,-0.4788636,2.301e-02,-0.8491190,0.6988868, TRUE,FALSE,rejected
MIMAT0000437,hsa-miR-145-5p,-0.6468438,2.624e-02,-2.0961015,0.2717631, TRUE,FALSE,white
MIMAT0000691,hsa-miR-130b-3p, 0.4457203,2.959e-02, 1.6629097,0.3644168, TRUE,FALSE,white
MIMAT0000423,hsa-miR-125b-5p,-0.6255421,2.968e-02,-2.0997530,0.2717631, TRUE,FALSE,white
MIMAT0000445,hsa-miR-126-3p,-0.7298411,2.968e-02,-2.2672434,0.2634967, TRUE,FALSE,white
MIMAT0003228,hsa-miR-564,-0.1037719,2.968e-02, 0.2134511,0.9645297,FALSE,FALSE,rejected
MIMAT0000685,hsa-miR-34b-5p,-0.4391591,3.011e-02,-2.8061699,0.0885705, TRUE,FALSE,white
MIMAT0000275,hsa-miR-218-5p,-0.4594716,3.293e-02,-2.1684544,0.2717631, TRUE,FALSE,white
MIMAT0000646,hsa-miR-155-5p, 0.6766664,3.293e-02, 2.1254509,0.2717631, TRUE,FALSE,white
MIMAT0000686,hsa-miR-34c-5p,-0.4345349,3.293e-02,-2.5102799,0.1776023, TRUE,FALSE,white
MIMAT0004784,hsa-miR-455-3p, 0.6000886,3.379e-02, 1.8899096,0.3249684, TRUE,FALSE,white
MIMAT0000081,hsa-miR-25-3p, 0.3740926,3.473e-02, 1.7413092,0.3644168, TRUE,FALSE,white
MIMAT0003239,hsa-miR-574-3p,-0.4064639,3.473e-02,-1.4919358,0.4189738, TRUE,FALSE,white
MIMAT0000730,hsa-miR-377-3p,-0.5029339,3.535e-02,-1.9081068,0.3249684, TRUE,FALSE,white
MIMAT0004557,hsa-miR-34a-3p,-0.1823797,3.535e-02,-2.4877519,0.1792982, TRUE,FALSE,white
MIMAT0000075,hsa-miR-20a-5p, 0.7008614,3.558e-02, 1.7000024,0.3644168, TRUE,FALSE,white
MIMAT0004603,hsa-miR-125b-2-3p,-0.2898021,3.558e-02,-2.2878539,0.2634967, TRUE,FALSE,white
MIMAT0000254,hsa-miR-10b-5p,-0.7857773,3.772e-02,-1.7437139,0.3644168, TRUE,FALSE,white
MIMAT0000729,hsa-miR-376a-3p,-0.4792082,3.780e-02,-1.6600482,0.3644168, TRUE,FALSE,white
MIMAT0001627,hsa-miR-433-3p,-0.0577187,3.780e-02,-2.2435995,0.2634967, TRUE,FALSE,white
