MIMAT,name,logFC.merged,adj.P.Val.merged,TestStatistic.meta,adj.P.Val.meta,same_dir,consensus,curated
MIMAT0000250,hsa-miR-139-5p,-0.447769,2.354e-03,-5.542189,7.916e-06, TRUE, TRUE,white
MIMAT0000088,hsa-miR-30a-3p,-0.914496,1.427e-02,-3.451142,1.674e-02, TRUE, TRUE,white
MIMAT0000436,hsa-miR-144-3p,-0.909671,1.607e-02,-3.605546,1.253e-02, TRUE, TRUE,white
MIMAT0004550,hsa-miR-30c-2-3p,-0.475204,2.791e-02,-3.589742,1.253e-02, TRUE, TRUE,white
MIMAT0000278,hsa-miR-221-3p,-0.558629,3.222e-02,-4.081991,3.944e-03, TRUE, TRUE,white
MIMAT0000265,hsa-miR-204-5p,-0.314033,4.203e-02,-4.487351,9.555e-04, TRUE, TRUE,white
MIMAT0005893,hsa-miR-1305,-0.537194,1.147e-21,-0.499316,8.439e-01, TRUE,FALSE,purple
MIMAT0005942,hsa-miR-1288-3p,-0.304319,1.147e-21,-0.343161,8.769e-01, TRUE,FALSE,rejected
MIMAT0005938,hsa-miR-1274b,-0.744556,1.268e-04, 0.485502,8.439e-01,FALSE,FALSE,NA
MIMAT0000417,hsa-miR-15b-5p, 0.581189,2.354e-03, 2.097564,2.564e-01, TRUE,FALSE,white
MIMAT0000080,hsa-miR-24-3p, 0.417301,1.364e-02, 1.039389,6.231e-01, TRUE,FALSE,white
MIMAT0000267,hsa-miR-210-3p, 0.995210,1.364e-02, 2.574818,1.329e-01, TRUE,FALSE,white
MIMAT0005954,hsa-miR-720,-0.640424,1.427e-02,-0.740263,7.698e-01, TRUE,FALSE,NA
MIMAT0000099,hsa-miR-101-3p,-0.544740,3.254e-02,-2.774753,9.760e-02, TRUE,FALSE,white
MIMAT0007890,hsa-miR-1914-3p,-0.229734,3.254e-02, 0.322943,8.769e-01,FALSE,FALSE,rejected
MIMAT0000244,hsa-miR-30c-5p,-0.529784,4.430e-02,-2.712681,1.040e-01, TRUE,FALSE,white
MIMAT0002819,hsa-miR-193b-3p, 0.513821,5.547e-02, 2.575708,1.329e-01, TRUE,FALSE,white
MIMAT0005911,hsa-miR-1260,-0.464760,5.547e-02,-1.064568,6.168e-01, TRUE,FALSE,rejected
MIMAT0002177,hsa-miR-486-5p,-0.566428,6.406e-02,-3.945722,5.271e-03, TRUE,FALSE,white
MIMAT0003326,hsa-miR-663, 0.584811,6.406e-02, 2.370878,1.645e-01, TRUE,FALSE,rejected
MIMAT0001631,hsa-miR-451,-1.229083,7.656e-02,-2.492487,1.528e-01, TRUE,FALSE,yellow
MIMAT0000261,hsa-miR-183-5p, 0.730163,8.339e-02, 2.411041,1.645e-01, TRUE,FALSE,white
MIMAT0000693,hsa-miR-30e-3p,-0.428971,8.339e-02,-2.186084,2.313e-01, TRUE,FALSE,white
MIMAT0001627,hsa-miR-433-3p,-0.057601,8.339e-02,-2.969752,6.075e-02, TRUE,FALSE,white
MIMAT0004600,hsa-miR-144-5p,-0.379475,8.487e-02,-3.304635,2.520e-02, TRUE,FALSE,white
MIMAT0000087,hsa-miR-30a-5p,-0.847472,8.994e-02,-2.365642,1.645e-01, TRUE,FALSE,white
MIMAT0000104,hsa-miR-107, 0.392070,9.283e-02, 1.306034,5.228e-01, TRUE,FALSE,white
MIMAT0003239,hsa-miR-574-3p,-0.382217,9.283e-02,-1.587643,4.508e-01, TRUE,FALSE,white
MIMAT0003393,hsa-miR-425-5p, 0.463547,9.283e-02, 2.099789,2.564e-01, TRUE,FALSE,white
MIMAT0000226,hsa-miR-196a-5p, 1.188194,9.424e-02, 2.978170,6.075e-02, TRUE,FALSE,white
MIMAT0000093,hsa-miR-93-5p, 0.321943,9.915e-02, 1.519899,4.622e-01, TRUE,FALSE,white
MIMAT0000281,hsa-miR-224-5p, 0.666701,9.915e-02, 1.359770,5.178e-01, TRUE,FALSE,white
MIMAT0000089,hsa-miR-31-5p,-0.437411,9.938e-02,-3.251952,2.761e-02, TRUE,FALSE,white
MIMAT0004674,hsa-miR-30c-1-3p,-0.116330,1.009e-01,-2.584032,1.329e-01, TRUE,FALSE,white
MIMAT0002872,hsa-miR-501-5p,-0.116085,1.137e-01,-1.292025,5.229e-01, TRUE,FALSE,white
MIMAT0004603,hsa-miR-125b-2-3p,-0.255635,1.230e-01,-2.552679,1.349e-01, TRUE,FALSE,white
MIMAT0000255,hsa-miR-34a-5p, 0.339378,1.422e-01,-0.152696,9.642e-01,FALSE,FALSE,white
MIMAT0000691,hsa-miR-130b-3p, 0.357099,1.422e-01, 1.656237,4.351e-01, TRUE,FALSE,white
MIMAT0003308,hsa-miR-638,-0.541877,1.422e-01,-0.276776,8.984e-01, TRUE,FALSE,rejected
MIMAT0004605,hsa-miR-129-3p,-0.133745,1.435e-01,-3.619142,1.253e-02, TRUE,FALSE,white
MIMAT0000437,hsa-miR-145-5p,-0.493160,1.608e-01,-2.077705,2.564e-01, TRUE,FALSE,white
MIMAT0000736,hsa-miR-381-3p,-0.293048,1.718e-01,-2.453318,1.631e-01, TRUE,FALSE,white
MIMAT0000074,hsa-miR-19b-3p,-0.328462,1.719e-01,-0.899027,6.880e-01, TRUE,FALSE,white
MIMAT0000076,hsa-miR-21-5p, 0.440726,1.719e-01, 1.259460,5.305e-01, TRUE,FALSE,white
MIMAT0000256,hsa-miR-181a-5p, 0.433721,1.719e-01, 1.270469,5.298e-01, TRUE,FALSE,white
MIMAT0000257,hsa-miR-181b-5p, 0.397023,1.719e-01, 1.325263,5.218e-01, TRUE,FALSE,white
MIMAT0000275,hsa-miR-218-5p,-0.346728,1.719e-01,-1.573942,4.508e-01, TRUE,FALSE,white
MIMAT0000423,hsa-miR-125b-5p,-0.465612,1.719e-01,-1.914600,3.372e-01, TRUE,FALSE,white
MIMAT0000425,hsa-miR-130a-3p,-0.407630,1.719e-01,-2.378436,1.645e-01, TRUE,FALSE,white
MIMAT0000681,hsa-miR-29c-3p,-0.387022,1.719e-01,-0.565536,8.396e-01, TRUE,FALSE,white
MIMAT0002820,hsa-miR-497-5p,-0.365303,1.719e-01,-2.718645,1.040e-01, TRUE,FALSE,white
MIMAT0003237,hsa-miR-572,-0.308279,1.719e-01, 0.005993,9.952e-01,FALSE,FALSE,rejected
MIMAT0004504,hsa-miR-31-3p,-0.374781,1.719e-01,-2.834652,8.684e-02, TRUE,FALSE,white
MIMAT0004601,hsa-miR-145-3p,-0.240996,1.719e-01,-1.834800,3.673e-01, TRUE,FALSE,white
MIMAT0004610,hsa-miR-150-3p, 0.218601,1.719e-01, 1.903934,3.372e-01, TRUE,FALSE,white
MIMAT0004814,hsa-miR-654-3p,-0.241549,1.719e-01,-2.103653,2.564e-01, TRUE,FALSE,white
MIMAT0005939,hsa-miR-1281,-0.089646,1.719e-01,-1.707355,4.273e-01, TRUE,FALSE,rejected
MIMAT0004597,hsa-miR-140-3p,-0.302934,1.760e-01,-2.291788,1.936e-01, TRUE,FALSE,white
MIMAT0003150,hsa-miR-455-5p,-0.239519,1.771e-01,-2.437004,1.635e-01, TRUE,FALSE,white
MIMAT0004689,hsa-miR-377-5p,-0.086369,1.778e-01,-2.029679,2.740e-01, TRUE,FALSE,white
MIMAT0000686,hsa-miR-34c-5p,-0.315084,1.781e-01,-1.807701,3.816e-01, TRUE,FALSE,white
MIMAT0005796,hsa-miR-1271-5p,-0.148853,1.781e-01,-1.765059,3.952e-01, TRUE,FALSE,white
MIMAT0000445,hsa-miR-126-3p,-0.514238,1.786e-01,-1.551082,4.603e-01, TRUE,FALSE,white
MIMAT0000081,hsa-miR-25-3p, 0.272975,1.801e-01, 1.305305,5.228e-01, TRUE,FALSE,white
MIMAT0003228,hsa-miR-564,-0.072667,1.801e-01, 0.667216,7.866e-01,FALSE,FALSE,rejected
MIMAT0004595,hsa-miR-135a-3p, 0.203357,1.801e-01, 1.666613,4.351e-01, TRUE,FALSE,white
MIMAT0000252,hsa-miR-7-5p, 0.582983,1.857e-01, 2.120901,2.564e-01, TRUE,FALSE,white
MIMAT0000280,hsa-miR-223-3p,-0.560620,1.857e-01,-1.769982,3.952e-01, TRUE,FALSE,white
MIMAT0000452,hsa-miR-154-5p,-0.178851,1.887e-01,-1.849257,3.648e-01, TRUE,FALSE,white
MIMAT0000101,hsa-miR-103a-3p, 0.259204,1.954e-01, 0.364465,8.738e-01, TRUE,FALSE,white
MIMAT0000095,hsa-miR-96-5p, 0.600200,2.141e-01, 1.918368,3.372e-01, TRUE,FALSE,white
MIMAT0004795,hsa-miR-574-5p,-0.378838,2.329e-01,-0.709249,7.734e-01, TRUE,FALSE,white
MIMAT0000710,hsa-miR-365a-3p, 0.363697,2.365e-01, 1.226002,5.462e-01, TRUE,FALSE,white
MIMAT0000730,hsa-miR-377-3p,-0.337809,2.366e-01,-2.213023,2.227e-01, TRUE,FALSE,white
MIMAT0000687,hsa-miR-299-3p,-0.114340,2.369e-01,-2.227862,2.213e-01, TRUE,FALSE,white
MIMAT0004694,hsa-miR-342-5p,-0.368096,2.382e-01,-0.814326,7.332e-01, TRUE,FALSE,white
MIMAT0000763,hsa-miR-338-3p,-0.529774,2.390e-01,-1.464009,4.752e-01, TRUE,FALSE,white
MIMAT0000094,hsa-miR-95-3p,-0.281654,2.409e-01,-1.799106,3.816e-01, TRUE,FALSE,white
MIMAT0000680,hsa-miR-106b-5p, 0.235054,2.543e-01, 1.010067,6.469e-01, TRUE,FALSE,white
MIMAT0000084,hsa-miR-27a-3p, 0.281723,2.586e-01, 0.043957,9.835e-01, TRUE,FALSE,white
MIMAT0005927,hsa-miR-1274a,-0.277304,2.699e-01,-0.141161,9.642e-01, TRUE,FALSE,NA
