MIMAT,name,logFC.merged,adj.P.Val.merged,TestStatistic.meta,adj.P.Val.meta,same_dir,consensus,curated
MIMAT0004673,hsa-miR-29c-5p, 6.462e-01,1.138e-03, 3.999918,0.005975, TRUE, TRUE,white
MIMAT0000088,hsa-miR-30a-3p, 9.103e-01,7.117e-03, 3.629876,0.011888, TRUE, TRUE,white
MIMAT0000455,hsa-miR-185-5p,-3.519e-01,4.078e-02,-3.799948,0.007670, TRUE, TRUE,white
MIMAT0000732,hsa-miR-378a-3p,-2.533e-01,4.331e-02,-3.984418,0.005975, TRUE, TRUE,white
MIMAT0000691,hsa-miR-130b-3p,-4.215e-01,4.499e-02,-3.603443,0.011888, TRUE, TRUE,white
MIMAT0000705,hsa-miR-362-5p,-3.504e-01,4.499e-02,-3.863165,0.007415, TRUE, TRUE,white
MIMAT0005893,hsa-miR-1305,-5.769e-01,4.389e-26,-1.258787,0.463433, TRUE,FALSE,purple
MIMAT0005942,hsa-miR-1288-3p,-3.075e-01,1.821e-23,-0.459759,0.826997, TRUE,FALSE,rejected
MIMAT0005938,hsa-miR-1274b,-1.001e+00,2.619e-09,-0.727061,0.741033, TRUE,FALSE,NA
MIMAT0005954,hsa-miR-720,-1.023e+00,6.426e-07,-2.149692,0.182412, TRUE,FALSE,NA
MIMAT0007890,hsa-miR-1914-3p,-3.482e-01,4.907e-05,-1.116797,0.542492, TRUE,FALSE,rejected
MIMAT0005911,hsa-miR-1260,-7.422e-01,8.939e-05,-2.158158,0.182412, TRUE,FALSE,rejected
MIMAT0000063,hsa-let-7b-5p, 6.870e-01,6.772e-04, 2.470500,0.126811, TRUE,FALSE,white
MIMAT0005927,hsa-miR-1274a,-6.626e-01,6.772e-04,-1.871639,0.242283, TRUE,FALSE,NA
MIMAT0002816,hsa-miR-494-3p,-1.480e+00,1.102e-03,-2.123297,0.182412, TRUE,FALSE,white
MIMAT0000074,hsa-miR-19b-3p,-5.617e-01,5.613e-03,-2.550241,0.114107, TRUE,FALSE,white
MIMAT0002872,hsa-miR-501-5p,-1.691e-01,5.971e-03,-2.782198,0.081933, TRUE,FALSE,white
MIMAT0000104,hsa-miR-107, 5.079e-01,1.161e-02, 2.125764,0.182412, TRUE,FALSE,white
MIMAT0005898,hsa-miR-1246,-1.083e+00,1.176e-02,-3.067247,0.052046, TRUE,FALSE,rejected
MIMAT0000253,hsa-miR-10a-5p, 1.095e+00,1.666e-02, 2.865415,0.068977, TRUE,FALSE,white
MIMAT0004795,hsa-miR-574-5p,-6.308e-01,2.294e-02,-1.919511,0.223728, TRUE,FALSE,white
MIMAT0000451,hsa-miR-150-5p,-1.127e+00,2.672e-02,-3.035973,0.052947, TRUE,FALSE,white
MIMAT0004694,hsa-miR-342-5p, 6.029e-01,2.978e-02, 2.872311,0.068977, TRUE,FALSE,white
MIMAT0000064,hsa-let-7c-5p, 4.778e-01,3.326e-02, 1.599574,0.352740, TRUE,FALSE,white
MIMAT0000062,hsa-let-7a-5p, 8.369e-01,3.416e-02, 2.517858,0.120341, TRUE,FALSE,white
MIMAT0000066,hsa-let-7e-5p, 7.488e-01,3.416e-02, 2.555468,0.114107, TRUE,FALSE,white
MIMAT0000084,hsa-miR-27a-3p, 4.637e-01,3.416e-02, 0.797806,0.717328, TRUE,FALSE,white
MIMAT0000232,hsa-miR-199a-3p, 9.320e-01,4.078e-02, 2.068638,0.196610, TRUE,FALSE,white
MIMAT0000244,hsa-miR-30c-5p, 4.929e-01,4.088e-02, 2.479596,0.126811, TRUE,FALSE,white
MIMAT0003299,hsa-miR-630,-3.404e-01,4.499e-02,-0.845275,0.695393, TRUE,FALSE,rejected
MIMAT0000271,hsa-miR-214-3p, 6.070e-01,5.174e-02, 1.466544,0.393360, TRUE,FALSE,white
MIMAT0000417,hsa-miR-15b-5p, 3.726e-01,5.174e-02, 0.856237,0.695393, TRUE,FALSE,white
MIMAT0000065,hsa-let-7d-5p, 5.795e-01,6.031e-02, 2.337325,0.157813, TRUE,FALSE,white
MIMAT0000067,hsa-let-7f-5p, 8.871e-01,6.031e-02, 2.554223,0.114107, TRUE,FALSE,white
MIMAT0000095,hsa-miR-96-5p, 8.142e-01,6.031e-02, 3.084632,0.052046, TRUE,FALSE,white
MIMAT0002876,hsa-miR-505-3p,-2.386e-01,6.031e-02,-4.121231,0.005975, TRUE,FALSE,white
MIMAT0000101,hsa-miR-103a-3p, 3.392e-01,6.271e-02, 0.829343,0.700203, TRUE,FALSE,white
MIMAT0000068,hsa-miR-15a-5p, 5.013e-01,8.100e-02, 1.343064,0.443940, TRUE,FALSE,white
MIMAT0003228,hsa-miR-564,-8.869e-02,8.100e-02, 0.478403,0.826997,FALSE,FALSE,rejected
MIMAT0005939,hsa-miR-1281,-1.002e-01,8.408e-02,-1.961337,0.214202, TRUE,FALSE,rejected
MIMAT0000433,hsa-miR-142-5p,-5.897e-01,9.090e-02,-3.294808,0.029000, TRUE,FALSE,white
MIMAT0000680,hsa-miR-106b-5p,-3.114e-01,9.638e-02,-2.921015,0.066041, TRUE,FALSE,white
MIMAT0002805,hsa-miR-489-3p, 3.170e-01,9.638e-02, 2.022277,0.204181, TRUE,FALSE,white
MIMAT0004550,hsa-miR-30c-2-3p, 3.413e-01,9.736e-02, 2.088199,0.191111, TRUE,FALSE,white
MIMAT0004597,hsa-miR-140-3p,-3.371e-01,1.045e-01,-3.556174,0.012465, TRUE,FALSE,white
MIMAT0000418,hsa-miR-23b-3p, 3.993e-01,1.113e-01, 1.596036,0.352740, TRUE,FALSE,white
MIMAT0000096,hsa-miR-98-5p, 5.921e-01,1.165e-01, 2.310811,0.157813, TRUE,FALSE,white
MIMAT0000261,hsa-miR-183-5p, 6.114e-01,1.165e-01, 2.293915,0.160438, TRUE,FALSE,white
MIMAT0000279,hsa-miR-222-3p,-5.412e-01,1.165e-01,-2.460420,0.126811, TRUE,FALSE,white
MIMAT0000753,hsa-miR-342-3p, 5.643e-01,1.165e-01, 1.952124,0.214202, TRUE,FALSE,white
MIMAT0002813,hsa-miR-493-5p, 1.988e-01,1.165e-01, 2.137229,0.182412, TRUE,FALSE,white
MIMAT0000450,hsa-miR-149-5p, 4.972e-01,1.219e-01, 2.204020,0.181924, TRUE,FALSE,white
MIMAT0000078,hsa-miR-23a-3p, 3.624e-01,1.294e-01, 0.916878,0.658117, TRUE,FALSE,white
MIMAT0000087,hsa-miR-30a-5p, 6.960e-01,1.294e-01, 2.022937,0.204181, TRUE,FALSE,white
MIMAT0000231,hsa-miR-199a-5p, 4.639e-01,1.294e-01, 1.322021,0.447783, TRUE,FALSE,white
MIMAT0000693,hsa-miR-30e-3p, 3.407e-01,1.294e-01, 1.806018,0.268466, TRUE,FALSE,white
MIMAT0000761,hsa-miR-324-5p, 2.678e-01,1.294e-01, 1.506875,0.375681, TRUE,FALSE,white
MIMAT0000419,hsa-miR-27b-3p, 3.941e-01,1.302e-01, 1.362046,0.437082, TRUE,FALSE,white
MIMAT0004595,hsa-miR-135a-3p,-2.144e-01,1.314e-01,-1.956542,0.214202, TRUE,FALSE,white
MIMAT0004697,hsa-miR-151-5p, 3.976e-01,1.318e-01, 1.435197,0.408941, TRUE,FALSE,white
MIMAT0000263,hsa-miR-199b-5p, 5.504e-01,1.514e-01, 1.671344,0.321580, TRUE,FALSE,white
MIMAT0000457,hsa-miR-188-5p,-2.386e-01,1.514e-01,-0.607923,0.778634, TRUE,FALSE,white
MIMAT0004494,hsa-miR-21-3p,-4.481e-01,1.514e-01,-2.656195,0.099726, TRUE,FALSE,white
MIMAT0000682,hsa-miR-200a-3p, 5.844e-01,1.725e-01, 2.138111,0.182412, TRUE,FALSE,white
