MIMAT,name,logFC.merged,adj.P.Val.merged,TestStatistic.meta,adj.P.Val.meta,same_dir,consensus,curated
MIMAT0000417,hsa-miR-15b-5p, 0.801817,4.832e-07, 3.308711,1.499e-02, TRUE, TRUE,white
MIMAT0004603,hsa-miR-125b-2-3p,-0.522072,3.861e-05,-5.773597,2.056e-06, TRUE, TRUE,white
MIMAT0000423,hsa-miR-125b-5p,-0.914611,7.877e-04,-3.394866,1.300e-02, TRUE, TRUE,white
MIMAT0002819,hsa-miR-193b-3p, 0.715484,1.008e-03, 4.177062,1.565e-03, TRUE, TRUE,white
MIMAT0000089,hsa-miR-31-5p,-0.676080,1.802e-03,-5.214600,2.441e-05, TRUE, TRUE,white
MIMAT0004673,hsa-miR-29c-5p, 0.630598,1.802e-03, 3.621113,7.067e-03, TRUE, TRUE,white
MIMAT0000250,hsa-miR-139-5p,-0.396906,3.862e-03,-4.902983,6.253e-05, TRUE, TRUE,white
MIMAT0000753,hsa-miR-342-3p, 0.920625,3.862e-03, 3.152591,1.949e-02, TRUE, TRUE,white
MIMAT0000450,hsa-miR-149-5p, 0.794440,5.802e-03, 3.273428,1.499e-02, TRUE, TRUE,white
MIMAT0000451,hsa-miR-150-5p,-1.242958,8.765e-03,-2.908052,3.442e-02, TRUE, TRUE,white
MIMAT0002876,hsa-miR-505-3p,-0.309551,8.765e-03,-3.656204,6.783e-03, TRUE, TRUE,white
MIMAT0000280,hsa-miR-223-3p,-0.911026,1.218e-02,-3.235234,1.589e-02, TRUE, TRUE,white
MIMAT0004597,hsa-miR-140-3p,-0.471691,1.218e-02,-4.046897,1.965e-03, TRUE, TRUE,white
MIMAT0000097,hsa-miR-99a-5p,-0.828871,2.034e-02,-2.921550,3.418e-02, TRUE, TRUE,white
MIMAT0000265,hsa-miR-204-5p,-0.314898,2.034e-02,-4.977433,5.692e-05, TRUE, TRUE,white
MIMAT0000732,hsa-miR-378a-3p,-0.275897,2.045e-02,-3.575467,7.720e-03, TRUE, TRUE,white
MIMAT0004694,hsa-miR-342-5p, 0.613358,2.045e-02, 2.976323,2.973e-02, TRUE, TRUE,white
MIMAT0004504,hsa-miR-31-3p,-0.515269,2.260e-02,-4.086487,1.934e-03, TRUE, TRUE,white
MIMAT0000736,hsa-miR-381-3p,-0.383485,2.701e-02,-3.225111,1.589e-02, TRUE, TRUE,white
MIMAT0000730,hsa-miR-377-3p,-0.519090,3.228e-02,-3.117955,2.098e-02, TRUE, TRUE,white
MIMAT0000729,hsa-miR-376a-3p,-0.501891,3.389e-02,-3.103826,2.109e-02, TRUE, TRUE,white
MIMAT0001627,hsa-miR-433-3p,-0.058981,3.798e-02,-3.664133,6.783e-03, TRUE, TRUE,white
MIMAT0000687,hsa-miR-299-3p,-0.164283,4.697e-02,-2.977146,2.973e-02, TRUE, TRUE,white
MIMAT0000278,hsa-miR-221-3p,-0.458136,4.765e-02,-3.270227,1.499e-02, TRUE, TRUE,white
MIMAT0005942,hsa-miR-1288-3p,-0.305147,1.163e-22,-0.414926,8.323e-01, TRUE,FALSE,rejected
MIMAT0005893,hsa-miR-1305,-0.534039,1.610e-22,-0.505524,7.965e-01, TRUE,FALSE,purple
MIMAT0005938,hsa-miR-1274b,-0.737961,4.916e-05, 0.807415,6.820e-01,FALSE,FALSE,NA
MIMAT0000101,hsa-miR-103a-3p, 0.546526,1.002e-03, 2.182608,1.400e-01, TRUE,FALSE,white
MIMAT0000104,hsa-miR-107, 0.617103,1.008e-03, 2.521998,8.181e-02, TRUE,FALSE,white
MIMAT0007890,hsa-miR-1914-3p,-0.273047,2.699e-03,-0.270747,8.874e-01, TRUE,FALSE,rejected
MIMAT0000063,hsa-let-7b-5p, 0.562943,7.248e-03, 1.458494,3.953e-01, TRUE,FALSE,white
MIMAT0005954,hsa-miR-720,-0.626681,7.248e-03,-0.602877,7.746e-01, TRUE,FALSE,NA
MIMAT0000243,hsa-miR-148a-3p,-0.768130,2.045e-02,-2.404176,9.989e-02, TRUE,FALSE,white
MIMAT0000761,hsa-miR-324-5p, 0.366298,2.588e-02, 2.404660,9.989e-02, TRUE,FALSE,white
MIMAT0000098,hsa-miR-100-5p,-0.664379,2.604e-02,-2.696612,5.801e-02, TRUE,FALSE,white
MIMAT0000093,hsa-miR-93-5p, 0.354868,3.598e-02, 2.107451,1.499e-01, TRUE,FALSE,white
MIMAT0005927,hsa-miR-1274a,-0.440547,3.636e-02,-0.780094,6.820e-01, TRUE,FALSE,NA
MIMAT0003886,hsa-miR-769-5p, 0.294302,3.960e-02, 2.520139,8.181e-02, TRUE,FALSE,white
MIMAT0000452,hsa-miR-154-5p,-0.243224,4.358e-02,-2.547231,7.993e-02, TRUE,FALSE,white
MIMAT0000436,hsa-miR-144-3p,-0.697845,4.697e-02,-2.676846,5.968e-02, TRUE,FALSE,white
MIMAT0003393,hsa-miR-425-5p, 0.471904,4.697e-02, 2.197151,1.375e-01, TRUE,FALSE,white
MIMAT0000266,hsa-miR-205-5p,-1.095377,4.798e-02,-1.882522,2.075e-01, TRUE,FALSE,white
MIMAT0000720,hsa-miR-376c-3p,-0.482654,4.798e-02,-2.580244,7.475e-02, TRUE,FALSE,white
MIMAT0000437,hsa-miR-145-5p,-0.565299,5.063e-02,-2.371218,1.021e-01, TRUE,FALSE,white
MIMAT0000066,hsa-let-7e-5p, 0.650809,5.737e-02, 2.042835,1.624e-01, TRUE,FALSE,white
MIMAT0000261,hsa-miR-183-5p, 0.686334,5.737e-02, 2.415057,9.989e-02, TRUE,FALSE,white
MIMAT0004814,hsa-miR-654-3p,-0.287056,5.782e-02,-2.754416,5.026e-02, TRUE,FALSE,white
MIMAT0000275,hsa-miR-218-5p,-0.398323,7.064e-02,-2.303657,1.104e-01, TRUE,FALSE,white
MIMAT0003299,hsa-miR-630,-0.301575,7.064e-02,-0.700898,7.278e-01, TRUE,FALSE,rejected
