MIMAT,name,logFC.merged,adj.P.Val.merged,TestStatistic.meta,adj.P.Val.meta,same_dir,consensus,curated
MIMAT0005938,hsa-miR-1274b,-1.370e+00,1.163e-15,-3.144098,0.049054, TRUE, TRUE,NA
MIMAT0005954,hsa-miR-720,-1.393e+00,1.377e-11,-4.195818,0.002648, TRUE, TRUE,NA
MIMAT0005911,hsa-miR-1260,-1.115e+00,1.022e-09,-4.565711,0.001319, TRUE, TRUE,rejected
MIMAT0005927,hsa-miR-1274a,-9.328e-01,7.158e-07,-3.362532,0.029237, TRUE, TRUE,NA
MIMAT0002820,hsa-miR-497-5p, 8.623e-01,3.414e-05, 3.608575,0.013598, TRUE, TRUE,white
MIMAT0000097,hsa-miR-99a-5p, 1.157e+00,8.725e-04, 3.996007,0.004268, TRUE, TRUE,white
MIMAT0000455,hsa-miR-185-5p,-5.337e-01,8.725e-04,-4.173679,0.002648, TRUE, TRUE,white
MIMAT0000691,hsa-miR-130b-3p,-5.740e-01,6.088e-03,-3.879617,0.005545, TRUE, TRUE,white
MIMAT0000098,hsa-miR-100-5p, 8.394e-01,6.802e-03, 3.284298,0.033866, TRUE, TRUE,white
MIMAT0005893,hsa-miR-1305,-6.067e-01,1.010e-25,-2.049130,0.223314, TRUE,FALSE,purple
MIMAT0005942,hsa-miR-1288-3p,-3.092e-01,3.517e-21,-0.749972,0.695107, TRUE,FALSE,rejected
MIMAT0000265,hsa-miR-204-5p, 4.970e-01,1.026e-04, 2.390120,0.205066, TRUE,FALSE,white
MIMAT0007890,hsa-miR-1914-3p,-3.416e-01,1.596e-04,-1.115264,0.556789, TRUE,FALSE,rejected
MIMAT0000250,hsa-miR-139-5p, 4.325e-01,2.760e-03, 2.180543,0.223314, TRUE,FALSE,white
MIMAT0004795,hsa-miR-574-5p,-7.071e-01,1.350e-02,-2.018203,0.234233, TRUE,FALSE,white
MIMAT0003393,hsa-miR-425-5p,-6.119e-01,1.569e-02,-3.064005,0.057875, TRUE,FALSE,white
MIMAT0000680,hsa-miR-106b-5p,-4.475e-01,1.606e-02,-2.919286,0.084519, TRUE,FALSE,white
MIMAT0002816,hsa-miR-494-3p,-1.239e+00,1.615e-02,-1.390479,0.422929, TRUE,FALSE,white
MIMAT0000063,hsa-let-7b-5p, 5.421e-01,1.954e-02, 1.796209,0.298790, TRUE,FALSE,white
MIMAT0000064,hsa-let-7c-5p, 5.183e-01,2.484e-02, 2.057940,0.223314, TRUE,FALSE,white
MIMAT0000271,hsa-miR-214-3p, 7.277e-01,2.484e-02, 1.998762,0.234233, TRUE,FALSE,white
MIMAT0000423,hsa-miR-125b-5p, 6.842e-01,2.744e-02, 2.742049,0.129344, TRUE,FALSE,white
MIMAT0000275,hsa-miR-218-5p, 5.047e-01,3.003e-02, 1.926584,0.252225, TRUE,FALSE,white
MIMAT0002817,hsa-miR-495-3p, 2.164e-01,3.003e-02, 2.090579,0.223314, TRUE,FALSE,white
MIMAT0004603,hsa-miR-125b-2-3p, 3.301e-01,3.003e-02, 1.835767,0.283772, TRUE,FALSE,white
MIMAT0004606,hsa-miR-136-3p, 2.580e-01,3.140e-02, 1.924818,0.252225, TRUE,FALSE,white
MIMAT0000736,hsa-miR-381-3p, 3.990e-01,3.188e-02, 1.631133,0.349468, TRUE,FALSE,white
MIMAT0004594,hsa-miR-132-5p, 2.376e-01,3.188e-02, 2.293624,0.206743, TRUE,FALSE,white
MIMAT0004601,hsa-miR-145-3p, 3.452e-01,3.188e-02, 1.995736,0.234233, TRUE,FALSE,white
MIMAT0000435,hsa-miR-143-3p, 5.732e-01,3.636e-02, 2.318547,0.206743, TRUE,FALSE,white
MIMAT0000452,hsa-miR-154-5p, 2.676e-01,3.636e-02, 2.001798,0.234233, TRUE,FALSE,white
MIMAT0000437,hsa-miR-145-5p, 6.343e-01,4.183e-02, 2.452749,0.197731, TRUE,FALSE,white
MIMAT0003329,hsa-miR-411-5p, 1.483e-01,4.313e-02, 2.094818,0.223314, TRUE,FALSE,white
MIMAT0004954,hsa-miR-543, 1.085e-01,4.453e-02, 1.850148,0.283772, TRUE,FALSE,white
MIMAT0000231,hsa-miR-199a-5p, 6.102e-01,4.556e-02, 2.204488,0.223314, TRUE,FALSE,white
MIMAT0000263,hsa-miR-199b-5p, 7.498e-01,4.949e-02, 2.374562,0.205066, TRUE,FALSE,white
MIMAT0000461,hsa-miR-195-5p, 7.877e-01,4.949e-02, 2.129617,0.223314, TRUE,FALSE,white
MIMAT0000232,hsa-miR-199a-3p, 9.165e-01,5.002e-02, 2.090662,0.223314, TRUE,FALSE,white
MIMAT0000729,hsa-miR-376a-3p, 4.821e-01,6.090e-02, 1.614648,0.352407, TRUE,FALSE,white
MIMAT0004494,hsa-miR-21-3p,-5.860e-01,6.336e-02,-2.698881,0.131692, TRUE,FALSE,white
MIMAT0000418,hsa-miR-23b-3p, 4.603e-01,6.887e-02, 2.131130,0.223314, TRUE,FALSE,white
MIMAT0000426,hsa-miR-132-3p, 2.596e-01,6.887e-02, 1.820010,0.289218, TRUE,FALSE,white
MIMAT0004689,hsa-miR-377-5p, 1.099e-01,6.897e-02, 1.528926,0.371833, TRUE,FALSE,white
MIMAT0002174,hsa-miR-484,-1.771e-01,6.936e-02,-2.503431,0.189761, TRUE,FALSE,rejected
MIMAT0000269,hsa-miR-212-3p, 1.452e-01,7.000e-02, 1.647053,0.342598, TRUE,FALSE,white
MIMAT0003233,hsa-miR-551b-3p, 4.935e-01,7.296e-02, 2.163970,0.223314, TRUE,FALSE,white
MIMAT0005939,hsa-miR-1281,-1.057e-01,7.378e-02,-2.193307,0.223314, TRUE,FALSE,rejected
MIMAT0002175,hsa-miR-485-5p, 9.385e-02,7.420e-02, 1.655122,0.341361, TRUE,FALSE,white
MIMAT0000093,hsa-miR-93-5p,-3.209e-01,7.722e-02,-2.339782,0.206743, TRUE,FALSE,white
MIMAT0000254,hsa-miR-10b-5p, 7.331e-01,7.722e-02, 2.254965,0.213197, TRUE,FALSE,white
MIMAT0004552,hsa-miR-139-3p, 1.560e-01,7.722e-02, 2.486810,0.189761, TRUE,FALSE,white
MIMAT0005898,hsa-miR-1246,-8.149e-01,7.894e-02,-2.073940,0.223314, TRUE,FALSE,rejected
