"MIMAT","name","DCIS_direction","subtype_direction","subtype"
"MIMAT0000680","hsa-miR-106b-5p","UP","UP","iClust10"
"MIMAT0000433","hsa-miR-142-5p","UP","DOWN","iClust8"
"MIMAT0000753","hsa-miR-342-3p","UP","UP","LumB"
"MIMAT0003393","hsa-miR-425-5p","UP","UP","iClust1"
"MIMAT0000064","hsa-let-7c-5p","DOWN","DOWN","iClust10"
"MIMAT0000423","hsa-miR-125b-5p","DOWN","DOWN","LumB iClust10"
"MIMAT0004597","hsa-miR-140-3p","DOWN","DOWN","LumB iClust1 iClust9 iClust6 iClust8"
"MIMAT0004601","hsa-miR-145-3p","DOWN","DOWN","iClust10"
"MIMAT0000437","hsa-miR-145-5p","DOWN","DOWN","iClust10"
"MIMAT0004614","hsa-miR-193a-5p","DOWN","DOWN","Basallike iClust10"
"MIMAT0002819","hsa-miR-193b-3p","DOWN","UP","LumB iClust1"
"MIMAT0000732","hsa-miR-378a-3p","DOWN","DOWN","LumA LumB iClust2 iClust6 iClust8"
"MIMAT0002820","hsa-miR-497-5p","DOWN","DOWN","iClust10"
"MIMAT0002820","hsa-miR-497-5p","DOWN","UP","Normallike"
"MIMAT0000097","hsa-miR-99a-5p","DOWN","DOWN","LumB iClust1"
"MIMAT0000097","hsa-miR-99a-5p","DOWN","UP","Normallike"
