	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0005893	hsa-miR-1305	-0.522282565757198	6.62302217840244	-9.88726391768335	2.70458056949566e-22	6.64592487181258e-20	39.7490201509964
MIMAT0005942	hsa-miR-1288-3p	-0.294023341729644	6.303152744969	-9.82069052486572	5.01579235608497e-22	6.64592487181258e-20	39.140840496355
MIMAT0000681	hsa-miR-29c-3p	-1.17329187886789	13.0894460769337	-6.3853752912007	2.35554301881534e-10	1.75073443978729e-08	12.8028552885304
MIMAT0000072	hsa-miR-18a-5p	0.97504973891054	7.46456289191955	6.36721634936651	2.64261802232043e-10	1.75073443978729e-08	12.6910740649868
MIMAT0001412	hsa-miR-18b-5p	0.746898571078723	7.29216828008339	5.5108952636099	4.28052863635183e-08	2.26868017726647e-06	7.76248169344012
MIMAT0000080	hsa-miR-24-3p	0.636492872337604	12.1272954530589	5.38772413527079	8.42705217464577e-08	3.72194804380188e-06	7.10926312855592
MIMAT0000417	hsa-miR-15b-5p	0.772807842209945	12.9174956986776	5.11351235131728	3.62333443534639e-07	1.37169089338113e-05	5.70586180761417
MIMAT0004673	hsa-miR-29c-5p	-0.808849082685118	8.85873212426955	-4.77167152551007	2.02817389229552e-06	6.71832601822891e-05	4.05515582823166
MIMAT0000728	hsa-miR-375	-1.7407265629897	9.43556022127211	-4.25327882920672	2.25356429791073e-05	0.000663549487718161	1.76290019669367
MIMAT0000070	hsa-miR-17-5p	0.721041045499756	9.06180870051285	4.08192209379636	4.73182511524923e-05	0.00125393365554105	1.06150532827626
MIMAT0005938	hsa-miR-1274b	-0.607274361483597	12.2184991483195	-3.90293517829384	9.97797403643201e-05	0.00240378465423135	0.358924849789588
MIMAT0004776	hsa-miR-505-5p	0.308853035270048	6.77026582642307	3.72530999342055	0.00020322438603756	0.00443138059189433	-0.307863080196562
MIMAT0000093	hsa-miR-93-5p	0.533430291934435	10.6326162796585	3.70810242111532	0.000217388481866514	0.00443138059189433	-0.370843665130119
