MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0002876	hsa-miR-505-3p	-4.12123113322824	3.76853103338792e-05	0.00597537829356121
MIMAT0004673	hsa-miR-29c-5p	3.9999175064139	6.33645675800487e-05	0.00597537829356121
MIMAT0000732	hsa-miR-378a-3p	-3.98441771270941	6.76457920025797e-05	0.00597537829356121
MIMAT0000705	hsa-miR-362-5p	-3.86316496134851	0.000111927368839249	0.00741518818560022
MIMAT0000455	hsa-miR-185-5p	-3.79994847541088	0.000144726175686394	0.00767048731137887
MIMAT0000088	hsa-miR-30a-3p	3.62987649630958	0.000283556860404266	0.011888243173676
MIMAT0000691	hsa-miR-130b-3p	-3.60344347359817	0.000314029064965027	0.011888243173676
MIMAT0004597	hsa-miR-140-3p	-3.55617369297757	0.000376295343818001	0.0124647832639713
MIMAT0000433	hsa-miR-142-5p	-3.29480794675458	0.000984889660440968	0.0289995288907618
MIMAT0000095	hsa-miR-96-5p	3.08463239165954	0.00203803881749764	0.0520461345760241
MIMAT0005898	hsa-miR-1246	-3.067246584147	0.00216040558617459	0.0520461345760241
MIMAT0000451	hsa-miR-150-5p	-3.03597304076017	0.00239760800918032	0.0529471768693987
MIMAT0002177	hsa-miR-486-5p	-2.94013663697133	0.00328067540621979	0.066040520292378
MIMAT0000680	hsa-miR-106b-5p	-2.92101474485735	0.00348893314752186	0.066040520292378
MIMAT0004694	hsa-miR-342-5p	2.87231146733666	0.00407481135228305	0.0689766064500529
MIMAT0000253	hsa-miR-10a-5p	2.86541540424801	0.00416462529509753	0.0689766064500529
MIMAT0002872	hsa-miR-501-5p	-2.78219843540069	0.00539920166002039	0.0819333503179465
MIMAT0000681	hsa-miR-29c-3p	2.77235187374082	0.00556528417253976	0.0819333503179465
MIMAT0005593	hsa-miR-1238-3p	-2.69424918013047	0.00705474013972496	0.0983950598435323
MIMAT0004775	hsa-miR-502-3p	-2.6583860104897	0.00785159062097973	0.0997256918871568
MIMAT0004494	hsa-miR-21-3p	-2.65619498018411	0.00790279067785016	0.0997256918871568
MIMAT0002888	hsa-miR-532-5p	-2.57906952976558	0.00990668444682541	0.114107486816414
MIMAT0000066	hsa-let-7e-5p	2.55546847702063	0.0106044965874637	0.114107486816414
MIMAT0000067	hsa-let-7f-5p	2.55422293587716	0.0106425091265254	0.114107486816414
MIMAT0000074	hsa-miR-19b-3p	-2.55024068794201	0.0107648572468315	0.114107486816414
MIMAT0000062	hsa-let-7a-5p	2.517858384115	0.0118070783019313	0.120341375000453
