MIMAT,name,logFC.merged,adj.P.Val.merged,TestStatistic.meta,adj.P.Val.meta,same_dir,consensus,curated
MIMAT0005893,hsa-miR-1305,-0.5416011,5.788e-23,-0.976732,0.74472, TRUE,FALSE,purple
MIMAT0005942,hsa-miR-1288-3p,-0.3051297,5.788e-23,-0.561623,0.83039, TRUE,FALSE,rejected
MIMAT0005938,hsa-miR-1274b,-0.7883832,1.565e-05,-0.297814,0.94016, TRUE,FALSE,NA
MIMAT0007890,hsa-miR-1914-3p,-0.3120190,5.341e-04,-0.747368,0.79766, TRUE,FALSE,rejected
MIMAT0005954,hsa-miR-720,-0.7711616,1.275e-03,-1.541817,0.57401, TRUE,FALSE,NA
MIMAT0000417,hsa-miR-15b-5p, 0.5519974,7.114e-03, 1.759615,0.47320, TRUE,FALSE,white
MIMAT0000063,hsa-let-7b-5p, 0.5887890,8.686e-03, 1.823214,0.47320, TRUE,FALSE,white
MIMAT0005927,hsa-miR-1274a,-0.5651648,1.149e-02,-1.588241,0.57057, TRUE,FALSE,NA
MIMAT0005911,hsa-miR-1260,-0.5730717,1.395e-02,-1.596423,0.57057, TRUE,FALSE,rejected
MIMAT0004673,hsa-miR-29c-5p, 0.5623524,1.606e-02, 3.431047,0.07967, TRUE,FALSE,white
MIMAT0000104,hsa-miR-107, 0.5059461,1.865e-02, 1.994760,0.43805, TRUE,FALSE,white
MIMAT0000074,hsa-miR-19b-3p,-0.4733208,5.562e-02,-1.729397,0.48240, TRUE,FALSE,white
MIMAT0002816,hsa-miR-494-3p,-1.1017065,5.562e-02,-1.192445,0.70174, TRUE,FALSE,white
MIMAT0000101,hsa-miR-103a-3p, 0.3634503,9.503e-02, 1.061994,0.70174, TRUE,FALSE,white
MIMAT0000451,hsa-miR-150-5p,-1.0129051,9.503e-02,-2.750308,0.21056, TRUE,FALSE,white
MIMAT0002872,hsa-miR-501-5p,-0.1309779,9.503e-02,-1.802366,0.47320, TRUE,FALSE,white
MIMAT0002876,hsa-miR-505-3p,-0.2441464,9.503e-02,-3.818249,0.03562, TRUE,FALSE,white
MIMAT0005898,hsa-miR-1246,-0.8863457,9.503e-02,-2.443270,0.27281, TRUE,FALSE,rejected
MIMAT0000732,hsa-miR-378a-3p,-0.2264105,1.571e-01,-3.202205,0.12047, TRUE,FALSE,white
MIMAT0004795,hsa-miR-574-5p,-0.5007195,1.635e-01,-1.175222,0.70174, TRUE,FALSE,white
MIMAT0000066,hsa-let-7e-5p, 0.6075899,2.017e-01, 1.924879,0.44921, TRUE,FALSE,white
MIMAT0003299,hsa-miR-630,-0.2886689,2.059e-01,-0.481345,0.86991, TRUE,FALSE,rejected
MIMAT0000088,hsa-miR-30a-3p, 0.6034677,2.125e-01, 1.974658,0.43805, TRUE,FALSE,white
MIMAT0000761,hsa-miR-324-5p, 0.2836957,2.137e-01, 1.759052,0.47320, TRUE,FALSE,white
MIMAT0002819,hsa-miR-193b-3p, 0.4251933,2.137e-01, 2.421322,0.27281, TRUE,FALSE,white
MIMAT0003228,hsa-miR-564,-0.0811864,2.137e-01, 0.569674,0.83039,FALSE,FALSE,rejected
MIMAT0005939,hsa-miR-1281,-0.0921252,2.137e-01,-1.781153,0.47320, TRUE,FALSE,rejected
MIMAT0000089,hsa-miR-31-5p,-0.4002551,2.225e-01,-2.955190,0.16561, TRUE,FALSE,white
MIMAT0004694,hsa-miR-342-5p, 0.4584018,2.225e-01, 2.210879,0.33570, TRUE,FALSE,white
MIMAT0000064,hsa-let-7c-5p, 0.3609915,2.289e-01, 0.614661,0.81586, TRUE,FALSE,white
MIMAT0000253,hsa-miR-10a-5p, 0.7342738,2.577e-01, 1.968972,0.43805, TRUE,FALSE,white
MIMAT0001627,hsa-miR-433-3p,-0.0454872,2.577e-01,-2.728799,0.21056, TRUE,FALSE,white
MIMAT0000433,hsa-miR-142-5p,-0.5063103,2.662e-01,-2.785024,0.21056, TRUE,FALSE,white
MIMAT0000436,hsa-miR-144-3p,-0.5491646,2.662e-01,-2.280833,0.32682, TRUE,FALSE,white
MIMAT0000450,hsa-miR-149-5p, 0.4732381,2.662e-01, 2.199122,0.33570, TRUE,FALSE,white
MIMAT0000753,hsa-miR-342-3p, 0.5342651,2.662e-01, 1.894636,0.46689, TRUE,FALSE,white
MIMAT0000280,hsa-miR-223-3p,-0.5814457,2.748e-01,-2.515587,0.27281, TRUE,FALSE,white
MIMAT0000065,hsa-let-7d-5p, 0.4454702,2.783e-01, 1.534953,0.57401, TRUE,FALSE,white
MIMAT0004597,hsa-miR-140-3p,-0.3023065,2.783e-01,-3.073424,0.14020, TRUE,FALSE,white
MIMAT0004603,hsa-miR-125b-2-3p,-0.2384516,2.954e-01,-2.492590,0.27281, TRUE,FALSE,white
MIMAT0000434,hsa-miR-142-3p,-0.6310216,3.116e-01,-2.255126,0.32682, TRUE,FALSE,white
MIMAT0000062,hsa-let-7a-5p, 0.5526665,3.288e-01, 1.490423,0.58177, TRUE,FALSE,white
MIMAT0000455,hsa-miR-185-5p,-0.2399912,3.731e-01,-2.359681,0.28512, TRUE,FALSE,white
MIMAT0000084,hsa-miR-27a-3p, 0.2854004,4.208e-01, 0.050338,0.98804, TRUE,FALSE,white
MIMAT0000243,hsa-miR-148a-3p,-0.4643904,4.221e-01,-1.854880,0.47320, TRUE,FALSE,white
MIMAT0000261,hsa-miR-183-5p, 0.4814244,4.325e-01, 1.800438,0.47320, TRUE,FALSE,white
MIMAT0000278,hsa-miR-221-3p,-0.3091532,4.543e-01,-2.398298,0.27281, TRUE,FALSE,white
MIMAT0000271,hsa-miR-214-3p, 0.3964088,4.623e-01, 0.643154,0.80726, TRUE,FALSE,white
MIMAT0000423,hsa-miR-125b-5p,-0.4138441,4.623e-01,-1.414307,0.61290, TRUE,FALSE,white
MIMAT0000068,hsa-miR-15a-5p, 0.3394058,4.665e-01, 0.861520,0.78247, TRUE,FALSE,white
MIMAT0000087,hsa-miR-30a-5p, 0.5226851,4.665e-01, 1.387783,0.61660, TRUE,FALSE,white
MIMAT0000279,hsa-miR-222-3p,-0.4096085,4.665e-01,-2.008972,0.43805, TRUE,FALSE,white
MIMAT0000095,hsa-miR-96-5p, 0.5227661,4.711e-01, 1.999451,0.43805, TRUE,FALSE,white
MIMAT0000096,hsa-miR-98-5p, 0.4314718,4.754e-01, 1.514241,0.57401, TRUE,FALSE,white
MIMAT0004697,hsa-miR-151-5p, 0.2991996,4.938e-01, 1.052543,0.70174, TRUE,FALSE,white
MIMAT0000067,hsa-let-7f-5p, 0.5487488,4.959e-01, 1.496593,0.58177, TRUE,FALSE,white
MIMAT0003886,hsa-miR-769-5p, 0.1742131,4.959e-01, 1.612030,0.57057, TRUE,FALSE,white
MIMAT0000250,hsa-miR-139-5p,-0.1910740,5.002e-01,-2.423378,0.27281, TRUE,FALSE,white
MIMAT0000244,hsa-miR-30c-5p, 0.2740866,5.019e-01, 1.050489,0.70174, TRUE,FALSE,white
MIMAT0000418,hsa-miR-23b-3p, 0.2685558,5.019e-01, 0.937555,0.74472, TRUE,FALSE,white
MIMAT0000705,hsa-miR-362-5p,-0.2018489,5.019e-01,-1.954265,0.43805, TRUE,FALSE,white
MIMAT0004550,hsa-miR-30c-2-3p, 0.2270030,5.019e-01, 1.275476,0.68676, TRUE,FALSE,white
MIMAT0005948,hsa-miR-664*, 0.1748405,5.036e-01, 1.949430,0.43805, TRUE,FALSE,rejected
MIMAT0000449,hsa-miR-146a-5p,-0.3400165,5.129e-01,-1.795258,0.47320, TRUE,FALSE,white
MIMAT0002805,hsa-miR-489-3p, 0.2038609,5.129e-01, 1.472344,0.59279, TRUE,FALSE,white
MIMAT0004600,hsa-miR-144-5p,-0.2166528,5.129e-01,-2.044299,0.43805, TRUE,FALSE,white
MIMAT0004605,hsa-miR-129-3p,-0.0861646,5.247e-01,-1.859802,0.47320, TRUE,FALSE,white
MIMAT0005792,hsa-miR-320b, 0.2553594,5.287e-01, 0.156189,0.97014, TRUE,FALSE,rejected
MIMAT0004494,hsa-miR-21-3p,-0.3196251,5.473e-01,-1.523453,0.57401, TRUE,FALSE,white
MIMAT0000232,hsa-miR-199a-3p, 0.4574331,6.529e-01, 0.911526,0.76139, TRUE,FALSE,white
